"ID" "N2" "ICC" "method" "parameter" "est" "se" "ci_l" "ci_u"
5 30 0.1 "MI-R1" "gamma10" 0.0853684009731056 0.0784780686429598 -0.0691094066332654 0.239846208579477
5 30 0.1 "MI-R1" "gamma01" 0.529072420756896 0.140893307931329 0.252734813484043 0.805410028029749
5 30 0.1 "MI-a1" "gamma10" 0.0853684009731056 0.0784780686429598 -0.0698881340726035 0.240624936018815
5 30 0.1 "MI-a1" "gamma01" 0.529072420756896 0.140893307931329 0.238268493632505 0.819876347881287
5 30 0.1 "MI-R2" "gamma10" 0.0453716240937027 0.079014848913532 -0.110604317686081 0.201347565873487
5 30 0.1 "MI-R2" "gamma01" 0.54696124555824 0.145350603860041 0.26183450276161 0.83208798835487
5 30 0.1 "MI-a2" "gamma10" 0.0453716240937027 0.079014848913532 -0.111445528385456 0.202188776572862
5 30 0.1 "MI-a2" "gamma01" 0.54696124555824 0.145350603860041 0.246768269465729 0.84715422165075
1 15 0.1 "MI-R1" "gamma10" 0.211638705845231 0.0949430011072178 0.0218631566171354 0.401414255073326
1 15 0.1 "MI-R1" "gamma01" 0.459099046079472 0.1607846707796 0.141345341388785 0.77685275077016
1 15 0.1 "MI-a1" "gamma10" 0.211638705845231 0.0949430011072178 0.0192240888571965 0.404053322833265
1 15 0.1 "MI-a1" "gamma01" 0.459099046079472 0.1607846707796 0.0890116642432263 0.829186427915719
1 15 0.1 "MI-R2" "gamma10" 0.181380681545298 0.0861711205275149 0.0109427918871438 0.351818571203451
1 15 0.1 "MI-R2" "gamma01" 0.492359275276059 0.165326304339551 0.167451685362659 0.817266865189459
1 15 0.1 "MI-a2" "gamma10" 0.181380681545298 0.0861711205275149 0.00898295323970894 0.353778409850886
1 15 0.1 "MI-a2" "gamma01" 0.492359275276059 0.165326304339551 0.121671219828268 0.863047330723851
5 30 0.1 "MI-R1" "gamma10" 0.218796509191289 0.07824365998952 0.0626679824767517 0.374925035905827
5 30 0.1 "MI-R1" "gamma01" 0.536095934452295 0.17672807808564 0.188070061280422 0.884121807624167
5 30 0.1 "MI-a1" "gamma10" 0.218796509191289 0.07824365998952 0.0616376808805114 0.375955337502067
5 30 0.1 "MI-a1" "gamma01" 0.536095934452295 0.17672807808564 0.167025040271874 0.905166828632715
5 30 0.1 "MI-R2" "gamma10" 0.206529416630574 0.0911236908892262 0.0208273909430354 0.392231442318112
5 30 0.1 "MI-R2" "gamma01" 0.564736969218238 0.217165515944333 0.133235962371187 0.99623797606529
5 30 0.1 "MI-a2" "gamma10" 0.206529416630574 0.0911236908892262 0.0191181156109697 0.393940717650178
5 30 0.1 "MI-a2" "gamma01" 0.564736969218238 0.217165515944333 0.101533733784362 1.02794020465212
6 60 0.1 "MI-R1" "gamma10" 0.158122817382492 0.0500460148018169 0.0595031847362283 0.256742450028756
6 60 0.1 "MI-R1" "gamma01" 0.506171297509295 0.127341791542678 0.25415890925103 0.758183685767561
6 60 0.1 "MI-a1" "gamma10" 0.158122817382492 0.0500460148018169 0.0592504347721551 0.256995199992829
6 60 0.1 "MI-a1" "gamma01" 0.506171297509295 0.127341791542678 0.24644288852115 0.765899706497441
6 60 0.1 "MI-R2" "gamma10" 0.159377215617936 0.0574920139303122 0.0442718318210372 0.274482599414834
6 60 0.1 "MI-R2" "gamma01" 0.565619643252724 0.12723814300506 0.3150193961335 0.816219890371948
6 60 0.1 "MI-a2" "gamma10" 0.159377215617936 0.0574920139303122 0.0438750984206033 0.274879332815268
6 60 0.1 "MI-a2" "gamma01" 0.565619643252724 0.12723814300506 0.308132402150895 0.823106884354553
1 15 0.1 "MI-R1" "gamma10" 0.0199147912233706 0.0933190705132013 -0.168839614215871 0.208669196662612
1 15 0.1 "MI-R1" "gamma01" 0.82175633394979 0.345667637910644 0.141094235015289 1.50241843288429
1 15 0.1 "MI-a1" "gamma10" 0.0199147912233706 0.0933190705132013 -0.172012591142484 0.211842173589225
1 15 0.1 "MI-a1" "gamma01" 0.82175633394979 0.345667637910644 0.0390182357688631 1.60449443213072
1 15 0.1 "MI-R2" "gamma10" 0.00417174663288517 0.0806290925593211 -0.155328865615016 0.163672358880786
1 15 0.1 "MI-R2" "gamma01" 0.917766682808626 0.38214771651168 0.160949331052066 1.67458403456518
1 15 0.1 "MI-a2" "gamma10" 0.00417174663288517 0.0806290925593211 -0.157168616665809 0.165512109931579
1 15 0.1 "MI-a2" "gamma01" 0.917766682808626 0.38214771651168 0.0301421533457299 1.80539121227152
5 30 0.1 "MI-R1" "gamma10" 0.0672012726745302 0.0733927724803342 -0.079067892866437 0.213470438215497
5 30 0.1 "MI-R1" "gamma01" 0.210155189632576 0.242812492849417 -0.267722362419143 0.688032741684296
5 30 0.1 "MI-a1" "gamma10" 0.0672012726745302 0.0733927724803342 -0.0800132120660324 0.214415757415093
5 30 0.1 "MI-a1" "gamma01" 0.210155189632576 0.242812492849417 -0.296149795997182 0.716460175262334
5 30 0.1 "MI-R2" "gamma10" 0.0879417380455684 0.0679752978762928 -0.0465540394277554 0.222437515518892
5 30 0.1 "MI-R2" "gamma01" 0.183124724277779 0.266070691123567 -0.343202160601796 0.709451609157354
5 30 0.1 "MI-a2" "gamma10" 0.0879417380455684 0.0679752978762928 -0.0473154436881342 0.223198919779271
5 30 0.1 "MI-a2" "gamma01" 0.183124724277779 0.266070691123567 -0.378573558584095 0.744823007139653
6 60 0.1 "MI-R1" "gamma10" 0.237421825362491 0.0434551832716278 0.151872934992646 0.322970715732337
6 60 0.1 "MI-R1" "gamma01" 0.282163275823834 0.125174432959326 0.036105548678616 0.528221002969052
6 60 0.1 "MI-a1" "gamma10" 0.237421825362491 0.0434551832716278 0.151658932869851 0.323184717855132
6 60 0.1 "MI-a1" "gamma01" 0.282163275823834 0.125174432959326 0.0297016677587321 0.534624883888936
6 60 0.1 "MI-R2" "gamma10" 0.23001338360325 0.0505645761526504 0.128926801343687 0.331099965862813
6 60 0.1 "MI-R2" "gamma01" 0.286749073098471 0.126367806041957 0.0386735849092798 0.534824561287663
6 60 0.1 "MI-a2" "gamma10" 0.23001338360325 0.0505645761526504 0.128586684782235 0.331440082424264
6 60 0.1 "MI-a2" "gamma01" 0.286749073098471 0.126367806041957 0.0325084397657861 0.540989706431157
1 15 0.1 "MI-R1" "gamma10" 0.327376373079977 0.102209991570847 0.122364078871802 0.532388667288152
1 15 0.1 "MI-R1" "gamma01" 0.618402923915598 0.363516958173782 -0.0983709187550369 1.33517676658623
1 15 0.1 "MI-a1" "gamma10" 0.327376373079977 0.102209991570847 0.11934612286696 0.535406623292994
1 15 0.1 "MI-a1" "gamma01" 0.618402923915598 0.363516958173782 -0.209913217407463 1.44671906523866
1 15 0.1 "MI-R2" "gamma10" 0.281873581950818 0.0976796747193797 0.0889074298634094 0.474839734038226
1 15 0.1 "MI-R2" "gamma01" 0.602906443350176 0.327643407558061 -0.0401755546295592 1.24598844132991
1 15 0.1 "MI-a2" "gamma10" 0.281873581950818 0.0976796747193797 0.0867439020465513 0.477003261855084
1 15 0.1 "MI-a2" "gamma01" 0.602906443350176 0.327643407558061 -0.126288424983089 1.33210131168344
