"ID" "N2" "ICC" "method" "parameter" "est" "se" "ci_l" "ci_u"
6 60 0.1 "MI-R1" "gamma10" 0.237616175000715 0.0581125471248438 0.12080129512908 0.354431054872351
6 60 0.1 "MI-R1" "gamma01" 0.476690431414809 0.141193883626217 0.193747638676555 0.759633224153062
6 60 0.1 "MI-a1" "gamma10" 0.237616175000715 0.0581125471248438 0.120372032451256 0.354860317550175
6 60 0.1 "MI-a1" "gamma01" 0.476690431414809 0.141193883626217 0.182901514224752 0.770479348604865
6 60 0.1 "MI-R2" "gamma10" 0.215547140322128 0.0610380993980421 0.0917814048120214 0.339312875832234
6 60 0.1 "MI-R2" "gamma01" 0.505126284645759 0.114498512881695 0.280530852517958 0.72972171677356
6 60 0.1 "MI-a2" "gamma10" 0.215547140322128 0.0610380993980421 0.0912609189199048 0.33983336172435
6 60 0.1 "MI-a2" "gamma01" 0.505126284645759 0.114498512881695 0.275149435146469 0.735103134145049
6 60 0.1 "MI-R1" "gamma10" 0.244158388201545 0.040754011574363 0.164215033030206 0.324101743372885
6 60 0.1 "MI-R1" "gamma01" 0.62067476628586 0.162640692965845 0.296862156451172 0.944487376120548
6 60 0.1 "MI-a1" "gamma10" 0.244158388201545 0.040754011574363 0.164037952168498 0.324278824234593
6 60 0.1 "MI-a1" "gamma01" 0.62067476628586 0.162640692965845 0.285755264249478 0.955594268322242
6 60 0.1 "MI-R2" "gamma10" 0.222406076684086 0.0487373834761116 0.125112289392048 0.319699863976123
6 60 0.1 "MI-R2" "gamma01" 0.645311737732051 0.169803234299222 0.308730202950441 0.98189327251366
6 60 0.1 "MI-a2" "gamma10" 0.222406076684086 0.0487373834761116 0.124792639101049 0.320019514267122
6 60 0.1 "MI-a2" "gamma01" 0.645311737732051 0.169803234299222 0.298093222120535 0.992530253343567
1 15 0.1 "MI-R1" "gamma10" 0.342158089339889 0.0985091696744251 0.147065910952813 0.537250267726965
1 15 0.1 "MI-R1" "gamma01" 0.145710430891912 0.28648612686024 -0.418245214094216 0.709666075878039
1 15 0.1 "MI-a1" "gamma10" 0.342158089339889 0.0985091696744251 0.144764332628687 0.539551846051091
1 15 0.1 "MI-a1" "gamma01" 0.145710430891912 0.28648612686024 -0.502076327302365 0.793497189086188
1 15 0.1 "MI-R2" "gamma10" 0.375646349512758 0.0867141439777187 0.205598357707022 0.545694341318494
1 15 0.1 "MI-R2" "gamma01" 0.0770092515367551 0.334856771195668 -0.581612587230232 0.735631090303742
1 15 0.1 "MI-a2" "gamma10" 0.375646349512758 0.0867141439777187 0.204069388452879 0.547223310572637
1 15 0.1 "MI-a2" "gamma01" 0.0770092515367551 0.334856771195668 -0.67702938419528 0.83104788726879
5 30 0.1 "MI-R1" "gamma10" 0.219876030244881 0.0661104368224056 0.0890153674353854 0.350736693054378
5 30 0.1 "MI-R1" "gamma01" 0.0217774485979088 0.24391811311959 -0.461872120419049 0.505427017614866
5 30 0.1 "MI-a1" "gamma10" 0.219876030244881 0.0661104368224056 0.0882683670160245 0.351483693473738
5 30 0.1 "MI-a1" "gamma01" 0.0217774485979088 0.24391811311959 -0.495995041992714 0.539549939188531
5 30 0.1 "MI-R2" "gamma10" 0.204350935063941 0.0695814490755685 0.0658578529152193 0.342844017212663
5 30 0.1 "MI-R2" "gamma01" 0.132626669655364 0.276705337358181 -0.426743890994773 0.6919972303055
5 30 0.1 "MI-a2" "gamma10" 0.204350935063941 0.0695814490755685 0.0649826723952468 0.343719197732636
5 30 0.1 "MI-a2" "gamma01" 0.132626669655364 0.276705337358181 -0.482288070898701 0.747541410209428
6 60 0.1 "MI-R1" "gamma10" 0.170687014239173 0.0485710923337508 0.0743675479333086 0.267006480545036
6 60 0.1 "MI-R1" "gamma01" 0.40494538920325 0.146925101708436 0.115866392893354 0.694024385513145
6 60 0.1 "MI-a1" "gamma10" 0.170687014239173 0.0485710923337508 0.0740859612508806 0.267288067227464
6 60 0.1 "MI-a1" "gamma01" 0.40494538920325 0.146925101708436 0.10813611634269 0.701754662063809
6 60 0.1 "MI-R2" "gamma10" 0.170019697537487 0.0493882357113328 0.0719859990219022 0.268053396053071
6 60 0.1 "MI-R2" "gamma01" 0.456739272746645 0.144383852730338 0.172789639474859 0.740688906018432
6 60 0.1 "MI-a2" "gamma10" 0.170019697537487 0.0493882357113328 0.0716942826621215 0.268345112412852
6 60 0.1 "MI-a2" "gamma01" 0.456739272746645 0.144383852730338 0.165295154196082 0.748183391297208
1 15 0.1 "MI-R1" "gamma10" 0.374916538616472 0.101739299091163 0.169972476101211 0.579860601131734
1 15 0.1 "MI-R1" "gamma01" 0.379919125967682 0.286182371485335 -0.185890789939264 0.945729041874629
1 15 0.1 "MI-a1" "gamma10" 0.374916538616472 0.101739299091163 0.166742035566204 0.58309104166674
