"ID" "method" "parameter" "gamma01" "ICC" "R" "estimate" "stand_err" "bias" "rel_bias" "coverage" "empSE" "mcse_bias" "mcse_cov" "mcse_empSE"
"1" 1 "bayes" "gamma01" 0 0.1 5 -0.0972476015695451 0.367142417515392 -0.0972476015695451 NA 1 0.409031502824018 0.18292444905068 0 0.144614474682894
"2" 1 "bayes" "gamma10" 0 0.1 5 0.284544993971245 0.0961675819965202 -0.015455006028755 -0.0515166867625166 1 0.136978602188784 0.0612586931914047 0 0.048429249242572
"3" 1 "CD" "gamma01" 0 0.1 5 -0.124780843022513 0.297262925954442 -0.124780843022513 NA 1 0.444469433001071 0.198772773222237 0 0.157143675052598
"4" 1 "CD" "gamma10" 0 0.1 5 0.316933077394528 0.0819692746953251 0.016933077394528 0.0564435913150935 1 0.113919140977806 0.0509461886329513 0 0.0402764985461765
"5" 1 "LD" "gamma01" 0 0.1 5 0.0019208044363578 0.264487586293745 0.0019208044363578 NA 1 0.367194944381044 0.164214571326054 0 0.129823017594627
"6" 1 "LD" "gamma10" 0 0.1 5 0.295492798998762 0.0990722224537603 -0.00450720100123836 -0.0150240033374612 1 0.155336980523086 0.0694688095738361 0 0.0549199161484583
"7" 1 "MI-a" "gamma01" 0 0.1 5 -0.0773704714039341 0.26485663938079 -0.0773704714039341 NA 1 0.31181104611512 0.139446139049746 0 0.110241852578436
"8" 1 "MI-a" "gamma10" 0 0.1 5 0.290765037307543 0.0984875742949767 -0.00923496269245677 -0.0307832089748559 1 0.142146312987833 0.0635697637183513 0 0.0502563109171812
"9" 1 "MI-R" "gamma01" 0 0.1 5 -0.0773704714039341 0.26485663938079 -0.0773704714039341 NA 1 0.31181104611512 0.139446139049746 0 0.110241852578436
"10" 1 "MI-R" "gamma10" 0 0.1 5 0.290765037307543 0.0984875742949767 -0.00923496269245677 -0.0307832089748559 1 0.142146312987833 0.0635697637183513 0 0.0502563109171812
"11" 2 "bayes" "gamma01" 0.3 0.1 5 0.430409262106411 0.295074547184943 0.130409262106411 0.434697540354702 1 0.217361669667059 0.0972070938156797 0 0.0768489552958039
"12" 2 "bayes" "gamma10" 0.3 0.1 5 0.23273764907057 0.105771658931119 -0.0672623509294304 -0.224207836431435 1 0.0658888605471477 0.0294663942286852 0 0.0232952300487714
"13" 2 "CD" "gamma01" 0.3 0.1 5 0.331467259474706 0.254917728415602 0.031467259474706 0.104890864915687 1 0.161776511023068 0.0723486551620649 0 0.0571966339905559
"14" 2 "CD" "gamma10" 0.3 0.1 5 0.263815233861654 0.086643043092454 -0.036184766138346 -0.12061588712782 1 0.0827267768157117 0.036996539303877 0 0.0292483324360479
"15" 2 "LD" "gamma01" 0.3 0.1 5 0.456338511895654 0.222872528703311 0.156338511895654 0.521128372985512 1 0.22637992040996 0.101240178155532 0 0.0800373884231767
"16" 2 "LD" "gamma10" 0.3 0.1 5 0.248192866140875 0.111424949511915 -0.0518071338591254 -0.172690446197085 1 0.0683142095144736 0.0305510432607052 0 0.0241527203995414
"17" 2 "MI-a" "gamma01" 0.3 0.1 5 0.406882959661764 0.240879749043552 0.106882959661764 0.356276532205879 1 0.190618697519905 0.0852472730873955 0 0.0673938868186359
"18" 2 "MI-a" "gamma10" 0.3 0.1 5 0.231167496623347 0.107557693827071 -0.0688325033766532 -0.229441677922177 1 0.0756426774361447 0.0338284337494618 0 0.0267437250811023
"19" 2 "MI-R" "gamma01" 0.3 0.1 5 0.406882959661764 0.240879749043552 0.106882959661764 0.356276532205879 1 0.190618697519905 0.0852472730873955 0 0.0673938868186359
"20" 2 "MI-R" "gamma10" 0.3 0.1 5 0.231167496623347 0.107557693827071 -0.0688325033766532 -0.229441677922177 1 0.0756426774361447 0.0338284337494618 0 0.0267437250811023
"21" 3 "bayes" "gamma01" 0 0.1 5 -0.0413985860651223 0.199665466866187 -0.0413985860651223 NA 0.8 0.210109112496279 0.0939636516467661 0.178885438199983 0.074284789117603
"22" 3 "bayes" "gamma10" 0 0.1 5 0.310995184104613 0.069055059041379 0.0109951841046134 0.0366506136820447 0.8 0.0896006204278103 0.040070615620548 0.178885438199983 0.0316786031515133
"23" 3 "CD" "gamma01" 0 0.1 5 -0.0986994304165852 0.170211112613201 -0.0986994304165852 NA 0.8 0.16534346881506 0.073943847181218 0.178885438199983 0.0584577440120176
"24" 3 "CD" "gamma10" 0 0.1 5 0.306304100508151 0.0593056800468933 0.00630410050815061 0.021013668360502 1 0.0533708392885455 0.0238681649330809 0 0.018869441189274
"25" 3 "LD" "gamma01" 0 0.1 5 0.0701371028950544 0.168912388490058 0.0701371028950544 NA 1 0.189679256755872 0.0848271424055532 0 0.0670617443512506
"26" 3 "LD" "gamma10" 0 0.1 5 0.305135661623682 0.0725314223299269 0.00513566162368223 0.0171188720789408 0.8 0.0796706493261105 0.0356297975409462 0.178885438199983 0.0281678282000141
"27" 3 "MI-a" "gamma01" 0 0.1 5 -0.0125489487271308 0.195300947242713 -0.0125489487271308 NA 1 0.156111736237523 0.0698152908625237 0 0.055193833658179
"28" 3 "MI-a" "gamma10" 0 0.1 5 0.304748227132971 0.0719797776817085 0.00474822713297079 0.0158274237765693 0.8 0.089381986574663 0.039972839588984 0.178885438199983 0.0316013044114346
"29" 3 "MI-R" "gamma01" 0 0.1 5 -0.0125489487271308 0.195300947242713 -0.0125489487271308 NA 1 0.156111736237523 0.0698152908625237 0 0.055193833658179
