"ID" "N2" "ICC" "method" "parameter" "est" "se" "ci_l" "ci_u"
3 60 0.1 "MI-R1" "gamma10" 0.250238379157511 0.0519420210405578 0.146431173679078 0.354045584635944
3 60 0.1 "MI-R1" "gamma01" 0.427201130822711 0.0980904402991504 0.234646529381451 0.61975573226397
3 60 0.1 "MI-a1" "gamma10" 0.250238379157511 0.0519420210405578 0.146083733150459 0.354393025164562
3 60 0.1 "MI-a1" "gamma01" 0.427201130822711 0.0980904402991504 0.229870129066028 0.624532132579393
3 60 0.1 "MI-R2" "gamma10" 0.241155961255792 0.0436166312991148 0.155489241805412 0.326822680706173
3 60 0.1 "MI-R2" "gamma01" 0.471709035273579 0.102017452288557 0.270541627479678 0.672876443067481
3 60 0.1 "MI-a2" "gamma10" 0.241155961255792 0.0436166312991148 0.155289248692662 0.327022673818923
3 60 0.1 "MI-a2" "gamma01" 0.471709035273579 0.102017452288557 0.264848167916144 0.678569902631014
1 15 0.1 "MI-R1" "gamma10" 0.0542472515119898 0.0961303070102441 -0.135706367921627 0.244200870945607
1 15 0.1 "MI-R1" "gamma01" 0.0863472286021434 0.300504643176185 -0.503996844820957 0.676691302025244
1 15 0.1 "MI-a1" "gamma10" 0.0542472515119898 0.0961303070102441 -0.137847613653781 0.246342116677761
1 15 0.1 "MI-a1" "gamma01" 0.0863472286021434 0.300504643176185 -0.586038665600422 0.758733122804708
1 15 0.1 "MI-R2" "gamma10" -0.00121478628001636 0.0989116425907203 -0.197617319131825 0.195187746571792
1 15 0.1 "MI-R2" "gamma01" 0.163015336142084 0.313718191067347 -0.454616011821743 0.780646684105911
1 15 0.1 "MI-a2" "gamma10" -0.00121478628001636 0.0989116425907203 -0.200051746276072 0.197622173716039
1 15 0.1 "MI-a2" "gamma01" 0.163015336142084 0.313718191067347 -0.546726131127093 0.872756803411261
5 30 0.1 "MI-R1" "gamma10" 0.283560448353856 0.0740025290506392 0.136027140671743 0.431093756035968
5 30 0.1 "MI-R1" "gamma01" 0.380603174261933 0.257808760602945 -0.131769356801431 0.892975705325296
5 30 0.1 "MI-a1" "gamma10" 0.283560448353856 0.0740025290506392 0.135068238115181 0.43205265859253
5 30 0.1 "MI-a1" "gamma01" 0.380603174261933 0.257808760602945 -0.169573777666875 0.930780126190741
5 30 0.1 "MI-R2" "gamma10" 0.238687323075019 0.0638147990166984 0.11341064552439 0.363964000625649
5 30 0.1 "MI-R2" "gamma01" 0.460765809535487 0.242567600240288 -0.0171241451672058 0.938655764238179
5 30 0.1 "MI-a2" "gamma10" 0.238687323075019 0.0638147990166984 0.11282995768882 0.364544688461218
5 30 0.1 "MI-a2" "gamma01" 0.460765809535487 0.242567600240288 -0.046354089971827 0.9678857090428
6 60 0.1 "MI-R1" "gamma10" 0.284714194383621 0.0462891590160051 0.1931460886616 0.376282300105643
6 60 0.1 "MI-R1" "gamma01" 0.373926407141235 0.122775308715582 0.131986408958032 0.615866405324438
6 60 0.1 "MI-a1" "gamma10" 0.284714194383621 0.0462891590160051 0.192890866142261 0.376537522624982
6 60 0.1 "MI-a1" "gamma01" 0.373926407141235 0.122775308715582 0.125247314102612 0.622605500179858
6 60 0.1 "MI-R2" "gamma10" 0.274529801406685 0.0502552073088696 0.174343693564945 0.374715909248425
6 60 0.1 "MI-R2" "gamma01" 0.374025949958387 0.128187345701395 0.122379639542456 0.625672260374318
6 60 0.1 "MI-a2" "gamma10" 0.274529801406685 0.0502552073088696 0.174022067208678 0.375037535604691
6 60 0.1 "MI-a2" "gamma01" 0.374025949958387 0.128187345701395 0.116126903397359 0.631924996519415
1 15 0.1 "MI-R1" "gamma10" 0.293949963124116 0.103479588739134 0.0881991879582597 0.499700738289973
1 15 0.1 "MI-R1" "gamma01" 0.478676189147899 0.2294627272051 0.0230452240733823 0.934307154222416
1 15 0.1 "MI-a1" "gamma10" 0.293949963124116 0.103479588739134 0.085585786975633 0.5023141392726
1 15 0.1 "MI-a1" "gamma01" 0.478676189147899 0.2294627272051 -0.060291930653028 1.01764430894883
1 15 0.1 "MI-R2" "gamma10" 0.252636313097246 0.110479583162882 0.0308831090678625 0.474389517126629
1 15 0.1 "MI-R2" "gamma01" 0.537541948832847 0.300587545027872 -0.0757509900807143 1.15083488774641
1 15 0.1 "MI-a2" "gamma10" 0.252636313097246 0.110479583162882 0.0275819877670722 0.47769063842742
1 15 0.1 "MI-a2" "gamma01" 0.537541948832847 0.300587545027872 -0.26422071099282 1.33930460865851
5 30 0.1 "MI-R1" "gamma10" 0.293098861992412 0.0686464832502649 0.157995523362413 0.42820220062241
5 30 0.1 "MI-R1" "gamma01" 0.509043467087341 0.186785464637428 0.142099875208939 0.875987058965743
5 30 0.1 "MI-a1" "gamma10" 0.293098861992412 0.0686464832502649 0.157317366154264 0.428880357830559
5 30 0.1 "MI-a1" "gamma01" 0.509043467087341 0.186785464637428 0.121471829140139 0.896615105034544
5 30 0.1 "MI-R2" "gamma10" 0.270187596159941 0.0736810264494404 0.124194976992325 0.416180215327557
