"ID" "gamma01" "N2" "ICC" "beta" "method" "parameter" "est" "se" "ci_l" "ci_u"
5 0 60 0.1 0 "CD" "gamma10" 0.334853278621284 0.0433483378610898 0.249719502534448 0.41998705470812
5 0 60 0.1 0 "CD" "gamma01" 0.342904661437008 0.130834323754565 0.0810113080511765 0.60479801482284
5 0 60 0.1 0 "LD" "gamma10" 0.324801800173417 0.0561883261121928 0.214334505096266 0.435269095250569
5 0 60 0.1 0 "LD" "gamma01" 0.234444546953233 0.140410027683157 -0.0466166604094594 0.515505754315925
5 0 60 0.1 0 "MI-R" "gamma10" 0.301892201813919 0.0479835548508595 0.207380799917262 0.396403603710575
5 0 60 0.1 0 "MI-R" "gamma01" 0.26880854072478 0.167383570319964 -0.064050372089565 0.601667453539125
5 0 60 0.1 0 "MI-a" "gamma10" 0.301892201813919 0.0479835548508595 0.20714253088575 0.396641872742087
5 0 60 0.1 0 "MI-a" "gamma01" 0.26880854072478 0.167383570319964 -0.0752258452624567 0.612842926712016
5 0 60 0.1 0 "bayes" "gamma10" 0.295547424519449 0.0511362854112531 0.195322146810232 0.395772702228666
5 0 60 0.1 0 "bayes" "gamma01" 0.27513929131004 0.172135509332945 -0.0622401074429907 0.612518690063071
16 0.3 30 0.1 0.3 "CD" "gamma10" 0.261004933317665 0.0614075655597282 0.14015585596266 0.38185401067267
16 0.3 30 0.1 0.3 "CD" "gamma01" 0.0681424891602498 0.170296905753723 -0.280694908811307 0.416979887131807
16 0.3 30 0.1 0.3 "LD" "gamma10" 0.260635884266717 0.0756925958673356 0.111433372895909 0.409838395637526
16 0.3 30 0.1 0.3 "LD" "gamma01" -0.00575048755393533 0.163420318246301 -0.340501834564111 0.32900085945624
16 0.3 30 0.1 0.3 "MI-R" "gamma10" 0.225840769398037 0.0720575397043898 0.0829282210512857 0.368753317744788
16 0.3 30 0.1 0.3 "MI-R" "gamma01" -0.00921990473347121 0.166389870890271 -0.336615663552568 0.318175854085626
