"ID" "gamma01" "N2" "ICC" "beta" "method" "parameter" "est" "se" "ci_l" "ci_u"
2 0.3 15 0.1 0 "CD" "gamma10" 0.240139271097675 0.0839409832002661 0.0742523041158862 0.406026238079463
2 0.3 15 0.1 0 "CD" "gamma01" 0.442739152341522 0.221898623826435 -0.036643679485337 0.92212198416838
2 0.3 15 0.1 0 "LD" "gamma10" 0.190587403915533 0.116382618869265 -0.0405585229516534 0.421733330782719
2 0.3 15 0.1 0 "LD" "gamma01" 0.600718472958902 0.212033271602849 0.142648438860846 1.05878850705696
2 0.3 15 0.1 0 "MI-R" "gamma10" 0.174947986015764 0.0962925346918349 -0.0147156613234581 0.364611633354987
2 0.3 15 0.1 0 "MI-R" "gamma01" 0.57840249221187 0.232270494460761 0.121538544426763 1.03526643999698
2 0.3 15 0.1 0 "MI-a" "gamma10" 0.174947986015764 0.0962925346918349 -0.0166617119981266 0.366557684029655
2 0.3 15 0.1 0 "MI-a" "gamma01" 0.57840249221187 0.232270494460761 0.0552742330249806 1.10153075139876
2 0.3 15 0.1 0 "bayes" "gamma10" 0.17118831718848 0.105886256121446 -0.0363449312673385 0.378721565644298
2 0.3 15 0.1 0 "bayes" "gamma01" 0.631784473658039 0.285891649892799 0.0714471363874177 1.19212181092866
12 0.3 60 0.3 0 "CD" "gamma10" 0.331419369985075 0.0416010353916694 0.249717200841608 0.413121539128542
12 0.3 60 0.3 0 "CD" "gamma01" 0.153348206318549 0.114610462327956 -0.0760695599892883 0.382765972626387
12 0.3 60 0.3 0 "LD" "gamma10" 0.32345414041568 0.0516211581278084 0.221981882076904 0.424926398754457
12 0.3 60 0.3 0 "LD" "gamma01" 0.14688497542876 0.118986002885102 -0.0912913869149037 0.385061337772424
12 0.3 60 0.3 0 "MI-R" "gamma10" 0.318206827663526 0.0472571401441764 0.224865904381098 0.411547750945955
12 0.3 60 0.3 0 "MI-R" "gamma01" 0.143653277788537 0.132329447000064 -0.116299748752829 0.403606304329903
12 0.3 60 0.3 0 "MI-a" "gamma10" 0.318206827663526 0.0472571401441764 0.224615050616504 0.411798604710549
12 0.3 60 0.3 0 "MI-a" "gamma01" 0.143653277788537 0.132329447000064 -0.122922368555546 0.41022892413262
12 0.3 60 0.3 0 "bayes" "gamma10" 0.313713406180666 0.051165978122554 0.213429931826695 0.413996880534636
12 0.3 60 0.3 0 "bayes" "gamma01" 0.146598556908022 0.13951760786022 -0.126850929707193 0.420048043523236
21 0 30 0.3 0.3 "CD" "gamma10" 0.279589203724796 0.0563373757053414 0.168718176473754 0.390460230975838
21 0 30 0.3 0.3 "CD" "gamma01" 0.0019056144227759 0.141465835163031 -0.287874012645205 0.291685241490757
21 0 30 0.3 0.3 "LD" "gamma10" 0.369287407463138 0.0695023615143306 0.232196641177061 0.506378173749214
21 0 30 0.3 0.3 "LD" "gamma01" 0.00455623582094003 0.188628264932748 -0.381831249211747 0.390943720853627
