"ID" "gamma01" "N2" "ICC" "beta" "method" "parameter" "est" "se" "ci_l" "ci_u"
3 0 30 0.1 0 "CD" "gamma10" 0.339715615495581 0.0556012548437299 0.230293261972876 0.449137969018286
3 0 30 0.1 0 "CD" "gamma01" -0.378541574606883 0.139727258042177 -0.664759887883946 -0.0923232613298198
3 0 30 0.1 0 "LD" "gamma10" 0.25822492150045 0.0692960597496717 0.121600567612755 0.394849275388145
3 0 30 0.1 0 "LD" "gamma01" -0.224899310180663 0.196753047802383 -0.627929658469045 0.178131038107719
3 0 30 0.1 0 "MI-R" "gamma10" 0.268968378689048 0.0740585739063942 0.120921854831385 0.417014902546711
3 0 30 0.1 0 "MI-R" "gamma01" -0.291057092383385 0.202120133264089 -0.690549672062722 0.108435487295953
3 0 30 0.1 0 "MI-a" "gamma10" 0.268968378689048 0.0740585739063942 0.119925022590671 0.418011734787425
3 0 30 0.1 0 "MI-a" "gamma01" -0.291057092383385 0.202120133264089 -0.716922238549289 0.13480805378252
3 0 30 0.1 0 "bayes" "gamma10" 0.266302021711872 0.068809916733123 0.131437063135751 0.401166980287993
3 0 30 0.1 0 "bayes" "gamma01" -0.408801752718316 0.194808067306523 -0.790618548536955 -0.0269849568996772
14 0.3 15 0.1 0.3 "CD" "gamma10" 0.371328242217013 0.0777599260377758 0.217656486283924 0.524999998150102
14 0.3 15 0.1 0.3 "CD" "gamma01" 0.577556174901891 0.297650569195998 -0.0654787853674509 1.22059113517123
14 0.3 15 0.1 0.3 "LD" "gamma10" 0.397157063952951 0.0937040011448529 0.211399810364471 0.582914317541431
14 0.3 15 0.1 0.3 "LD" "gamma01" 0.416879122470702 0.298265916690316 -0.2274852152382 1.0612434601796
14 0.3 15 0.1 0.3 "MI-R" "gamma10" 0.359496921573992 0.0895971340917631 0.182484000988038 0.536509842159945
14 0.3 15 0.1 0.3 "MI-R" "gamma01" 0.435461879673693 0.300822150019273 -0.156400785163822 1.02732454451121
14 0.3 15 0.1 0.3 "MI-a" "gamma10" 0.359496921573992 0.0895971340917631 0.180536747121479 0.538457096026505
14 0.3 15 0.1 0.3 "MI-a" "gamma01" 0.435461879673693 0.300822150019273 -0.242982662610602 1.11390642195799
14 0.3 15 0.1 0.3 "bayes" "gamma10" 0.358146734674957 0.0926736215278647 0.176509774163447 0.539783695186468
14 0.3 15 0.1 0.3 "bayes" "gamma01" 0.375640310677834 0.359045329339106 -0.328075603644136 1.0793562249998
19 0 15 0.3 0.3 "CD" "gamma10" 0.247194401981619 0.0725743394125468 0.10377057506347 0.390618228899769
19 0 15 0.3 0.3 "CD" "gamma01" -0.124323748262662 0.171590070485557 -0.495021558299899 0.246374061774576
19 0 15 0.3 0.3 "LD" "gamma10" 0.255383744274404 0.0888679072820919 0.0790937214311337 0.431673767117674
19 0 15 0.3 0.3 "LD" "gamma01" -0.0357195414972791 0.167561595986992 -0.397714361494458 0.3262752784999
19 0 15 0.3 0.3 "MI-R" "gamma10" 0.267067873827651 0.0850145238090237 0.099044475498942 0.435091272156361
19 0 15 0.3 0.3 "MI-R" "gamma01" -0.116355006700427 0.149767003247996 -0.410089303916055 0.177379290515201
19 0 15 0.3 0.3 "MI-a" "gamma10" 0.267067873827651 0.0850145238090237 0.0971811884307737 0.436954559224529
19 0 15 0.3 0.3 "MI-a" "gamma01" -0.116355006700427 0.149767003247996 -0.447868169673712 0.215158156272858
19 0 15 0.3 0.3 "bayes" "gamma10" 0.267472202340114 0.0880955708369577 0.0948080563021797 0.440136348378048
19 0 15 0.3 0.3 "bayes" "gamma01" -0.101873066988758 0.189535762455344 -0.473356335183571 0.269610201206056
1 0 15 0.1 0 "CD" "gamma10" 0.383109346541631 0.080492944091162 0.224036509297628 0.542182183785635
1 0 15 0.1 0 "CD" "gamma01" -0.743121343981771 0.368520820009474 -1.53926217278421 0.0530194848206634
1 0 15 0.1 0 "LD" "gamma10" 0.434982309211822 0.0964854131050045 0.24373148182909 0.626233136594554
1 0 15 0.1 0 "LD" "gamma01" -0.580981086619403 0.281314044459356 -1.18872313089218 0.0267609576533698
1 0 15 0.1 0 "MI-R" "gamma10" 0.398343859640776 0.0851563441188956 0.231057647148494 0.565630072133058
1 0 15 0.1 0 "MI-R" "gamma01" -0.494174251717682 0.310295887178547 -1.10404050700122 0.115692003565857
1 0 15 0.1 0 "MI-a" "gamma10" 0.398343859640776 0.0851563441188956 0.229466565820476 0.567221153461076
1 0 15 0.1 0 "MI-a" "gamma01" -0.494174251717682 0.310295887178547 -1.19025670657681 0.201908203141441
1 0 15 0.1 0 "bayes" "gamma10" 0.381800372871884 0.0883637130710812 0.208610677712334 0.554990068031435
1 0 15 0.1 0 "bayes" "gamma01" -0.67128643525362 0.428651855463216 -1.51142863386779 0.168855763360553
9 0 30 0.3 0 "CD" "gamma10" 0.250153480283187 0.057164742805608 0.137654208209382 0.362652752356992
9 0 30 0.3 0 "CD" "gamma01" 0.0882989847517425 0.198150000874461 -0.317592892186237 0.494190861689722
9 0 30 0.3 0 "LD" "gamma10" 0.234498002052117 0.0686889152954132 0.0990745998736393 0.369921404230594
9 0 30 0.3 0 "LD" "gamma01" 0.047292461332212 0.191331012108913 -0.344631350318599 0.439216272983023
9 0 30 0.3 0 "MI-R" "gamma10" 0.206371753962336 0.0679026030669578 0.0709776909669725 0.3417658169577
9 0 30 0.3 0 "MI-R" "gamma01" 0.084452592611322 0.208622159341195 -0.324658077552719 0.493563262775363
9 0 30 0.3 0 "MI-a" "gamma10" 0.206371753962336 0.0679026030669578 0.070104220196775 0.342639287727898
