"ID" "N2" "ICC" "beta" "method" "parameter" "est" "se" "ci_l" "ci_u"
3 60 0.1 0 "MI-R1" "gamma10" 0.250238379157511 0.0519420210405578 0.146431173679078 0.354045584635944
3 60 0.1 0 "MI-R1" "gamma01" 0.427201130822711 0.0980904402991504 0.234646529381451 0.61975573226397
3 60 0.1 0 "MI-R2" "gamma10" 0.241155961255792 0.0436166312991148 0.155489241805412 0.326822680706173
3 60 0.1 0 "MI-R2" "gamma01" 0.471709035273579 0.102017452288557 0.270541627479678 0.672876443067481
6 60 0.1 0.3 "MI-R1" "gamma10" 0.211379380328779 0.0580584276387846 0.0940575778673609 0.328701182790197
6 60 0.1 0.3 "MI-R1" "gamma01" 0.590150080954261 0.12931748745264 0.33119609877013 0.849104063138393
6 60 0.1 0.3 "MI-R2" "gamma10" 0.227031673520305 0.0472102476882358 0.133912295342309 0.320151051698302
6 60 0.1 0.3 "MI-R2" "gamma01" 0.601906221287396 0.10449407575777 0.39672969292834 0.807082749646452
2 30 0.1 0 "MI-R1" "gamma10" 0.152220076512552 0.087842131454352 -0.023350709927942 0.327790862953046
2 30 0.1 0 "MI-R1" "gamma01" 0.235072638203939 0.120406523242319 -0.00115697708073134 0.47130225348861
2 30 0.1 0 "MI-R2" "gamma10" 0.136493891180193 0.0872265286935988 -0.038207560065241 0.311195342425626
2 30 0.1 0 "MI-R2" "gamma01" 0.222197906616325 0.120065686124131 -0.013249907181668 0.457645720414318
3 60 0.1 0 "MI-R1" "gamma10" 0.138717568915267 0.0510431318873628 0.0372165557983044 0.24021858203223
3 60 0.1 0 "MI-R1" "gamma01" 0.48446491901535 0.13068726884176 0.225544604956794 0.743385233073905
3 60 0.1 0 "MI-R2" "gamma10" 0.157161538493595 0.0485221659655434 0.0611680452799087 0.253155031707281
3 60 0.1 0 "MI-R2" "gamma01" 0.496089857437686 0.130298583252728 0.239261913121523 0.752917801753849
4 15 0.1 0.3 "MI-R1" "gamma10" 0.292884768446387 0.101630756225313 0.0928916299543165 0.492877906938457
4 15 0.1 0.3 "MI-R1" "gamma01" 0.543034281912137 0.242842747761276 0.0669024039464227 1.01916615987785
4 15 0.1 0.3 "MI-R2" "gamma10" 0.277041791587555 0.106430265045299 0.0662416283473933 0.487841954827716
4 15 0.1 0.3 "MI-R2" "gamma01" 0.55673101463327 0.262449193972406 0.0398624542457361 1.0735995750208
1 15 0.1 0 "MI-R1" "gamma10" 0.309517069907822 0.0904179415425159 0.131613965416806 0.487420174398838
1 15 0.1 0 "MI-R1" "gamma01" 0.553445080586714 0.149802180283923 0.259685866053756 0.847204295119673
1 15 0.1 0 "MI-R2" "gamma10" 0.317139258169427 0.0940890814535839 0.131578914078852 0.502699602260002
1 15 0.1 0 "MI-R2" "gamma01" 0.609055134228242 0.172584912233895 0.267915250929851 0.950195017526633
5 30 0.1 0.3 "MI-R1" "gamma10" 0.196669007175753 0.0700077061717498 0.0581849923868027 0.335153021964704
5 30 0.1 0.3 "MI-R1" "gamma01" 0.313836231033652 0.208186537374159 -0.098687849063427 0.726360311130731
5 30 0.1 0.3 "MI-R2" "gamma10" 0.220604426692713 0.0680399612419557 0.0861505809892138 0.355058272396213
5 30 0.1 0.3 "MI-R2" "gamma01" 0.337430946686225 0.191978397121461 -0.0404682430710309 0.71533013644348
6 60 0.1 0.3 "MI-R1" "gamma10" 0.222646264356343 0.0500658314085565 0.122751581837046 0.322540946875639
6 60 0.1 0.3 "MI-R1" "gamma01" 0.277542235723522 0.119506350062066 0.0425610800685745 0.51252339137847
6 60 0.1 0.3 "MI-R2" "gamma10" 0.240010605728855 0.0524212170796154 0.134730694729081 0.34529051672863
6 60 0.1 0.3 "MI-R2" "gamma01" 0.346943086664147 0.118796090665846 0.113716314802786 0.580169858525508
2 30 0.1 0 "MI-R1" "gamma10" 0.136537441739279 0.0795158866435246 -0.0217841198492547 0.294859003327813
2 30 0.1 0 "MI-R1" "gamma01" 0.220875818729361 0.230722757220822 -0.2342419911318 0.675993628590522
2 30 0.1 0 "MI-R2" "gamma10" 0.178735063092614 0.0735155350118268 0.033343235725359 0.324126890459869
2 30 0.1 0 "MI-R2" "gamma01" 0.228125536688827 0.225300553706315 -0.214754746899228 0.671005820276882
3 60 0.1 0 "MI-R1" "gamma10" 0.171966541453568 0.0435802880208331 0.0864056182827698 0.257527464624367
3 60 0.1 0 "MI-R1" "gamma01" 0.295907638951692 0.155655798856471 -0.0124120247972777 0.604227302700662
3 60 0.1 0 "MI-R2" "gamma10" 0.190517008860371 0.0519524833090902 0.0867184996342448 0.294315518086498
3 60 0.1 0 "MI-R2" "gamma01" 0.306312976292377 0.147072510231887 0.0166536608627871 0.595972291721967
4 15 0.1 0.3 "MI-R1" "gamma10" 0.288089633094609 0.0890385846856627 0.112654985109804 0.463524281079414
4 15 0.1 0.3 "MI-R1" "gamma01" 0.466675241453411 0.386604426381858 -0.297704339770995 1.23105482267782
4 15 0.1 0.3 "MI-R2" "gamma10" 0.29308012831725 0.0911281650135009 0.112315652101352 0.473844604533148
4 15 0.1 0.3 "MI-R2" "gamma01" 0.633588248081454 0.442231264742899 -0.253006625543117 1.52018312170603
2 30 0.1 0 "MI-R1" "gamma10" 0.238789526385236 0.0670341276286051 0.106662819730331 0.370916233040142
2 30 0.1 0 "MI-R1" "gamma01" 0.299497984380584 0.216459753698608 -0.127344560403679 0.726340529164847
2 30 0.1 0 "MI-R2" "gamma10" 0.220670886386751 0.0732823910452863 0.074462503256956 0.366879269516546
2 30 0.1 0 "MI-R2" "gamma01" 0.339419067005885 0.241598105415312 -0.13831239153167 0.81715052554344
3 60 0.1 0 "MI-R1" "gamma10" 0.0478049251306221 0.0454773595996547 -0.0417361842288283 0.137346034490072
3 60 0.1 0 "MI-R1" "gamma01" 0.585297713301271 0.133826517366272 0.322411280873499 0.848184145729043
3 60 0.1 0 "MI-R2" "gamma10" 0.0475794287821944 0.0486982030426857 -0.048895381242548 0.144054238806937
3 60 0.1 0 "MI-R2" "gamma01" 0.626268935986372 0.152205757777469 0.326179001226961 0.926358870745782
4 15 0.1 0.3 "MI-R1" "gamma10" 0.0732918534904005 0.0909816600968501 -0.106732552430531 0.253316259411332
4 15 0.1 0.3 "MI-R1" "gamma01" 0.388090658817904 0.311793081007801 -0.225328928857815 1.00151024649362
4 15 0.1 0.3 "MI-R2" "gamma10" 0.0668303086235994 0.0949401961460341 -0.122221442973412 0.25588206022061
4 15 0.1 0.3 "MI-R2" "gamma01" 0.505720314829531 0.391118323418196 -0.272470894872004 1.28391152453107
3 60 0.1 0 "MI-R1" "gamma10" 0.215690137207288 0.0451064618180622 0.126772213565918 0.304608060848658
3 60 0.1 0 "MI-R1" "gamma01" 0.411322031592673 0.125911153232903 0.162721291807439 0.659922771377906
3 60 0.1 0 "MI-R2" "gamma10" 0.193955840375561 0.0441221359894916 0.107160229713958 0.280751451037164
3 60 0.1 0 "MI-R2" "gamma01" 0.42806136416451 0.121361863912354 0.187767890751539 0.668354837577481
4 15 0.1 0.3 "MI-R1" "gamma10" 0.343412897187862 0.125649159686707 0.0897134292710015 0.597112365104722
4 15 0.1 0.3 "MI-R1" "gamma01" 0.162314159267732 0.394270234086251 -0.617493827081061 0.942122145616524
4 15 0.1 0.3 "MI-R2" "gamma10" 0.329928140191954 0.10104782011409 0.131024868124653 0.528831412259255
4 15 0.1 0.3 "MI-R2" "gamma01" 0.209115748971942 0.385910332240374 -0.547956390952421 0.966187888896306
1 15 0.1 0 "MI-R1" "gamma10" 0.0986753265390557 0.108593681491455 -0.118533766556656 0.315884419634767
1 15 0.1 0 "MI-R1" "gamma01" 0.460923051209188 0.283100184852674 -0.0948396089332644 1.01668571135164
1 15 0.1 0 "MI-R2" "gamma10" 0.130117352813192 0.113227773038213 -0.0980928967446469 0.358327602371032
1 15 0.1 0 "MI-R2" "gamma01" 0.49269940217361 0.292846833188248 -0.0830806312853609 1.06847943563258
5 30 0.1 0.3 "MI-R1" "gamma10" 0.143366402033351 0.0928458838828218 -0.0457848099773379 0.332517614044041
5 30 0.1 0.3 "MI-R1" "gamma01" 0.382804593126263 0.192263837117873 0.00369178628486988 0.761917399967656
5 30 0.1 0.3 "MI-R2" "gamma10" 0.175872666860024 0.0775419518247722 0.0213665882829276 0.330378745437121
5 30 0.1 0.3 "MI-R2" "gamma01" 0.371475836310929 0.207928961574367 -0.0392816815480486 0.782233354169907
6 60 0.1 0.3 "MI-R1" "gamma10" 0.178443295259296 0.0445074365327218 0.0908703693456826 0.266016221172909
