"ID" "gamma01" "N2" "ICC" "beta" "method" "parameter" "est" "se" "cov" "bias"
"55" 7 0 15 0.3 0 "MI-a" "gamma01" 0.265600918422233 0.105500490761423 0.7 -0.265600918422233
"56" 8 0.3 15 0.3 0 "MI-a" "gamma01" 0.275154366981036 0.106104053456918 1 0.0248456330189638
"57" 9 0 30 0.3 0 "MI-a" "gamma01" 0.314411505255418 0.0732586818733831 0 -0.314411505255418
"58" 10 0.3 30 0.3 0 "MI-a" "gamma01" 0.253484095816053 0.0677290670430993 0.9 0.0465159041839472
"59" 11 0 60 0.3 0 "MI-a" "gamma01" 0.305620993640509 0.052553490158301 0 -0.305620993640509
"60" 12 0.3 60 0.3 0 "MI-a" "gamma01" 0.300370642992302 0.0503751654006986 0.9 -0.000370642992302411
"61" 13 0 15 0.1 0.3 "MI-a" "gamma01" 0.279420787127346 0.0967309153770697 0.2 -0.279420787127346
"62" 14 0.3 15 0.1 0.3 "MI-a" "gamma01" 0.320537591836926 0.104640470149987 0.9 -0.0205375918369261
"63" 15 0 30 0.1 0.3 "MI-a" "gamma01" 0.300140868862405 0.066299496914348 0 -0.300140868862405
"64" 16 0.3 30 0.1 0.3 "MI-a" "gamma01" 0.256498568057056 0.0716236609432069 1 0.0435014319429442
"65" 17 0 60 0.1 0.3 "MI-a" "gamma01" 0.335149986326188 0.0484896931911527 0 -0.335149986326188
"66" 18 0.3 60 0.1 0.3 "MI-a" "gamma01" 0.306694291141118 0.0471911428136527 1 -0.00669429114111811
"67" 19 0 15 0.3 0.3 "MI-a" "gamma01" 0.25250301150732 0.0945401944798805 0.3 -0.25250301150732
"68" 20 0.3 15 0.3 0.3 "MI-a" "gamma01" 0.301187844714169 0.104898933407457 1 -0.00118784471416871
"69" 21 0 30 0.3 0.3 "MI-a" "gamma01" 0.265354816456079 0.0679895907952351 0 -0.265354816456079
"70" 22 0.3 30 0.3 0.3 "MI-a" "gamma01" 0.307665523611428 0.071012495510866 1 -0.00766552361142772
"71" 23 0 60 0.3 0.3 "MI-a" "gamma01" 0.300641309388428 0.0518643460218172 0 -0.300641309388428
"72" 24 0.3 60 0.3 0.3 "MI-a" "gamma01" 0.292463521381197 0.0499294965917246 1 0.00753647861880279
"73" 1 0 15 0.1 0 "MI-R" "gamma01" 0.373074897318693 0.0988902904287639 0 -0.373074897318693
"74" 2 0.3 15 0.1 0 "MI-R" "gamma01" 0.253361025326431 0.093407044729177 0.9 0.0466389746735689
"75" 3 0 30 0.1 0 "MI-R" "gamma01" 0.298135992692286 0.073830715767959 0 -0.298135992692286
"76" 4 0.3 30 0.1 0 "MI-R" "gamma01" 0.283687943896037 0.0686863509654554 1 0.0163120561039626
"77" 5 0 60 0.1 0 "MI-R" "gamma01" 0.29745414535143 0.0499552488381446 0 -0.29745414535143
"78" 6 0.3 60 0.1 0 "MI-R" "gamma01" 0.288196182035995 0.0481977151438273 1 0.0118038179640046
"79" 7 0 15 0.3 0 "MI-R" "gamma01" 0.265600918422233 0.105500490761423 0.1 -0.265600918422233
"80" 8 0.3 15 0.3 0 "MI-R" "gamma01" 0.275154366981036 0.106104053456918 1 0.0248456330189638
"81" 9 0 30 0.3 0 "MI-R" "gamma01" 0.314411505255418 0.0732586818733831 0 -0.314411505255418
"82" 10 0.3 30 0.3 0 "MI-R" "gamma01" 0.253484095816053 0.0677290670430993 0.8 0.0465159041839472
"83" 11 0 60 0.3 0 "MI-R" "gamma01" 0.305620993640509 0.052553490158301 0 -0.305620993640509
"84" 12 0.3 60 0.3 0 "MI-R" "gamma01" 0.300370642992302 0.0503751654006986 0.9 -0.000370642992302411
"85" 13 0 15 0.1 0.3 "MI-R" "gamma01" 0.279420787127346 0.0967309153770697 0.1 -0.279420787127346
"86" 14 0.3 15 0.1 0.3 "MI-R" "gamma01" 0.320537591836926 0.104640470149987 0.9 -0.0205375918369261
"87" 15 0 30 0.1 0.3 "MI-R" "gamma01" 0.300140868862405 0.066299496914348 0 -0.300140868862405
"88" 16 0.3 30 0.1 0.3 "MI-R" "gamma01" 0.256498568057056 0.0716236609432069 1 0.0435014319429442
"89" 17 0 60 0.1 0.3 "MI-R" "gamma01" 0.335149986326188 0.0484896931911527 0 -0.335149986326188
"90" 18 0.3 60 0.1 0.3 "MI-R" "gamma01" 0.306694291141118 0.0471911428136527 1 -0.00669429114111811
"91" 19 0 15 0.3 0.3 "MI-R" "gamma01" 0.25250301150732 0.0945401944798805 0.2 -0.25250301150732
"92" 20 0.3 15 0.3 0.3 "MI-R" "gamma01" 0.301187844714169 0.104898933407457 1 -0.00118784471416871
"93" 21 0 30 0.3 0.3 "MI-R" "gamma01" 0.265354816456079 0.0679895907952351 0 -0.265354816456079
"94" 22 0.3 30 0.3 0.3 "MI-R" "gamma01" 0.307665523611428 0.071012495510866 1 -0.00766552361142772
"95" 23 0 60 0.3 0.3 "MI-R" "gamma01" 0.300641309388428 0.0518643460218172 0 -0.300641309388428
"96" 24 0.3 60 0.3 0.3 "MI-R" "gamma01" 0.292463521381197 0.0499294965917246 1 0.00753647861880279
"97" 1 0 15 0.1 0 "CD" "gamma10" 0.0256318167697096 0.272391165246727 0.6 0.27436818323029
"98" 2 0.3 15 0.1 0 "CD" "gamma10" 0.257810286355593 0.252520994649888 1 0.0421897136444066
"99" 3 0 30 0.1 0 "CD" "gamma10" -0.0114393306604759 0.187126111777968 0.5 0.311439330660476
"100" 4 0.3 30 0.1 0 "CD" "gamma10" 0.283932607611008 0.205456750767077 0.9 0.0160673923889918
"101" 5 0 60 0.1 0 "CD" "gamma10" 0.0136580984931272 0.120888989745713 0.3 0.286341901506873
"102" 6 0.3 60 0.1 0 "CD" "gamma10" 0.236567896051905 0.1250678740472 1 0.063432103948095
"103" 7 0 15 0.3 0 "CD" "gamma10" 0.0104498228651016 0.26563857333131 0.7 0.289550177134898
"104" 8 0.3 15 0.3 0 "CD" "gamma10" 0.319837958082194 0.27122369823328 0.8 -0.0198379580821939
"105" 9 0 30 0.3 0 "CD" "gamma10" 0.0457325962371141 0.167133649020854 0.8 0.254267403762886
"106" 10 0.3 30 0.3 0 "CD" "gamma10" 0.325734872416942 0.177346558604551 1 -0.0257348724169423
"107" 11 0 60 0.3 0 "CD" "gamma10" -0.0490226160736396 0.133993614011663 0.2 0.34902261607364
"108" 12 0.3 60 0.3 0 "CD" "gamma10" 0.320868078365557 0.129875402993701 0.9 -0.020868078365557
"109" 13 0 15 0.1 0.3 "CD" "gamma10" -0.0768192461801591 0.344421588013913 0.6 0.376819246180159
"110" 14 0.3 15 0.1 0.3 "CD" "gamma10" 0.31245368635049 0.26525444745218 1 -0.0124536863504903
"111" 15 0 30 0.1 0.3 "CD" "gamma10" -0.0246901906055843 0.180474315928354 0.6 0.324690190605584
"112" 16 0.3 30 0.1 0.3 "CD" "gamma10" 0.433986664675786 0.164265841289925 0.9 -0.133986664675786
"113" 17 0 60 0.1 0.3 "CD" "gamma10" 0.016475018501998 0.12522923780435 0.4 0.283524981498002
"114" 18 0.3 60 0.1 0.3 "CD" "gamma10" 0.298577715772066 0.128170473723792 1 0.00142228422793438
"115" 19 0 15 0.3 0.3 "CD" "gamma10" -0.068449805917684 0.249553199006243 0.5 0.368449805917684
"116" 20 0.3 15 0.3 0.3 "CD" "gamma10" 0.389469324147998 0.214462935190137 0.8 -0.0894693241479978
"117" 21 0 30 0.3 0.3 "CD" "gamma10" -0.0308171058300861 0.194283425666021 0.7 0.330817105830086
"118" 22 0.3 30 0.3 0.3 "CD" "gamma10" 0.390721595480154 0.198203723504419 0.9 -0.0907215954801539
"119" 23 0 60 0.3 0.3 "CD" "gamma10" -0.0438999168563111 0.119993461118947 0.3 0.343899916856311
"120" 24 0.3 60 0.3 0.3 "CD" "gamma10" 0.295041714050996 0.118733957372729 1 0.004958285949004
"121" 1 0 15 0.1 0 "LD" "gamma10" 0.0967540580222294 0.279170225187319 1 0.203245941977771
"122" 2 0.3 15 0.1 0 "LD" "gamma10" 0.249122814676612 0.25486152704915 0.9 0.0508771853233878
"123" 3 0 30 0.1 0 "LD" "gamma10" 0.0905674568746198 0.183332945225271 0.6 0.20943254312538
"124" 4 0.3 30 0.1 0 "LD" "gamma10" 0.257691220844998 0.199121747830769 1 0.0423087791550023
"125" 5 0 60 0.1 0 "LD" "gamma10" 0.0757007309769195 0.120755953362135 0.4 0.22429926902308
"126" 6 0.3 60 0.1 0 "LD" "gamma10" 0.257371759994177 0.124972286536672 1 0.0426282400058228
"127" 7 0 15 0.3 0 "LD" "gamma10" -0.0157270618743631 0.249881849628471 0.6 0.315727061874363
"128" 8 0.3 15 0.3 0 "LD" "gamma10" 0.330776374293989 0.272821572214323 0.8 -0.0307763742939892
