"ID" "gamma01" "N2" "ICC" "beta" "method" "parameter" "est" "se" "ci_l" "ci_u"
4 0.4 30 0.1 0 "CD" "gamma10" 0.228684318349945 0.0611932547789629 0.108257001080796 0.349111635619093
4 0.4 30 0.1 0 "CD" "gamma01" 0.779344640801316 0.230133056663078 0.307938443969498 1.25075083763313
4 0.4 30 0.1 0 "LD" "gamma10" 0.23608145974177 0.0737639106130635 0.0906440421298793 0.381518877353662
4 0.4 30 0.1 0 "LD" "gamma01" 0.697641628712884 0.236192170794447 0.213823899221416 1.18145935820435
4 0.4 30 0.1 0 "MI-R" "gamma10" 0.218122295026351 0.0788237742603333 0.0600300807586627 0.37621450929404
4 0.4 30 0.1 0 "MI-R" "gamma01" 0.662629206626359 0.286858843667383 0.0946211821939253 1.23063723105879
4 0.4 30 0.1 0 "MI-a" "gamma10" 0.218122295026351 0.0788237742603333 0.0588955188351943 0.377349071217509
4 0.4 30 0.1 0 "MI-a" "gamma01" 0.662629206626359 0.286858843667383 0.0556532343474356 1.26960517890528
4 0.4 30 0.1 0 "bayes" "gamma10" 0.241770546537569 0.069371882083483 0.105804156114183 0.377736936960955
4 0.4 30 0.1 0 "bayes" "gamma01" 0.810451463500142 0.337457586794713 0.149046747072705 1.47185617992758
2 0.4 15 0.1 0 "CD" "gamma10" 0.263183628716496 0.0800536299628188 0.104978978685993 0.421388278746999
2 0.4 15 0.1 0 "CD" "gamma01" 0.269289656785947 0.254187459809576 -0.279848964252556 0.81842827782445
2 0.4 15 0.1 0 "LD" "gamma10" 0.205576788526478 0.0979770457697665 0.0108048678145135 0.400348709238443
2 0.4 15 0.1 0 "LD" "gamma01" 0.290161514533116 0.244681767257589 -0.238441306258103 0.818764335324335
2 0.4 15 0.1 0 "MI-R" "gamma10" 0.242633673706532 0.0859607791540992 0.072846218657853 0.412421128755211
2 0.4 15 0.1 0 "MI-R" "gamma01" 0.29845006839795 0.25302611757648 -0.198824060805379 0.795724197601278
2 0.4 15 0.1 0 "MI-a" "gamma10" 0.242633673706532 0.0859607791540992 0.0709492735157388 0.414318073897325
2 0.4 15 0.1 0 "MI-a" "gamma01" 0.29845006839795 0.25302611757648 -0.268963598801485 0.865863735597384
2 0.4 15 0.1 0 "bayes" "gamma10" 0.216908247309594 0.0960839896726066 0.0285870880603664 0.405229406558821
2 0.4 15 0.1 0 "bayes" "gamma01" 0.369748028709634 0.350714075508141 -0.317638928157584 1.05713498557685
21 0 30 0.3 0.3 "CD" "gamma10" 0.179718767393562 0.0617682879786311 0.0581597942609226 0.301277740526202
21 0 30 0.3 0.3 "CD" "gamma01" 0.200519451934514 0.164036607144711 -0.135494305656573 0.5365332095256
21 0 30 0.3 0.3 "LD" "gamma10" 0.192077386955022 0.0737300955352357 0.0467393682991941 0.337415405610849
21 0 30 0.3 0.3 "LD" "gamma01" 0.18209596476186 0.191263026314152 -0.20968858430142 0.57388051382514
21 0 30 0.3 0.3 "MI-R" "gamma10" 0.199465857341485 0.0726931874206594 0.0557101687415995 0.343221545941371
21 0 30 0.3 0.3 "MI-R" "gamma01" 0.185010881182792 0.177555891871809 -0.163068025024926 0.53308978739051
21 0 30 0.3 0.3 "MI-a" "gamma10" 0.199465857341485 0.0726931874206594 0.0549048464227599 0.34402686826021
21 0 30 0.3 0.3 "MI-a" "gamma01" 0.185010881182792 0.177555891871809 -0.180652531690274 0.550674294055858
21 0 30 0.3 0.3 "bayes" "gamma10" 0.198243676993216 0.0788206117255134 0.043758116771794 0.352729237214637
21 0 30 0.3 0.3 "bayes" "gamma01" 0.161625910626841 0.191349954333511 -0.213413108310223 0.536664929563906
2 0.4 15 0.1 0 "CD" "gamma10" 0.244196014413786 0.0888222819657518 0.0686624622209749 0.419729566606597
2 0.4 15 0.1 0 "CD" "gamma01" 0.264213751842364 0.245622762128457 -0.26642196477377 0.794849468458498
2 0.4 15 0.1 0 "LD" "gamma10" 0.198736778178369 0.111393531289406 -0.0223200593082289 0.419793615664966
2 0.4 15 0.1 0 "LD" "gamma01" 0.19555169094008 0.2484045426366 -0.341093697095007 0.732197078975167
2 0.4 15 0.1 0 "MI-R" "gamma10" 0.187352382054027 0.105374309800398 -0.0218674638140788 0.396572227922134
2 0.4 15 0.1 0 "MI-R" "gamma01" 0.218237471893298 0.25547248898913 -0.28266886830814 0.719143812094736
2 0.4 15 0.1 0 "MI-a" "gamma10" 0.187352382054027 0.105374309800398 -0.0244573124581914 0.399162076566246
2 0.4 15 0.1 0 "MI-a" "gamma01" 0.218237471893298 0.25547248898913 -0.345747831241327 0.782222775027923
2 0.4 15 0.1 0 "bayes" "gamma10" 0.181577354310568 0.101700288522185 -0.0177515484102462 0.380906257031383
2 0.4 15 0.1 0 "bayes" "gamma01" 0.301706689892429 0.358279587502257 -0.400508398007861 1.00392177779272
6 0.4 60 0.1 0 "CD" "gamma10" 0.195132448775997 0.0422878998011527 0.112081315318688 0.278183582233306
6 0.4 60 0.1 0 "CD" "gamma01" 0.421666563951957 0.143796791727608 0.133826011786814 0.7095071161171
6 0.4 60 0.1 0 "LD" "gamma10" 0.204050565294444 0.0518362780230447 0.102165214482189 0.305935916106698
6 0.4 60 0.1 0 "LD" "gamma01" 0.338129758493165 0.125705610641521 0.0865026398168797 0.589756877169451
6 0.4 60 0.1 0 "MI-R" "gamma10" 0.1921818832483 0.0494038541551987 0.094340555158889 0.290023211337712
6 0.4 60 0.1 0 "MI-R" "gamma01" 0.346713365173127 0.139981068523512 0.0709271592534212 0.622499571092833
6 0.4 60 0.1 0 "MI-a" "gamma10" 0.1921818832483 0.0494038541551987 0.0940616306527247 0.290302135843876
6 0.4 60 0.1 0 "MI-a" "gamma01" 0.346713365173127 0.139981068523512 0.0632862633979492 0.630140466948305
6 0.4 60 0.1 0 "bayes" "gamma10" 0.195856492900817 0.0474044239277256 0.102945529294606 0.288767456507028
6 0.4 60 0.1 0 "bayes" "gamma01" 0.357692363282366 0.138377465450232 0.086477514727975 0.628907211836756
18 0.4 60 0.1 0.3 "CD" "gamma10" 0.184900232815583 0.0430913281870555 0.100271209739382 0.269529255891785
18 0.4 60 0.1 0.3 "CD" "gamma01" 0.367290625982587 0.141611753790104 0.0838239024604655 0.650757349504709
18 0.4 60 0.1 0.3 "LD" "gamma10" 0.24184663913903 0.0524503084722267 0.138753025406422 0.344940252871638
18 0.4 60 0.1 0.3 "LD" "gamma01" 0.127202351959456 0.135297790057334 -0.143625599964521 0.398030303883433
18 0.4 60 0.1 0.3 "MI-R" "gamma10" 0.227701049864903 0.0611051598452066 0.104046063281697 0.351356036448109
18 0.4 60 0.1 0.3 "MI-R" "gamma01" 0.218633730627921 0.153827259959303 -0.084065876442327 0.52133333769817
18 0.4 60 0.1 0.3 "MI-a" "gamma10" 0.227701049864903 0.0611051598452066 0.103541765153965 0.35186033457584
18 0.4 60 0.1 0.3 "MI-a" "gamma01" 0.218633730627921 0.153827259959303 -0.0921905354511105 0.529457996706953
18 0.4 60 0.1 0.3 "bayes" "gamma10" 0.223950172968297 0.0536790638626862 0.118741141073606 0.329159204862987
18 0.4 60 0.1 0.3 "bayes" "gamma01" 0.230354656776794 0.16369113183697 -0.0904740662122652 0.551183379765852
6 0.4 60 0.1 0 "CD" "gamma10" 0.147030523961799 0.0441235015199797 0.0603743686414609 0.233686679282138
6 0.4 60 0.1 0 "CD" "gamma01" 0.608583348379149 0.137957059134916 0.33243229104753 0.884734405710769
6 0.4 60 0.1 0 "LD" "gamma10" 0.150128078039639 0.0547094005255354 0.0425912057616081 0.25766495031767
6 0.4 60 0.1 0 "LD" "gamma01" 0.536005348983889 0.140735959995852 0.254291717212227 0.817718980755552
6 0.4 60 0.1 0 "MI-R" "gamma10" 0.143882637053089 0.0510278039848407 0.0430522941813 0.244712979924877
6 0.4 60 0.1 0 "MI-R" "gamma01" 0.579823716208423 0.1612345737583 0.260893088381459 0.898754344035387
6 0.4 60 0.1 0 "MI-a" "gamma10" 0.143882637053089 0.0510278039848407 0.0427775545171885 0.244987719588989
