"ID" "N2" "ICC" "beta" "method" "parameter" "est" "se" "ci_l" "ci_u"
1 15 0.1 0 "MI-R1" "gamma10" 0.247392865527132 0.0799936316637396 0.0895745034988552 0.405211227555408
1 15 0.1 0 "MI-R1" "gamma01" 0.376579742488232 0.475310426004659 -0.577157828233683 1.33031731321015
1 15 0.1 0 "MI-R2" "gamma10" 0.240379139209248 0.0753772690977253 0.0922083187883389 0.388549959630156
1 15 0.1 0 "MI-R2" "gamma01" 0.208063860728394 0.391503167465587 -0.562530145852028 0.978657867308816
3 60 0.1 0 "MI-R1" "gamma10" 0.206101899087245 0.0495609676035728 0.106932096268786 0.305271701905705
3 60 0.1 0 "MI-R1" "gamma01" 0.204130578040551 0.135654642803166 -0.0624466578404306 0.470707813921533
3 60 0.1 0 "MI-R2" "gamma10" 0.216017842545719 0.0442378960401488 0.128741453485225 0.303294231606212
3 60 0.1 0 "MI-R2" "gamma01" 0.245333558658462 0.136065600202799 -0.0218288532087799 0.512495970525704
5 30 0.1 0.3 "MI-R1" "gamma10" 0.234484265679229 0.0766048487335596 0.0834359561567779 0.38553257520168
5 30 0.1 0.3 "MI-R1" "gamma01" 0.523196536881179 0.206302887349162 0.117989823741368 0.92840325002099
5 30 0.1 0.3 "MI-R2" "gamma10" 0.227253734114779 0.0809305717145188 0.0668245138505948 0.387682954378963
5 30 0.1 0.3 "MI-R2" "gamma01" 0.55633495912716 0.214073406292584 0.133987337429241 0.978682580825079
6 60 0.1 0.3 "MI-R1" "gamma10" 0.191433314589747 0.0631336632122075 0.0635922534177933 0.3192743757617
6 60 0.1 0.3 "MI-R1" "gamma01" 0.390203438174598 0.15047624200709 0.0934630155094834 0.686943860839713
6 60 0.1 0.3 "MI-R2" "gamma10" 0.196136987329874 0.0542965857936065 0.0882723100573919 0.304001664602355
6 60 0.1 0.3 "MI-R2" "gamma01" 0.423164454557485 0.164231226990645 0.0977905359075736 0.748538373207397
1 15 0.1 0 "MI-R1" "gamma10" 0.221045317554076 0.119104480663496 -0.0204695649464828 0.462560200054634
1 15 0.1 0 "MI-R1" "gamma01" 0.574527859412881 0.291636874333611 -0.00150180132830946 1.15055752015407
1 15 0.1 0 "MI-R2" "gamma10" 0.18580492512403 0.110811102485693 -0.0362033443887674 0.407813194636828
1 15 0.1 0 "MI-R2" "gamma01" 0.579641913018798 0.284827000819908 0.0196824117518771 1.13960141428572
5 30 0.1 0.3 "MI-R1" "gamma10" 0.275364734255256 0.0690497030552393 0.139109516783063 0.41161995172745
5 30 0.1 0.3 "MI-R1" "gamma01" 0.341058703234875 0.107161502834881 0.130623226083508 0.551494180386241
5 30 0.1 0.3 "MI-R2" "gamma10" 0.278457812193359 0.0698156261715404 0.140725713363608 0.416189911023109
5 30 0.1 0.3 "MI-R2" "gamma01" 0.348965499930283 0.103201374630448 0.146437599542491 0.551493400318075
