"ID" "gamma01" "N2" "ICC" "beta" "method" "parameter" "est" "se" "ci_l" "ci_u"
1 0 15 0.1 0 "CD" "gamma10" 0.134651251095843 0.0731081031914079 -0.00982741758117361 0.27912991977286
1 0 15 0.1 0 "CD" "gamma01" 0.190592478704809 0.222181920241705 -0.289402377818086 0.670587335227703
1 0 15 0.1 0 "LD" "gamma10" 0.0790090005569897 0.0880984560059726 -0.0957338692175673 0.253751870331547
1 0 15 0.1 0 "LD" "gamma01" 0.118586147448598 0.174220512861936 -0.257794387851201 0.494966682748397
1 0 15 0.1 0 "MI-R" "gamma10" 0.058161415841507 0.101154735594484 -0.145923841292468 0.262246672975482
1 0 15 0.1 0 "MI-R" "gamma01" 0.0579659335436637 0.206873838050219 -0.349244377433051 0.465176244520379
1 0 15 0.1 0 "MI-a" "gamma10" 0.058161415841507 0.101154735594484 -0.149220949745483 0.265543781428497
1 0 15 0.1 0 "MI-a" "gamma01" 0.0579659335436637 0.206873838050219 -0.409659550287993 0.525591417375321
1 0 15 0.1 0 "bayes" "gamma10" 0.0710624765404237 0.0896856691948014 -0.10471820501076 0.246843158091608
1 0 15 0.1 0 "bayes" "gamma01" 0.0225266282771876 0.27886397838374 -0.524036725940499 0.569089982494874
15 0 30 0.1 0.3 "CD" "gamma10" 0.247220012221172 0.0674433032034793 0.114492702619772 0.379947321822572
15 0 30 0.1 0.3 "CD" "gamma01" -0.115138543949698 0.183474811315842 -0.490969657788605 0.260692569889208
15 0 30 0.1 0.3 "LD" "gamma10" 0.294630537079034 0.0822184363408894 0.132494343614428 0.45676673054364
15 0 30 0.1 0.3 "LD" "gamma01" -0.243997041445321 0.210887778710627 -0.675981073473505 0.187986990582864
15 0 30 0.1 0.3 "MI-R" "gamma10" 0.270785051187421 0.0717827404243692 0.12986176381519 0.411708338559651
15 0 30 0.1 0.3 "MI-R" "gamma01" -0.160960249508642 0.208505913666184 -0.57189622548717 0.249975726469886
15 0 30 0.1 0.3 "MI-a" "gamma10" 0.270785051187421 0.0717827404243692 0.129207732739274 0.412362369635567
15 0 30 0.1 0.3 "MI-a" "gamma01" -0.160960249508642 0.208505913666184 -0.597269247180855 0.27534874816357
15 0 30 0.1 0.3 "bayes" "gamma10" 0.282959175729343 0.0822960126116522 0.121661954939251 0.444256396519436
15 0 30 0.1 0.3 "bayes" "gamma01" -0.140139222899238 0.244616530262171 -0.619578812236246 0.33930036643777
20 0.4 15 0.3 0.3 "CD" "gamma10" 0.0640764302492456 0.0816275854807402 -0.0972387231024933 0.225391583600985
20 0.4 15 0.3 0.3 "CD" "gamma01" 0.607641973661561 0.283664168112022 -0.00517720408924283 1.22046115141236
20 0.4 15 0.3 0.3 "LD" "gamma10" 0.0673042741291811 0.0925665555307017 -0.11625867918554 0.250867227443902
