"ID" "gamma01" "N2" "ICC" "beta" "method" "parameter" "est" "se" "ci_l" "ci_u"
22 0.4 30 0.3 0.3 "CD" "gamma10" 0.201765882134946 0.0533885633269844 0.0966980690639362 0.306833695205956
22 0.4 30 0.3 0.3 "CD" "gamma01" 0.239360035312147 0.157618606080749 -0.0835070430634714 0.562227113687765
22 0.4 30 0.3 0.3 "LD" "gamma10" 0.193595400937934 0.0649851955194524 0.0654628660611473 0.321727935814721
22 0.4 30 0.3 0.3 "LD" "gamma01" 0.2865380955211 0.16430300601424 -0.0500213554168963 0.623097546459096
22 0.4 30 0.3 0.3 "MI-R" "gamma10" 0.188897685304348 0.0607153778056397 0.0688486598073233 0.308946710801373
22 0.4 30 0.3 0.3 "MI-R" "gamma01" 0.259591514416038 0.176575335692699 -0.0871613636007525 0.606344392432828
22 0.4 30 0.3 0.3 "MI-a" "gamma10" 0.188897685304348 0.0607153778056397 0.0681783952553889 0.309616975353307
22 0.4 30 0.3 0.3 "MI-a" "gamma01" 0.259591514416038 0.176575335692699 -0.106383618375861 0.625566647207937
22 0.4 30 0.3 0.3 "bayes" "gamma10" 0.192340244692277 0.0599330080798113 0.0748737073706992 0.309806782013856
22 0.4 30 0.3 0.3 "bayes" "gamma01" 0.293837484455126 0.194516073035385 -0.0874070131083909 0.675081982018644
18 0.4 60 0.1 0.3 "CD" "gamma10" 0.187210904077049 0.0428837534885062 0.1029895464104 0.271432261743697
18 0.4 60 0.1 0.3 "CD" "gamma01" 0.528733288056347 0.15043456568468 0.227605787705528 0.829860788407166
18 0.4 60 0.1 0.3 "LD" "gamma10" 0.162307777021463 0.0522752864101024 0.0595629098619033 0.265052644181023
18 0.4 60 0.1 0.3 "LD" "gamma01" 0.47136903472723 0.137251636331423 0.196630034555077 0.746108034899382
18 0.4 60 0.1 0.3 "MI-R" "gamma10" 0.174322515946851 0.0503260080163123 0.07478352067278 0.273861511220922
18 0.4 60 0.1 0.3 "MI-R" "gamma01" 0.390728098704142 0.153700949677389 0.0877069443375131 0.693749253070771
18 0.4 60 0.1 0.3 "MI-a" "gamma10" 0.174322515946851 0.0503260080163123 0.0745069053541034 0.274138126539599
18 0.4 60 0.1 0.3 "MI-a" "gamma01" 0.390728098704142 0.153700949677389 0.0791715314446546 0.70228466596363
18 0.4 60 0.1 0.3 "bayes" "gamma10" 0.161097943085059 0.0506602196678708 0.0618057370871444 0.260390149082973
18 0.4 60 0.1 0.3 "bayes" "gamma01" 0.461542488357445 0.165152510316889 0.137849516179964 0.785235460534927
8 0.4 15 0.3 0 "CD" "gamma10" 0.266454785776744 0.0727102686163803 0.122762331038327 0.410147240515161
8 0.4 15 0.3 0 "CD" "gamma01" 0.23448379867097 0.163785044177722 -0.119352277167954 0.588319874509895
8 0.4 15 0.3 0 "LD" "gamma10" 0.231411088826221 0.0927075364423888 0.0475891695723418 0.415233008080101
8 0.4 15 0.3 0 "LD" "gamma01" 0.199241056781266 0.154412614821575 -0.134347116441727 0.532829230004259
8 0.4 15 0.3 0 "MI-R" "gamma10" 0.221323830988283 0.0833480214477944 0.0564995131917776 0.386148148784788
8 0.4 15 0.3 0 "MI-R" "gamma01" 0.212202445435432 0.170952592355445 -0.123237237274172 0.547642128145036
8 0.4 15 0.3 0 "MI-a" "gamma10" 0.221323830988283 0.0833480214477944 0.0546111941358721 0.388036467840694
8 0.4 15 0.3 0 "MI-a" "gamma01" 0.212202445435432 0.170952592355445 -0.167526175716644 0.591931066587508
8 0.4 15 0.3 0 "bayes" "gamma10" 0.215884343006084 0.0899864517155589 0.0395141385470363 0.392254547465132
8 0.4 15 0.3 0 "bayes" "gamma01" 0.201481365175297 0.211711249740817 -0.213465059438669 0.616427789789264
5 0 60 0.1 0 "CD" "gamma10" 0.170121018188531 0.0382504205012107 0.0949992743142317 0.245242762062831
5 0 60 0.1 0 "CD" "gamma01" 0.0330010881656848 0.12775529691253 -0.222728923356293 0.288731099687662
5 0 60 0.1 0 "LD" "gamma10" 0.171083797557849 0.0469909870981282 0.078712459812155 0.263455135303542
