"ID" "gamma01" "N2" "ICC" "beta" "method" "parameter" "est" "se" "ci_l" "ci_u"
24 0.4 60 0.3 0.3 "CD" "gamma10" 0.181865966044938 0.040528839014224 0.102269532226573 0.261462399863303
24 0.4 60 0.3 0.3 "CD" "gamma01" 0.374939048341751 0.120294180902611 0.134144083188065 0.615734013495437
24 0.4 60 0.3 0.3 "LD" "gamma10" 0.220793432044156 0.0466624101426798 0.129080436081918 0.312506428006394
24 0.4 60 0.3 0.3 "LD" "gamma01" 0.238607770915731 0.125983110327731 -0.0135748237342876 0.490790365565749
24 0.4 60 0.3 0.3 "MI-R" "gamma10" 0.230560181613431 0.0454044830408054 0.141026051562146 0.320094311664716
24 0.4 60 0.3 0.3 "MI-R" "gamma01" 0.315094286488818 0.129987891392162 0.0601653714190279 0.570023201558609
24 0.4 60 0.3 0.3 "MI-a" "gamma10" 0.230560181613431 0.0454044830408054 0.140792865680659 0.320327497546204
24 0.4 60 0.3 0.3 "MI-a" "gamma01" 0.315094286488818 0.129987891392162 0.054125209305413 0.576063363672224
24 0.4 60 0.3 0.3 "bayes" "gamma10" 0.222842625672604 0.0486623835719289 0.12746610646975 0.318219144875459
24 0.4 60 0.3 0.3 "bayes" "gamma01" 0.311302309167287 0.138942180739857 0.038980638983712 0.583623979350862
8 0.4 15 0.3 0 "CD" "gamma10" 0.345376311434287 0.0743607986273098 0.19842202431094 0.492330598557635
8 0.4 15 0.3 0 "CD" "gamma01" 0.583817000328836 0.16359493559835 0.230391629106112 0.937242371551561
8 0.4 15 0.3 0 "LD" "gamma10" 0.344240095607435 0.0973472843495208 0.150871673930854 0.537608517284016
8 0.4 15 0.3 0 "LD" "gamma01" 0.56349083478907 0.207635598411152 0.114921396015722 1.01206027356242
8 0.4 15 0.3 0 "MI-R" "gamma10" 0.321452408330681 0.108528665473786 0.0997620830075806 0.543142733653782
8 0.4 15 0.3 0 "MI-R" "gamma01" 0.564717419221221 0.210289131779149 0.15122526736548 0.978209571076961
8 0.4 15 0.3 0 "MI-a" "gamma10" 0.321452408330681 0.108528665473786 0.0954177998854901 0.547487016775872
8 0.4 15 0.3 0 "MI-a" "gamma01" 0.564717419221221 0.210289131779149 0.0918859523233237 1.03754888611912
8 0.4 15 0.3 0 "bayes" "gamma10" 0.323023682282112 0.0978063080740297 0.131326840996185 0.51472052356804
8 0.4 15 0.3 0 "bayes" "gamma01" 0.637101775658144 0.232563587581887 0.181285519882219 1.09291803143407
6 0.4 60 0.1 0 "CD" "gamma10" 0.217952026846316 0.0405762579733028 0.138262464773359 0.297641588919274
6 0.4 60 0.1 0 "CD" "gamma01" 0.521305027048128 0.0969544099519107 0.327229689482404 0.715380364613853
6 0.4 60 0.1 0 "LD" "gamma10" 0.194548871657016 0.0491716565358227 0.0979028009023821 0.291194942411651
6 0.4 60 0.1 0 "LD" "gamma01" 0.462435223284099 0.112539848567111 0.237162240744256 0.687708205823943
6 0.4 60 0.1 0 "MI-R" "gamma10" 0.175492522817977 0.0445090424222554 0.0877918158845258 0.263193229751427
6 0.4 60 0.1 0 "MI-R" "gamma01" 0.452900074464201 0.115149470377777 0.226606416998059 0.679193731930344
6 0.4 60 0.1 0 "MI-a" "gamma10" 0.175492522817977 0.0445090424222554 0.0875675380629939 0.263417507572959
6 0.4 60 0.1 0 "MI-a" "gamma01" 0.452900074464201 0.115149470377777 0.220764500052908 0.685035648875495
6 0.4 60 0.1 0 "bayes" "gamma10" 0.185799989723114 0.0442510102418922 0.099069603369492 0.272530376076736
6 0.4 60 0.1 0 "bayes" "gamma01" 0.497263521402769 0.12229164813154 0.257576295454905 0.736950747350633
18 0.4 60 0.1 0.3 "CD" "gamma10" 0.150204635603313 0.0398851345845761 0.0718724022476132 0.228536868959013
18 0.4 60 0.1 0.3 "CD" "gamma01" 0.344709512174613 0.124732050440011 0.0950311859755568 0.594387838373668
18 0.4 60 0.1 0.3 "LD" "gamma10" 0.136597666241728 0.0488588541778101 0.0405573238173231 0.232638008666132
18 0.4 60 0.1 0.3 "LD" "gamma01" 0.35426218095326 0.127319223017894 0.0994050661705544 0.609119295735965
18 0.4 60 0.1 0.3 "MI-R" "gamma10" 0.134256378374655 0.0496892219400813 0.0354482950224749 0.233064461726834
18 0.4 60 0.1 0.3 "MI-R" "gamma01" 0.31872286587403 0.11887484942028 0.0856063204427314 0.551839411305328
18 0.4 60 0.1 0.3 "MI-a" "gamma10" 0.134256378374655 0.0496892219400813 0.0351446523088469 0.233368104440462
18 0.4 60 0.1 0.3 "MI-a" "gamma01" 0.31872286587403 0.11887484942028 0.0801094102838262 0.557336321464233
18 0.4 60 0.1 0.3 "bayes" "gamma10" 0.137840683006127 0.0476845805604127 0.0443806224898191 0.231300743522434
18 0.4 60 0.1 0.3 "bayes" "gamma01" 0.377078537028959 0.131078187139579 0.120170011076583 0.633987062981335
4 0.4 30 0.1 0 "CD" "gamma10" 0.192645202868063 0.0544730073448979 0.0854432218356064 0.29984718390052
4 0.4 30 0.1 0 "CD" "gamma01" 0.387501497202788 0.251961585603691 -0.128618414205868 0.903621408611443
4 0.4 30 0.1 0 "LD" "gamma10" 0.201992630199538 0.0690290804446974 0.0659531370670281 0.338032123332048
4 0.4 30 0.1 0 "LD" "gamma01" 0.258967297918435 0.208063795812658 -0.167232067373242 0.685166663210113
4 0.4 30 0.1 0 "MI-R" "gamma10" 0.185517460921765 0.0611577981607214 0.0653719193872442 0.305663002456286
4 0.4 30 0.1 0 "MI-R" "gamma01" 0.261061961579017 0.251033946589542 -0.236991636548364 0.759115559706398
4 0.4 30 0.1 0 "MI-a" "gamma10" 0.185517460921765 0.0611577981607214 0.0648005926934864 0.306234329150043
4 0.4 30 0.1 0 "MI-a" "gamma01" 0.261061961579017 0.251033946589542 -0.272544017325565 0.794667940483599
4 0.4 30 0.1 0 "bayes" "gamma10" 0.185339585178607 0.0634446610417946 0.0609903345253385 0.309688835831876
4 0.4 30 0.1 0 "bayes" "gamma01" 0.341783431196362 0.257734042872276 -0.163366010423201 0.846932872815925
10 0.4 30 0.3 0 "CD" "gamma10" 0.134975942079987 0.0600987593434703 0.0167025737964878 0.253249310363487
10 0.4 30 0.3 0 "CD" "gamma01" 0.829926582967267 0.166021023921367 0.489847931878579 1.17000523405595
10 0.4 30 0.3 0 "LD" "gamma10" 0.209574536148107 0.0746993251411358 0.0623179044588409 0.356831167837372
10 0.4 30 0.3 0 "LD" "gamma01" 0.88786656951133 0.203890594684189 0.470215619215359 1.3055175198073
