"ID" "gamma01" "N2" "ICC" "beta" "method" "parameter" "est" "se" "ci_l" "ci_u"
6 0.4 60 0.1 0 "CD" "gamma10" 0.243600749821314 0.0380342393430712 0.168903573974749 0.31829792566788
6 0.4 60 0.1 0 "CD" "gamma01" 0.612443887009823 0.146805719236988 0.318580312040627 0.906307461979019
6 0.4 60 0.1 0 "LD" "gamma10" 0.271914542331288 0.0461065772092688 0.181297483861051 0.362531600801526
6 0.4 60 0.1 0 "LD" "gamma01" 0.514289860213778 0.157726390824059 0.198566185990135 0.83001353443742
6 0.4 60 0.1 0 "MI-R" "gamma10" 0.264516636194283 0.0410712760418505 0.183881832083133 0.345151440305433
6 0.4 60 0.1 0 "MI-R" "gamma01" 0.507048625259142 0.158337445731686 0.196188085980983 0.817909164537301
6 0.4 60 0.1 0 "MI-a" "gamma10" 0.264516636194283 0.0410712760418505 0.183696349465443 0.345336922923123
6 0.4 60 0.1 0 "MI-a" "gamma01" 0.507048625259142 0.158337445731686 0.188438246404859 0.825659004113425
6 0.4 60 0.1 0 "bayes" "gamma10" 0.263476249383031 0.0433042186167308 0.17860154051559 0.348350958250472
6 0.4 60 0.1 0 "bayes" "gamma01" 0.541467777032997 0.172387674254394 0.203594144115761 0.879341409950232
12 0.4 60 0.3 0 "CD" "gamma10" 0.216836605151229 0.0430135144656927 0.132360403988344 0.301312806314115
12 0.4 60 0.3 0 "CD" "gamma01" 0.451710380489171 0.131180336882642 0.189124406575124 0.714296354403217
12 0.4 60 0.3 0 "LD" "gamma10" 0.254796303536975 0.0550238927462157 0.146641264921114 0.362951342152836
12 0.4 60 0.3 0 "LD" "gamma01" 0.461644002404437 0.127878367042671 0.205667639251181 0.717620365557694
12 0.4 60 0.3 0 "MI-R" "gamma10" 0.247592133481282 0.0563286443797875 0.135092275925403 0.360091991037161
12 0.4 60 0.3 0 "MI-R" "gamma01" 0.423936568309417 0.149660677664935 0.129598827546749 0.718274309072084
12 0.4 60 0.3 0 "MI-a" "gamma10" 0.247592133481282 0.0563286443797875 0.134719824257467 0.360464442705096
12 0.4 60 0.3 0 "MI-a" "gamma01" 0.423936568309417 0.149660677664935 0.121821984933445 0.726051151685388
12 0.4 60 0.3 0 "bayes" "gamma10" 0.259956349190813 0.0516129575324987 0.15879681129152 0.361115887090106
12 0.4 60 0.3 0 "bayes" "gamma01" 0.422378067096646 0.14818590751184 0.131939025357055 0.712817108836236
18 0.4 60 0.1 0.3 "CD" "gamma10" 0.20152369176126 0.0406200632650349 0.121748098479686 0.281299285042835
18 0.4 60 0.1 0.3 "CD" "gamma01" 0.307780619052377 0.1270448367318 0.0534727480959562 0.562088490008798
18 0.4 60 0.1 0.3 "LD" "gamma10" 0.15541513777742 0.0481643750109087 0.0607444609340117 0.250085814620828
18 0.4 60 0.1 0.3 "LD" "gamma01" 0.31957309858294 0.141729766410793 0.0358701471346345 0.603276050031245
18 0.4 60 0.1 0.3 "MI-R" "gamma10" 0.169266879080303 0.0522849850650327 0.0645448286136457 0.27398892954696
18 0.4 60 0.1 0.3 "MI-R" "gamma01" 0.255242207665046 0.140577533264779 -0.0211951551514687 0.531679570481561
18 0.4 60 0.1 0.3 "MI-a" "gamma10" 0.169266879080303 0.0522849850650327 0.0641815464347045 0.274352211725901
18 0.4 60 0.1 0.3 "MI-a" "gamma01" 0.255242207665046 0.140577533264779 -0.0284705823893785 0.538954997719471
18 0.4 60 0.1 0.3 "bayes" "gamma10" 0.162778562964143 0.0464769604451755 0.071685394380706 0.253871731547579
18 0.4 60 0.1 0.3 "bayes" "gamma01" 0.28285955174057 0.158218866949877 -0.0272437291559242 0.592962832637064
1 0 15 0.1 0 "CD" "gamma10" 0.0413172675823215 0.087959632116665 -0.132511487244811 0.215146022409454
1 0 15 0.1 0 "CD" "gamma01" -0.139342109000091 0.19785089578684 -0.566772982911066 0.288088764910883
1 0 15 0.1 0 "LD" "gamma10" -0.0766492732519764 0.102188331073698 -0.279413092022734 0.126114545518781
1 0 15 0.1 0 "LD" "gamma01" -0.0248080057987073 0.212319206596003 -0.483495764893761 0.433879753296347
1 0 15 0.1 0 "MI-R" "gamma10" -0.0820632027618268 0.0893328085653073 -0.25746864013604 0.0933422346123861
1 0 15 0.1 0 "MI-R" "gamma01" -0.14937859291791 0.222549819406475 -0.586658943926713 0.287901758090892
1 0 15 0.1 0 "MI-a" "gamma10" -0.0820632027618268 0.0893328085653073 -0.259142508963583 0.0950161034399298
1 0 15 0.1 0 "MI-a" "gamma01" -0.14937859291791 0.222549819406475 -0.647839307126641 0.349082121290821
1 0 15 0.1 0 "bayes" "gamma10" -0.0587368004780662 0.103278381057143 -0.26115870773167 0.143685106775538
1 0 15 0.1 0 "bayes" "gamma01" -0.142613178576124 0.261523675222024 -0.65519016311584 0.369963805963592
5 0 60 0.1 0 "CD" "gamma10" 0.185122810372998 0.0416938657036082 0.103238327549684 0.267007293196311
5 0 60 0.1 0 "CD" "gamma01" 0.0984231539113386 0.15603791402075 -0.213920666773548 0.410766974596225
5 0 60 0.1 0 "LD" "gamma10" 0.235461913361651 0.0514041190805668 0.134405921168327 0.336517905554974
5 0 60 0.1 0 "LD" "gamma01" 0.0805006108560159 0.161696641013794 -0.243170382588851 0.404171604300883
5 0 60 0.1 0 "MI-R" "gamma10" 0.213806246806027 0.0469828943887392 0.121012612341706 0.306599881270348
