"ID" "N2" "ICC" "beta" "method" "parameter" "est" "se" "ci_l" "ci_u"
5 30 0.1 0.3 "MI-R1" "gamma10" 0.0853684009731056 0.0784780686429598 -0.0691094066332654 0.239846208579477
5 30 0.1 0.3 "MI-R1" "gamma01" 0.529072420756896 0.140893307931329 0.252734813484043 0.805410028029749
5 30 0.1 0.3 "MI-R2" "gamma10" 0.0453716240937027 0.079014848913532 -0.110604317686081 0.201347565873487
5 30 0.1 0.3 "MI-R2" "gamma01" 0.54696124555824 0.145350603860041 0.26183450276161 0.83208798835487
1 15 0.1 0 "MI-R1" "gamma10" 0.211638705845231 0.0949430011072178 0.0218631566171354 0.401414255073326
1 15 0.1 0 "MI-R1" "gamma01" 0.459099046079472 0.1607846707796 0.141345341388785 0.77685275077016
1 15 0.1 0 "MI-R2" "gamma10" 0.181380681545298 0.0861711205275149 0.0109427918871438 0.351818571203451
1 15 0.1 0 "MI-R2" "gamma01" 0.492359275276059 0.165326304339551 0.167451685362659 0.817266865189459
4 15 0.1 0.3 "MI-R1" "gamma10" 0.144603907024385 0.0785568261280411 -0.0106096638798788 0.299817477928649
4 15 0.1 0.3 "MI-R1" "gamma01" 0.355765893169225 0.350997042526221 -0.333773410307717 1.04530519664617
4 15 0.1 0.3 "MI-R2" "gamma10" 0.168908580145789 0.0867411689886895 -0.00421709349609295 0.34203425378767
4 15 0.1 0.3 "MI-R2" "gamma01" 0.47525707091346 0.360495247546774 -0.235093581540796 1.18560772336772
3 60 0.1 0 "MI-R1" "gamma10" 0.200130429805963 0.0444907314623942 0.112406802232783 0.287854057379143
3 60 0.1 0 "MI-R1" "gamma01" 0.118792321737791 0.137598550371055 -0.151409014327427 0.38899365780301
3 60 0.1 0 "MI-R2" "gamma10" 0.204627752868259 0.0429573553619246 0.120118503186268 0.289137002550251
3 60 0.1 0 "MI-R2" "gamma01" 0.110495283080314 0.151505244485317 -0.187782394504312 0.408772960664941
4 15 0.1 0.3 "MI-R1" "gamma10" 0.11341866423186 0.0887856558644143 -0.0635242787498931 0.290361607213613
4 15 0.1 0.3 "MI-R1" "gamma01" 0.369665810704153 0.162563431590031 0.0483678462000319 0.690963775208274
4 15 0.1 0.3 "MI-R2" "gamma10" 0.119952397806294 0.105102610489675 -0.0943733583672071 0.334278153979796
4 15 0.1 0.3 "MI-R2" "gamma01" 0.383531525141937 0.152939763717032 0.0829517965675864 0.684111253716287
2 30 0.1 0 "MI-R1" "gamma10" 0.152693535904682 0.0657240739740088 0.0230192485910305 0.282367823218333
2 30 0.1 0 "MI-R1" "gamma01" 0.295604205016855 0.174380055594668 -0.0487268787951808 0.639935288828891
2 30 0.1 0 "MI-R2" "gamma10" 0.128744749404056 0.0769352914717973 -0.0262645628089267 0.283754061617039
2 30 0.1 0 "MI-R2" "gamma01" 0.257798933657349 0.211666758795178 -0.164986268934599 0.680584136249297
3 60 0.1 0 "MI-R1" "gamma10" 0.223230937962457 0.0559143782791242 0.110382265716789 0.336079610208126
3 60 0.1 0 "MI-R1" "gamma01" 0.400838370008698 0.134212228112379 0.136600823094649 0.665075916922747
3 60 0.1 0 "MI-R2" "gamma10" 0.226951725448185 0.0424725969847613 0.143602612247166 0.310300838649204
3 60 0.1 0 "MI-R2" "gamma01" 0.438681993649179 0.133891521606352 0.175077223747821 0.702286763550536
4 15 0.1 0.3 "MI-R1" "gamma10" 0.186884682127414 0.0858748535351108 0.0163414780710106 0.357427886183818
4 15 0.1 0.3 "MI-R1" "gamma01" 0.365643600655808 0.298341305048243 -0.231611908729768 0.962899110041383
4 15 0.1 0.3 "MI-R2" "gamma10" 0.163691857459158 0.0828075366891881 0.000421923117605499 0.326961791800711
4 15 0.1 0.3 "MI-R2" "gamma01" 0.474801414070471 0.284981033484853 -0.0862661805297355 1.03586900867068
3 60 0.1 0 "MI-R1" "gamma10" 0.246326493029677 0.0482745875700077 0.149750006985538 0.342902979073815
3 60 0.1 0 "MI-R1" "gamma01" 0.473503646581679 0.1078818391922 0.260842658682477 0.686164634480882
3 60 0.1 0 "MI-R2" "gamma10" 0.250201683067736 0.0412309502991226 0.169117250950576 0.331286115184896
3 60 0.1 0 "MI-R2" "gamma01" 0.514058537230296 0.103463029973845 0.311035412919583 0.717081661541008
4 15 0.1 0.3 "MI-R1" "gamma10" 0.0186739546103791 0.101503634513672 -0.184544447102615 0.221892356323374
4 15 0.1 0.3 "MI-R1" "gamma01" 0.245572144332325 0.264638017515241 -0.274613067706129 0.765757356370779
4 15 0.1 0.3 "MI-R2" "gamma10" -0.012369688891774 0.0878060487954214 -0.185436128907371 0.160696751123823
4 15 0.1 0.3 "MI-R2" "gamma01" 0.282534040891154 0.255435730009131 -0.219168102516265 0.784236184298572
1 15 0.1 0 "MI-R1" "gamma10" 0.205979694748557 0.130658243009743 -0.0570268712718466 0.468986260768961
1 15 0.1 0 "MI-R1" "gamma01" 0.380341854399453 0.196186729160981 -0.00614389773371959 0.766827606532626
1 15 0.1 0 "MI-R2" "gamma10" 0.204615692804724 0.122121629574563 -0.0398861732473078 0.449117558856756
1 15 0.1 0 "MI-R2" "gamma01" 0.417031294222526 0.207893169633382 0.00760471565027343 0.826457872794778
5 30 0.1 0.3 "MI-R1" "gamma10" 0.2198707439924 0.0750402882416816 0.0694645444471772 0.370276943537623
5 30 0.1 0.3 "MI-R1" "gamma01" 0.221080944836981 0.18408138948093 -0.1402331868639 0.582395076537863
5 30 0.1 0.3 "MI-R2" "gamma10" 0.192448706438324 0.0758156280789759 0.0401565217596379 0.34474089111701
5 30 0.1 0.3 "MI-R2" "gamma01" 0.303774327247517 0.187344929949094 -0.0634936503016797 0.671042304796714
6 60 0.1 0.3 "MI-R1" "gamma10" 0.286376634430236 0.0451206774320588 0.197631089131765 0.375122179728707
6 60 0.1 0.3 "MI-R1" "gamma01" 0.329074973280617 0.139922598155725 0.0542653058630823 0.603884640698152
6 60 0.1 0.3 "MI-R2" "gamma10" 0.294249431253761 0.0485912025647241 0.197980423429743 0.39051843907778
6 60 0.1 0.3 "MI-R2" "gamma01" 0.365406001707091 0.179085361446529 0.00764682447777554 0.723165178936407
1 15 0.1 0 "MI-R1" "gamma10" 0.242720804517264 0.0935713961608551 0.0585657680378162 0.426875840996712
1 15 0.1 0 "MI-R1" "gamma01" 0.138099711922703 0.24602505144782 -0.346409494228151 0.622608918073558
1 15 0.1 0 "MI-R2" "gamma10" 0.219379882632742 0.105803309290607 0.00839959377276944 0.430360171492714
1 15 0.1 0 "MI-R2" "gamma01" 0.177474587907807 0.305733921329073 -0.426483488214696 0.781432664030311
5 30 0.1 0.3 "MI-R1" "gamma10" 0.187676288017793 0.0778516096803665 0.0318911123579317 0.343461463677655
5 30 0.1 0.3 "MI-R1" "gamma01" 0.361414408176972 0.253904041401529 -0.13749272507698 0.860321541430923
5 30 0.1 0.3 "MI-R2" "gamma10" 0.176642903509119 0.0786129845847024 0.0191352217870418 0.334150585231196
5 30 0.1 0.3 "MI-R2" "gamma01" 0.375386639045194 0.281759711301587 -0.180290823572968 0.931064101663357
6 60 0.1 0.3 "MI-R1" "gamma10" 0.21631402555337 0.0511733351101313 0.114816796856998 0.317811254249742
6 60 0.1 0.3 "MI-R1" "gamma01" 0.264712836603546 0.121394099958219 0.0258347023214852 0.503590970885607
6 60 0.1 0.3 "MI-R2" "gamma10" 0.21045796362476 0.0513545873236537 0.108448011080569 0.312467916168951
6 60 0.1 0.3 "MI-R2" "gamma01" 0.251904878516582 0.129875662115051 -0.00396265291956976 0.507772409952734
1 15 0.1 0 "MI-R1" "gamma10" 0.0524700740531022 0.0891765449593311 -0.123403041776464 0.228343189882669
1 15 0.1 0 "MI-R1" "gamma01" 0.227934587310761 0.282058850214459 -0.325422507071632 0.781291681693154
1 15 0.1 0 "MI-R2" "gamma10" 0.061712508662027 0.0940732692634281 -0.12435105652464 0.247776073848695
1 15 0.1 0 "MI-R2" "gamma01" 0.288709488696098 0.277058230837121 -0.254841129452375 0.832260106844571
5 30 0.1 0.3 "MI-R1" "gamma10" 0.218440139987573 0.0715695276225397 0.0746549646424488 0.362225315332698
5 30 0.1 0.3 "MI-R1" "gamma01" 0.477103102105164 0.183725819088445 0.114773895718245 0.839432308492083
5 30 0.1 0.3 "MI-R2" "gamma10" 0.236305589644576 0.0576252641833635 0.122992018840221 0.349619160448931
5 30 0.1 0.3 "MI-R2" "gamma01" 0.560415641518628 0.191037843487794 0.182727317689692 0.938103965347564
6 60 0.1 0.3 "MI-R1" "gamma10" 0.229195019657317 0.0445495062012767 0.141751670366661 0.316638368947973
6 60 0.1 0.3 "MI-R1" "gamma01" 0.586710376318331 0.123935941240543 0.343356879869438 0.830063872767225
6 60 0.1 0.3 "MI-R2" "gamma10" 0.242250214019565 0.0534292026318354 0.135439497553027 0.349060930486102
6 60 0.1 0.3 "MI-R2" "gamma01" 0.591825221121455 0.129017043278307 0.338614675696932 0.845035766545978
1 15 0.1 0 "MI-R1" "gamma10" 0.258921529937499 0.090161179395574 0.0808820732073896 0.436960986667609
1 15 0.1 0 "MI-R1" "gamma01" 0.556329564090074 0.297169921888722 -0.0277786533140574 1.14043778149421
1 15 0.1 0 "MI-R2" "gamma10" 0.268758046438655 0.0868532677466599 0.0980306152051391 0.43948547767217
1 15 0.1 0 "MI-R2" "gamma01" 0.682259118870159 0.278907871132116 0.133873297426653 1.23064494031367
5 30 0.1 0.3 "MI-R1" "gamma10" 0.199006208426297 0.0622061606454139 0.0753733017985389 0.322639115054055
5 30 0.1 0.3 "MI-R1" "gamma01" 0.686740854944302 0.190606424137473 0.311132905189485 1.06234880469912
5 30 0.1 0.3 "MI-R2" "gamma10" 0.201735660020976 0.0539842237544469 0.0957844797132666 0.307686840328685
5 30 0.1 0.3 "MI-R2" "gamma01" 0.732406662814849 0.219438015232214 0.293567290463866 1.17124603516583
6 60 0.1 0.3 "MI-R1" "gamma10" 0.188952501100689 0.0542765564307308 0.0806750776309351 0.297229924570443
6 60 0.1 0.3 "MI-R1" "gamma01" 0.342797370751528 0.0984972033280618 0.149713634364094 0.535881107138962
6 60 0.1 0.3 "MI-R2" "gamma10" 0.19992043252233 0.051284612225817 0.0982589772253892 0.301581887819271
6 60 0.1 0.3 "MI-R2" "gamma01" 0.363108172004547 0.0967686129090234 0.173361101791985 0.552855242217108
1 15 0.1 0 "MI-R1" "gamma10" 0.112547843822114 0.103350722066193 -0.0928063375349404 0.317902025179168
1 15 0.1 0 "MI-R1" "gamma01" 0.38251028224226 0.216172960396354 -0.0425370597547232 0.807557624239243
1 15 0.1 0 "MI-R2" "gamma10" 0.116958560810138 0.109234279903732 -0.102432761503534 0.336349883123811
1 15 0.1 0 "MI-R2" "gamma01" 0.351532502920818 0.270027656615745 -0.183201920818889 0.886266926660525
