"ID" "gamma01" "N2" "ICC" "beta" "method" "parameter" "est" "se" "ci_l" "ci_u"
10 0.4 30 0.3 0 "CD" "gamma10" 0.265566626040538 0.0538374761427571 0.159615359943757 0.371517892137319
10 0.4 30 0.3 0 "CD" "gamma01" 0.16553867385883 0.226023965293111 -0.297450430864458 0.628527778582119
10 0.4 30 0.3 0 "LD" "gamma10" 0.252713769707542 0.0665837844454325 0.121451864579707 0.383975674835376
10 0.4 30 0.3 0 "LD" "gamma01" 0.178316733945734 0.225671475393022 -0.283950327948801 0.640583795840269
10 0.4 30 0.3 0 "MI-R" "gamma10" 0.262631276079932 0.0688835888942818 0.125579974059128 0.399682578100735
10 0.4 30 0.3 0 "MI-R" "gamma01" 0.124878741455491 0.231381759115598 -0.328866689390288 0.578624172301269
10 0.4 30 0.3 0 "MI-a" "gamma10" 0.262631276079932 0.0688835888942818 0.124719719041958 0.400542833117905
10 0.4 30 0.3 0 "MI-a" "gamma01" 0.124878741455491 0.231381759115598 -0.352392923326612 0.602150406237594
10 0.4 30 0.3 0 "bayes" "gamma10" 0.265411583466504 0.0669910410766512 0.134111555669424 0.396711611263584
10 0.4 30 0.3 0 "bayes" "gamma01" 0.0839143816013076 0.242924440937037 -0.392208773599812 0.560037536802427
19 0 15 0.3 0.3 "CD" "gamma10" 0.2679303657721 0.085206566143981 0.099542311621773 0.436318419922428
19 0 15 0.3 0.3 "CD" "gamma01" -0.116201236521982 0.302262470798893 -0.76919960446091 0.536797131416946
19 0 15 0.3 0.3 "LD" "gamma10" 0.272267837250685 0.105224126689227 0.0635314748783374 0.481004199623033
19 0 15 0.3 0.3 "LD" "gamma01" -0.134422968052104 0.358564821197425 -0.909055169077206 0.640209232972998
19 0 15 0.3 0.3 "MI-R" "gamma10" 0.240405169743809 0.0978993559688644 0.0475277862689138 0.433282553218705
19 0 15 0.3 0.3 "MI-R" "gamma01" -0.0935188024324629 0.363652426282046 -0.807447190885618 0.620409586020693
19 0 15 0.3 0.3 "MI-a" "gamma10" 0.240405169743809 0.0978993559688644 0.0454946442334088 0.43531569525421
19 0 15 0.3 0.3 "MI-a" "gamma01" -0.0935188024324629 0.363652426282046 -0.904068611741073 0.717031006876148
19 0 15 0.3 0.3 "bayes" "gamma10" 0.269049434032428 0.0994843292660116 0.0740637316449209 0.464035136419935
19 0 15 0.3 0.3 "bayes" "gamma01" -0.0568156088785119 0.435770417797547 -0.910909933289675 0.797278715532652
22 0.4 30 0.3 0.3 "CD" "gamma10" 0.208971405056315 0.05474434326207 0.101235439409021 0.31670737070361
