"ID" "gamma01" "N2" "ICC" "beta" "method" "parameter" "est" "se" "ci_l" "ci_u"
17 0 60 0.1 0.3 "CD" "gamma10" 0.2588774349375 0.0412859921475491 0.177793993577519 0.339960876297481
17 0 60 0.1 0.3 "CD" "gamma01" 0.261476621753085 0.129890069712468 0.00147339819279479 0.521479845313375
17 0 60 0.1 0.3 "LD" "gamma10" 0.251754156404328 0.0491920590147589 0.155072335882013 0.348435976926643
17 0 60 0.1 0.3 "LD" "gamma01" 0.295181234223136 0.14361780100369 0.00769897091955929 0.582663497526714
17 0 60 0.1 0.3 "MI-R" "gamma10" 0.240163034579099 0.0502982902313311 0.139980559419562 0.340345509738636
17 0 60 0.1 0.3 "MI-R" "gamma01" 0.299611377408518 0.142501807053994 0.0199759196509727 0.579246835166064
17 0 60 0.1 0.3 "MI-a" "gamma10" 0.240163034579099 0.0502982902313311 0.139663818294278 0.340662250863919
17 0 60 0.1 0.3 "MI-a" "gamma01" 0.299611377408518 0.142501807053994 0.0131447193240817 0.586078035492955
17 0 60 0.1 0.3 "bayes" "gamma10" 0.234855472881336 0.045497515707503 0.145681980708585 0.324028965054087
17 0 60 0.1 0.3 "bayes" "gamma01" 0.31488488046521 0.165289173616215 -0.00907594685695939 0.63884570778738
6 0.4 60 0.1 0 "CD" "gamma10" 0.168332893502919 0.0416709870622836 0.0864933430858711 0.250172443919967
6 0.4 60 0.1 0 "CD" "gamma01" 0.218446738348711 0.135959587366869 -0.0537059448207224 0.490599421518144
6 0.4 60 0.1 0 "LD" "gamma10" 0.185327867883865 0.0481113609580089 0.0907500860146928 0.279905649753037
6 0.4 60 0.1 0 "LD" "gamma01" 0.329255449733799 0.138554276406928 0.0519089321469599 0.606601967320638
6 0.4 60 0.1 0 "MI-R" "gamma10" 0.207408577051558 0.0477557821846822 0.112833543360806 0.301983610742309
6 0.4 60 0.1 0 "MI-R" "gamma01" 0.279752096519824 0.134303553110775 0.0160209080097615 0.543483285029886
6 0.4 60 0.1 0 "MI-a" "gamma10" 0.207408577051558 0.0477557821846822 0.11256406225324 0.302253091849876
6 0.4 60 0.1 0 "MI-a" "gamma01" 0.279752096519824 0.134303553110775 0.00939258498994905 0.550111608049698
6 0.4 60 0.1 0 "bayes" "gamma10" 0.203412087597338 0.0489805535903847 0.10741196661735 0.299412208577326
6 0.4 60 0.1 0 "bayes" "gamma01" 0.328086722948711 0.162423434865023 0.0097426403679795 0.646430805529443
17 0 60 0.1 0.3 "CD" "gamma10" 0.212058874263269 0.041540223766743 0.13047613584115 0.293641612685389
17 0 60 0.1 0.3 "CD" "gamma01" 0.181807244291802 0.148561404904012 -0.115570717373739 0.479185205957344
17 0 60 0.1 0.3 "LD" "gamma10" 0.275998858188588 0.0523237741793171 0.173147629405555 0.378850086971622
17 0 60 0.1 0.3 "LD" "gamma01" 0.0650412964608313 0.138796626761553 -0.212790338068149 0.342872930989812
17 0 60 0.1 0.3 "MI-R" "gamma10" 0.253535741588105 0.0501121948891905 0.154136059736369 0.352935423439841
