"ID" "N2" "ICC" "beta" "method" "parameter" "est" "se" "ci_l" "ci_u"
4 15 0.1 0.3 "MI-R1" "gamma10" 0.157467295592689 0.0788568509552481 0.00284354525735248 0.312091045928026
4 15 0.1 0.3 "MI-R1" "gamma01" 0.488584710426292 0.164328244962764 0.166207232309452 0.810962188543132
4 15 0.1 0.3 "MI-R2" "gamma10" 0.143105618380361 0.0993344365908459 -0.0561187841955095 0.342330020956231
4 15 0.1 0.3 "MI-R2" "gamma01" 0.542605994914274 0.188748846291945 0.170464910931006 0.914747078897542
5 30 0.1 0.3 "MI-R1" "gamma10" 0.170041693666956 0.0967397116245407 -0.0282047889600317 0.368288176293945
5 30 0.1 0.3 "MI-R1" "gamma01" 0.585154583768785 0.186514112015459 0.216798510710312 0.953510656827258
5 30 0.1 0.3 "MI-R2" "gamma10" 0.170980315967196 0.0908488476722078 -0.0138667243366067 0.355827356270998
5 30 0.1 0.3 "MI-R2" "gamma01" 0.619444940640082 0.171611782975184 0.282235093007978 0.956654788272187
5 30 0.1 0.3 "MI-R1" "gamma10" 0.264422897869665 0.0734595260479718 0.118287327933106 0.410558467806225
5 30 0.1 0.3 "MI-R1" "gamma01" 0.352364345690652 0.213422016333289 -0.0666826942899901 0.771411385671295
5 30 0.1 0.3 "MI-R2" "gamma10" 0.266073467618591 0.0650762781622914 0.138233515723766 0.393913419513415
5 30 0.1 0.3 "MI-R2" "gamma01" 0.417568363708314 0.206452254670714 0.0127538179287097 0.822382909487919
6 60 0.1 0.3 "MI-R1" "gamma10" 0.201221420225028 0.0569996684256121 0.0867494071528873 0.315693433297169
6 60 0.1 0.3 "MI-R1" "gamma01" 0.253642139036373 0.152143999405345 -0.0454063594537895 0.552690637526535
6 60 0.1 0.3 "MI-R2" "gamma10" 0.167575749355868 0.0585693148413218 0.0493978708667357 0.285753627845001
6 60 0.1 0.3 "MI-R2" "gamma01" 0.217149961711454 0.164301579663075 -0.106694841857185 0.540994765280094
1 15 0.1 0 "MI-R1" "gamma10" 0.138551674417877 0.1130134204417 -0.0893172200835352 0.36642056891929
1 15 0.1 0 "MI-R1" "gamma01" 0.630320290104215 0.286375977285189 0.0664527615024704 1.19418781870596
1 15 0.1 0 "MI-R2" "gamma10" 0.1134975101979 0.107889439531783 -0.101606303963469 0.328601324359269
1 15 0.1 0 "MI-R2" "gamma01" 0.624046146651469 0.302481271613512 0.0274561388219035 1.22063615448104
5 30 0.1 0.3 "MI-R1" "gamma10" 0.0731669582787999 0.0730600075204431 -0.0723796662554198 0.21871358281302
5 30 0.1 0.3 "MI-R1" "gamma01" 0.160251951224198 0.184143092036319 -0.203822948628806 0.524326851077201
5 30 0.1 0.3 "MI-R2" "gamma10" 0.0908458240919605 0.0646627695434348 -0.0364901502427288 0.21818179842665
5 30 0.1 0.3 "MI-R2" "gamma01" 0.152278107354181 0.176173790735438 -0.195157241024443 0.499713455732804
6 60 0.1 0.3 "MI-R1" "gamma10" 0.151474250775377 0.0558169814954513 0.0403600422545625 0.262588459296192
6 60 0.1 0.3 "MI-R1" "gamma01" 0.26638586866928 0.122152109712242 0.0266899620480703 0.50608177529049
6 60 0.1 0.3 "MI-R2" "gamma10" 0.160172391271846 0.0583468440881765 0.0430998110855066 0.277244971458185
6 60 0.1 0.3 "MI-R2" "gamma01" 0.275764241492716 0.12891633582736 0.0224490498697348 0.529079433115698
1 15 0.1 0 "MI-R1" "gamma10" 0.206240133994931 0.0893145380372594 0.0298034934263751 0.382676774563486
1 15 0.1 0 "MI-R1" "gamma01" 0.205379543895531 0.295332758914824 -0.37497953982308 0.785738627614142
1 15 0.1 0 "MI-R2" "gamma10" 0.212704050710295 0.0945186704785067 0.0244338686648385 0.400974232755751
1 15 0.1 0 "MI-R2" "gamma01" 0.270390275225253 0.310306462146988 -0.338464800790535 0.879245351241041
5 30 0.1 0.3 "MI-R1" "gamma10" 0.20810394771431 0.0683989291843389 0.0738982749173331 0.342309620511286
