"ID" "gamma01" "N2" "ICC" "beta" "method" "parameter" "est" "se" "ci_l" "ci_u"
23 0 60 0.3 0.3 "CD" "gamma10" 0.165604918611086 0.0436619069432605 0.079855309914593 0.251354527307578
23 0 60 0.3 0.3 "CD" "gamma01" -0.0854589946169534 0.0964409555586988 -0.278506541546474 0.107588552312568
23 0 60 0.3 0.3 "LD" "gamma10" 0.160391852393259 0.0530041430524116 0.0562117256682588 0.264571979118259
23 0 60 0.3 0.3 "LD" "gamma01" -0.11859165144092 0.0948963843328584 -0.308547403142168 0.071364100260329
23 0 60 0.3 0.3 "MI-R" "gamma10" 0.153702907900934 0.0482196896883452 0.0584958459967508 0.248909969805117
23 0 60 0.3 0.3 "MI-R" "gamma01" -0.0998892977124108 0.0985404206434847 -0.293123064263299 0.0933444688384776
23 0 60 0.3 0.3 "MI-a" "gamma10" 0.153702907900934 0.0482196896883452 0.0582407072028142 0.249165108599054
23 0 60 0.3 0.3 "MI-a" "gamma01" -0.0998892977124108 0.0985404206434847 -0.297669511341631 0.0978909159168093
23 0 60 0.3 0.3 "bayes" "gamma10" 0.14900105416617 0.0484705472784786 0.0540005271894061 0.244001581142934
23 0 60 0.3 0.3 "bayes" "gamma01" -0.110820961364214 0.102189899539322 -0.311109484045051 0.0894675613166232
11 0 60 0.3 0 "CD" "gamma10" 0.178107268002398 0.0423337441719156 0.0949660986962436 0.261248437308553
11 0 60 0.3 0 "CD" "gamma01" 0.0448632031038982 0.0935481326455957 -0.142393729621928 0.232120135829725
11 0 60 0.3 0 "LD" "gamma10" 0.13730870268914 0.054501896929198 0.0301722207220541 0.244445184656226
11 0 60 0.3 0 "LD" "gamma01" 0.0928203742739355 0.0960592511344329 -0.0994631082357568 0.285103856783628
11 0 60 0.3 0 "MI-R" "gamma10" 0.122903739573264 0.0597945100382845 0.00205838751679431 0.243749091629734
11 0 60 0.3 0 "MI-R" "gamma01" 0.0933283434374445 0.0982945401911997 -0.0994634211983779 0.286120108073267
11 0 60 0.3 0 "MI-a" "gamma10" 0.122903739573264 0.0597945100382845 0.00157535370042632 0.244232125446102
11 0 60 0.3 0 "MI-a" "gamma01" 0.0933283434374445 0.0982945401911997 -0.104058068563398 0.290714755438287
11 0 60 0.3 0 "bayes" "gamma10" 0.126071704841753 0.0539807106330222 0.020271456141151 0.231871953542355
11 0 60 0.3 0 "bayes" "gamma01" 0.0844704862463949 0.102622198824192 -0.116665327463331 0.28560629995612
15 0 30 0.1 0.3 "CD" "gamma10" 0.32442261384969 0.055120874967178 0.215945640009961 0.432899587689418
15 0 30 0.1 0.3 "CD" "gamma01" 0.33296817888194 0.170885388155094 -0.0170746706434074 0.683011028407287
15 0 30 0.1 0.3 "LD" "gamma10" 0.4008953300773 0.0643241706931898 0.274046941223004 0.527743718931597
15 0 30 0.1 0.3 "LD" "gamma01" 0.126325460272116 0.179939957917643 -0.242264834620719 0.494915755164951
15 0 30 0.1 0.3 "MI-R" "gamma10" 0.403886613748189 0.0613376534136391 0.282341181092783 0.525432046403595
15 0 30 0.1 0.3 "MI-R" "gamma01" 0.248247422591716 0.171148563724725 -0.0882082621179907 0.584703107301424
15 0 30 0.1 0.3 "MI-a" "gamma10" 0.403886613748189 0.0613376534136391 0.281632549811492 0.526140677684885
15 0 30 0.1 0.3 "MI-a" "gamma01" 0.248247422591716 0.171148563724725 -0.107561148439296 0.604055993622729
15 0 30 0.1 0.3 "bayes" "gamma10" 0.383566658867303 0.0639164778106631 0.25829266433975 0.508840653394857
15 0 30 0.1 0.3 "bayes" "gamma01" 0.250945935401026 0.204974178171244 -0.150796071575308 0.65268794237736
21 0 30 0.3 0.3 "CD" "gamma10" 0.2129662004792 0.0587662031042373 0.0973152809211487 0.328617120037252
21 0 30 0.3 0.3 "CD" "gamma01" 0.256824577058395 0.153320759635937 -0.05723876196533 0.57088791608212
21 0 30 0.3 0.3 "LD" "gamma10" 0.174040836132873 0.0665834567708007 0.0427795769760782 0.305302095289669
21 0 30 0.3 0.3 "LD" "gamma01" 0.288758130677148 0.16714211097423 -0.053616963137198 0.631133224491493
21 0 30 0.3 0.3 "MI-R" "gamma10" 0.173798982877585 0.0716856376492514 0.0300374108929722 0.317560554862198
