"ID" "gamma01" "N2" "ICC" "beta" "method" "parameter" "est" "se" "ci_l" "ci_u"
9 0 30 0.3 0 "CD" "gamma10" 0.173702032849104 0.0559746833617804 0.0635447781549697 0.283859287543238
9 0 30 0.3 0 "CD" "gamma01" 0.297159411172334 0.158537558766999 -0.0275900564487702 0.621908878793438
9 0 30 0.3 0 "LD" "gamma10" 0.230167208470963 0.0667978113531459 0.0984870268161155 0.36184739012581
9 0 30 0.3 0 "LD" "gamma01" 0.323201926685991 0.170420979353464 -0.0258896245333847 0.672293477905367
9 0 30 0.3 0 "MI-R" "gamma10" 0.229411584469009 0.0547747837107029 0.121964537767279 0.336858631170738
9 0 30 0.3 0 "MI-R" "gamma01" 0.30518680376052 0.178139624841058 -0.0443043460131162 0.654677953534157
9 0 30 0.3 0 "MI-a" "gamma10" 0.229411584469009 0.0547747837107029 0.121483353535892 0.337339815402126
9 0 30 0.3 0 "MI-a" "gamma01" 0.30518680376052 0.178139624841058 -0.0628935907225592 0.6732671982436
9 0 30 0.3 0 "bayes" "gamma10" 0.222704781407389 0.0599889704302126 0.105128559894534 0.340281002920244
9 0 30 0.3 0 "bayes" "gamma01" 0.278031423940918 0.191733585504231 -0.0977594982741048 0.653822346155941
23 0 60 0.3 0.3 "CD" "gamma10" 0.178878089345563 0.0395098439045979 0.101282906458075 0.25647327223305
23 0 60 0.3 0.3 "CD" "gamma01" -0.0591920992696635 0.118653440506582 -0.296702765685676 0.178318567146349
23 0 60 0.3 0.3 "LD" "gamma10" 0.160301743471722 0.0523761388161198 0.0573316892218312 0.263271797721612
23 0 60 0.3 0.3 "LD" "gamma01" 0.023596338125892 0.109909212766431 -0.196410854737311 0.243603530989095
23 0 60 0.3 0.3 "MI-R" "gamma10" 0.166515641746773 0.0501894286657436 0.0665384597950746 0.266492823698471
23 0 60 0.3 0.3 "MI-R" "gamma01" -0.0735219610837028 0.12127424017879 -0.311303335167808 0.164259413000402
23 0 60 0.3 0.3 "MI-a" "gamma10" 0.166515641746773 0.0501894286657436 0.0662217402249936 0.266809543268552
23 0 60 0.3 0.3 "MI-a" "gamma01" -0.0735219610837028 0.12127424017879 -0.316843365908692 0.169799443741286
23 0 60 0.3 0.3 "bayes" "gamma10" 0.16796855432751 0.0501465593373251 0.0696831040777522 0.266254004577268
23 0 60 0.3 0.3 "bayes" "gamma01" -0.0818328506550042 0.126437173589847 -0.329645157198143 0.165979455888135
10 0.4 30 0.3 0 "CD" "gamma10" 0.254779132722053 0.0622091837483393 0.13235248397822 0.377205781465887
10 0.4 30 0.3 0 "CD" "gamma01" 0.679723645251576 0.173734367259402 0.32384492658214 1.03560236392101
10 0.4 30 0.3 0 "LD" "gamma10" 0.302061550015345 0.0786606211795487 0.146987275161251 0.457135824869439
10 0.4 30 0.3 0 "LD" "gamma01" 0.598815273215537 0.182141215175137 0.225715907235522 0.971914639195552
10 0.4 30 0.3 0 "MI-R" "gamma10" 0.302681773988903 0.0759631172406535 0.152335406408899 0.453028141568906
10 0.4 30 0.3 0 "MI-R" "gamma01" 0.685896217445595 0.177668154516931 0.337216679292247 1.03457575559894
10 0.4 30 0.3 0 "MI-a" "gamma10" 0.302681773988903 0.0759631172406535 0.151479082889976 0.45388446508783
10 0.4 30 0.3 0 "MI-a" "gamma01" 0.685896217445595 0.177668154516931 0.318380850915732 1.05341158397546
10 0.4 30 0.3 0 "bayes" "gamma10" 0.276072272480945 0.0791287513007911 0.120982769789767 0.431161775172122
10 0.4 30 0.3 0 "bayes" "gamma01" 0.691761910336422 0.193500802323945 0.312507306801886 1.07101651387096
16 0.4 30 0.1 0.3 "CD" "gamma10" 0.278197934015319 0.0625387072353313 0.15512278847786 0.401273079552777
16 0.4 30 0.1 0.3 "CD" "gamma01" 0.562729868133835 0.192627218212534 0.168150898643129 0.95730883762454
16 0.4 30 0.1 0.3 "LD" "gamma10" 0.38959663166419 0.0751110619866073 0.24149873501709 0.53769452831129
16 0.4 30 0.1 0.3 "LD" "gamma01" 0.536068602467435 0.177717106520478 0.172031612251702 0.900105592683168
16 0.4 30 0.1 0.3 "MI-R" "gamma10" 0.389099251340312 0.0669011653100811 0.257403729046411 0.520794773634213
16 0.4 30 0.1 0.3 "MI-R" "gamma01" 0.580752564932835 0.199614086952099 0.187748877041714 0.973756252823956
16 0.4 30 0.1 0.3 "MI-a" "gamma10" 0.389099251340312 0.0669011653100811 0.256739063223928 0.521459439456697
16 0.4 30 0.1 0.3 "MI-a" "gamma01" 0.580752564932835 0.199614086952099 0.164131665010917 0.997373464854753
16 0.4 30 0.1 0.3 "bayes" "gamma10" 0.376843480649427 0.0715468371148844 0.2366142566965 0.517072704602354
16 0.4 30 0.1 0.3 "bayes" "gamma01" 0.618493969315649 0.214583801193355 0.19791744731097 1.03907049132033
18 0.4 60 0.1 0.3 "CD" "gamma10" 0.205172108429266 0.0417030490651785 0.123269589983684 0.287074626874848
18 0.4 60 0.1 0.3 "CD" "gamma01" 0.385277729169134 0.176159623335131 0.0326559311387636 0.737899527199504
18 0.4 60 0.1 0.3 "LD" "gamma10" 0.208711901325079 0.0509201191366772 0.108621184573741 0.308802618076416
18 0.4 60 0.1 0.3 "LD" "gamma01" 0.285734442752308 0.175132697795504 -0.0648317404704759 0.636300625975092
18 0.4 60 0.1 0.3 "MI-R" "gamma10" 0.212646066903143 0.0489587457197962 0.115856566790152 0.309435567016135
18 0.4 60 0.1 0.3 "MI-R" "gamma01" 0.234870606064733 0.19019578356394 -0.14033532395153 0.610076536080996
18 0.4 60 0.1 0.3 "MI-a" "gamma10" 0.212646066903143 0.0489587457197962 0.115590136309454 0.309701997496833
18 0.4 60 0.1 0.3 "MI-a" "gamma01" 0.234870606064733 0.19019578356394 -0.151061224331754 0.620802436461219
18 0.4 60 0.1 0.3 "bayes" "gamma10" 0.207551315178169 0.0490188191294367 0.11147619511979 0.303626435236548
18 0.4 60 0.1 0.3 "bayes" "gamma01" 0.317267615604593 0.220122052729153 -0.114163679947573 0.74869891115676
5 0 60 0.1 0 "CD" "gamma10" 0.15536362254549 0.0416502645447656 0.0735647700249101 0.23716247506607
5 0 60 0.1 0 "CD" "gamma01" -0.0804393188731707 0.127807715879416 -0.336274258357665 0.175395620611324
5 0 60 0.1 0 "LD" "gamma10" 0.159439286775674 0.0544933826051275 0.0523225761580724 0.266555997393275
5 0 60 0.1 0 "LD" "gamma01" -0.130319636731265 0.118537612957174 -0.367598449116482 0.106959175653952
5 0 60 0.1 0 "MI-R" "gamma10" 0.144978706127131 0.0502639746046255 0.0454079051046188 0.244549507149643
5 0 60 0.1 0 "MI-R" "gamma01" -0.160645221764361 0.139383233382652 -0.43518464789544 0.113894204366718
5 0 60 0.1 0 "MI-a" "gamma10" 0.144978706127131 0.0502639746046255 0.0451226128204242 0.244834799433838
5 0 60 0.1 0 "MI-a" "gamma01" -0.160645221764361 0.139383233382652 -0.44274288364143 0.121452440112708
5 0 60 0.1 0 "bayes" "gamma10" 0.145276473727843 0.0499466490447515 0.0473828404516679 0.243170107004017
5 0 60 0.1 0 "bayes" "gamma01" -0.187632773776711 0.137390223125195 -0.456912662930015 0.0816471153765927
17 0 60 0.1 0.3 "CD" "gamma10" 0.119534690922603 0.0423785851280684 0.0363054564192804 0.202763925425925
17 0 60 0.1 0.3 "CD" "gamma01" -0.230041966215264 0.104686091276058 -0.439593945469374 -0.0204899869611552
17 0 60 0.1 0.3 "LD" "gamma10" 0.141703101709012 0.052538560466074 0.0384360244214733 0.244970178996551
17 0 60 0.1 0.3 "LD" "gamma01" -0.166742922503711 0.115104668841652 -0.397149950630793 0.0636641056233721
17 0 60 0.1 0.3 "MI-R" "gamma10" 0.12882411666656 0.0443143899296857 0.0418960381228385 0.215752195210281
17 0 60 0.1 0.3 "MI-R" "gamma01" -0.180853808488891 0.118596459344707 -0.414214257828506 0.0525066408507243
17 0 60 0.1 0.3 "MI-a" "gamma10" 0.12882411666656 0.0443143899296857 0.0417034093751041 0.215944823958016
17 0 60 0.1 0.3 "MI-a" "gamma01" -0.180853808488891 0.118596459344707 -0.420468608202526 0.0587609912247443
17 0 60 0.1 0.3 "bayes" "gamma10" 0.127766613034849 0.0509898479993963 0.0278283473788603 0.227704878690837
17 0 60 0.1 0.3 "bayes" "gamma01" -0.189225389841228 0.121416386452877 -0.427197134421864 0.0487463547394081
5 0 60 0.1 0 "CD" "gamma10" 0.123515914733984 0.04358455354403 0.0379182239031952 0.209113605564773
5 0 60 0.1 0 "CD" "gamma01" 0.0780193466538424 0.132631281851581 -0.187471009173063 0.343509702480747
5 0 60 0.1 0 "LD" "gamma10" 0.0948157055205543 0.0547051452084872 -0.0127281909496174 0.202359601990726
