"ID" "gamma01" "N2" "ICC" "beta" "method" "parameter" "est" "se" "ci_l" "ci_u"
5 0 60 0.1 0 "CD" "gamma10" 0.235606417302839 0.0442850448705607 0.148632999634847 0.322579834970831
5 0 60 0.1 0 "CD" "gamma01" 0.350314431043473 0.133661500531103 0.0827618684732766 0.61786699361367
5 0 60 0.1 0 "LD" "gamma10" 0.225337738134542 0.0574078987689366 0.112472740511998 0.338202735757086
5 0 60 0.1 0 "LD" "gamma01" 0.222329855030507 0.143936446888707 -0.0657902473123596 0.510449957373374
5 0 60 0.1 0 "MI-R" "gamma10" 0.196284670033572 0.0478242680844716 0.102201926558745 0.290367413508399
5 0 60 0.1 0 "MI-R" "gamma01" 0.259557056128441 0.157165067240039 -0.0497473657890328 0.568861478045915
5 0 60 0.1 0 "MI-a" "gamma10" 0.196284670033572 0.0478242680844716 0.101971057090043 0.290598282977101
5 0 60 0.1 0 "MI-a" "gamma01" 0.259557056128441 0.157165067240039 -0.0580764458523776 0.57719055810926
5 0 60 0.1 0 "bayes" "gamma10" 0.202319585974774 0.0518274849905998 0.100739581983908 0.30389958996564
5 0 60 0.1 0 "bayes" "gamma01" 0.294693292013285 0.178272220369724 -0.054713839355361 0.644100423381931
7 0 15 0.3 0 "CD" "gamma10" 0.0781863991256736 0.0676275763161647 -0.0554614697901914 0.211834268041539
7 0 15 0.3 0 "CD" "gamma01" 0.194755489875422 0.171451308277881 -0.175642542637653 0.565153522388496
7 0 15 0.3 0 "LD" "gamma10" 0.0126326154253514 0.0817731045241505 -0.149685714159573 0.174950945010276
7 0 15 0.3 0 "LD" "gamma01" 0.311292790360968 0.214588251496161 -0.152296942216493 0.774882522938428
7 0 15 0.3 0 "MI-R" "gamma10" 0.0217705931004268 0.0833212749075096 -0.145376194839362 0.188917381040215
7 0 15 0.3 0 "MI-R" "gamma01" 0.181180304417644 0.195954250271648 -0.203216476072601 0.565577084907888
7 0 15 0.3 0 "MI-a" "gamma10" 0.0217705931004268 0.0833212749075096 -0.147841829946776 0.191383016147629
7 0 15 0.3 0 "MI-a" "gamma01" 0.181180304417644 0.195954250271648 -0.253257092878978 0.615617701714265
7 0 15 0.3 0 "bayes" "gamma10" 0.0369385336292055 0.0814254964453429 -0.122652506826961 0.196529574085372
7 0 15 0.3 0 "bayes" "gamma01" 0.135885858181844 0.221198414870422 -0.297655068401532 0.56942678476522
5 0 60 0.1 0 "CD" "gamma10" 0.266347262250611 0.0435397896577251 0.180837485256003 0.351857039245219
5 0 60 0.1 0 "CD" "gamma01" -0.120860486307271 0.10730212126762 -0.33564901853454 0.0939280459199968
5 0 60 0.1 0 "LD" "gamma10" 0.283580431929483 0.0515750756753012 0.182213754316696 0.384947109542269
5 0 60 0.1 0 "LD" "gamma01" 0.0647620303870476 0.12196048047331 -0.17936839575113 0.308892456525225
5 0 60 0.1 0 "MI-R" "gamma10" 0.296030919715862 0.0462296164933998 0.205266162058965 0.38679567737276
5 0 60 0.1 0 "MI-R" "gamma01" -0.0618748931886525 0.119681105241188 -0.29658764235866 0.172837855981355
5 0 60 0.1 0 "MI-a" "gamma10" 0.296030919715862 0.0462296164933998 0.205057145995812 0.387004693435913
5 0 60 0.1 0 "MI-a" "gamma01" -0.0618748931886525 0.119681105241188 -0.302144794528654 0.178395008151349
5 0 60 0.1 0 "bayes" "gamma10" 0.291089350635003 0.0501662524514955 0.192765302590728 0.389413398679279
5 0 60 0.1 0 "bayes" "gamma01" -0.0861928787561917 0.135518543909765 -0.35180434405664 0.179418586544257
17 0 60 0.1 0.3 "CD" "gamma10" 0.150069284978471 0.0378868751379449 0.0756615244096643 0.224477045547278
