"ID" "N2" "ICC" "beta" "method" "parameter" "est" "se" "ci_l" "ci_u"
2 30 0.1 0 "MI-R1" "gamma10" 0.147567675662175 0.0762397873349133 -0.00446214370833603 0.299597495032686
2 30 0.1 0 "MI-R1" "gamma01" 0.406397039241046 0.152352932472488 0.10719980025098 0.705594278231112
2 30 0.1 0 "MI-R2" "gamma10" 0.161596278860109 0.0697902306246026 0.023859029825321 0.299333527894896
2 30 0.1 0 "MI-R2" "gamma01" 0.447165366470565 0.149196226827278 0.154663651324608 0.739667081616522
6 60 0.1 0.3 "MI-R1" "gamma10" 0.205139657624316 0.0434343483605074 0.119582326818396 0.290696988430236
6 60 0.1 0.3 "MI-R1" "gamma01" 0.298327413996684 0.128122331778404 0.0462835110898991 0.550371316903469
6 60 0.1 0.3 "MI-R2" "gamma10" 0.209107431746159 0.0436877245811935 0.122884059127299 0.295330804365018
6 60 0.1 0.3 "MI-R2" "gamma01" 0.320048999131528 0.147162499193738 0.0286875940583329 0.611410404204722
1 15 0.1 0 "MI-R1" "gamma10" 0.293713892842311 0.099828039528116 0.0933526541123511 0.494075131572271
1 15 0.1 0 "MI-R1" "gamma01" 0.338184196760859 0.267383833505465 -0.187409707239473 0.863778100761191
1 15 0.1 0 "MI-R2" "gamma10" 0.286457795333436 0.0995494421177487 0.0869723149815355 0.485943275685337
1 15 0.1 0 "MI-R2" "gamma01" 0.407496960819964 0.240814372735261 -0.0654270049206053 0.880420926560533
5 30 0.1 0.3 "MI-R1" "gamma10" 0.209131486398531 0.066677186368384 0.0773672555199684 0.340895717277094
5 30 0.1 0.3 "MI-R1" "gamma01" 0.524602357008599 0.159825167680563 0.209619038715025 0.839585675302172
5 30 0.1 0.3 "MI-R2" "gamma10" 0.171774674466066 0.0667699834128107 0.0395632674852737 0.303986081446857
5 30 0.1 0.3 "MI-R2" "gamma01" 0.597556744964522 0.165555930049368 0.271532443703199 0.923581046225845
6 60 0.1 0.3 "MI-R1" "gamma10" 0.205795683077304 0.0547533495785099 0.0975920048142898 0.313999361340317
6 60 0.1 0.3 "MI-R1" "gamma01" 0.370280380725718 0.137042384090509 0.1003415039847 0.640219257466735
6 60 0.1 0.3 "MI-R2" "gamma10" 0.162127159510411 0.0546640017601981 0.0539131579693954 0.270341161051427
6 60 0.1 0.3 "MI-R2" "gamma01" 0.435649523629612 0.125697534483423 0.189171826781099 0.682127220478124
1 15 0.1 0 "MI-R1" "gamma10" 0.18338014613516 0.126393299788613 -0.0701103422729305 0.43687063454325
1 15 0.1 0 "MI-R1" "gamma01" 0.520842008875607 0.317003983866336 -0.106895551362342 1.14857956911356
1 15 0.1 0 "MI-R2" "gamma10" 0.217550367055479 0.126935568638062 -0.03801334957347 0.473114083684428
1 15 0.1 0 "MI-R2" "gamma01" 0.515257415822784 0.301653931080648 -0.0772151820844953 1.10773001373006
5 30 0.1 0.3 "MI-R1" "gamma10" 0.103437271127087 0.0702337393937654 -0.0364211628400528 0.243295705094226
5 30 0.1 0.3 "MI-R1" "gamma01" 0.108882817496284 0.256719236874971 -0.398385580698784 0.616151215691352
5 30 0.1 0.3 "MI-R2" "gamma10" 0.0980244348950247 0.0712032633927502 -0.0437031356260303 0.23975200541608
5 30 0.1 0.3 "MI-R2" "gamma01" 0.155046355425424 0.243205613425358 -0.323358290818268 0.633451001669115
6 60 0.1 0.3 "MI-R1" "gamma10" 0.188807802470336 0.0540946688895139 0.0815258226269638 0.296089782313708
6 60 0.1 0.3 "MI-R1" "gamma01" 0.431310741593155 0.163179776646358 0.109666946805437 0.752954536380873
6 60 0.1 0.3 "MI-R2" "gamma10" 0.166111648249578 0.0611240225203065 0.042822670907393 0.289400625591764
6 60 0.1 0.3 "MI-R2" "gamma01" 0.388788161520006 0.168317494755506 0.0569498854355645 0.720626437604447
2 30 0.1 0 "MI-R1" "gamma10" 0.246052942980229 0.0800078291547457 0.0848715141774229 0.407234371783036
2 30 0.1 0 "MI-R1" "gamma01" 0.494238525899079 0.224447857948143 0.0540091999224717 0.934467851875687
2 30 0.1 0 "MI-R2" "gamma10" 0.259036643176037 0.0754792965384498 0.107993946455656 0.410079339896418
2 30 0.1 0 "MI-R2" "gamma01" 0.647361155599697 0.275030422906533 0.0999738107026988 1.19474850049669
3 60 0.1 0 "MI-R1" "gamma10" 0.160268293570667 0.0480677260458587 0.0649153539806722 0.255621233160662
3 60 0.1 0 "MI-R1" "gamma01" 0.24076406633068 0.141555138588543 -0.0372281362575596 0.518756268918919
3 60 0.1 0 "MI-R2" "gamma10" 0.160511838083155 0.0443883016764118 0.0731729620146883 0.247850714151621
3 60 0.1 0 "MI-R2" "gamma01" 0.249257674155612 0.144640253349785 -0.034397276747702 0.532912625058925
4 15 0.1 0.3 "MI-R1" "gamma10" 0.10024979844648 0.101740763227013 -0.10134418111331 0.30184377800627
4 15 0.1 0.3 "MI-R1" "gamma01" 0.177073103190016 0.289720031439088 -0.394951572054205 0.749097778434236
4 15 0.1 0.3 "MI-R2" "gamma10" 0.126589999713715 0.115301206203769 -0.10574206059774 0.35892206002517
4 15 0.1 0.3 "MI-R2" "gamma01" 0.198027042467993 0.282771959233494 -0.359880112800961 0.755934197736947
1 15 0.1 0 "MI-R1" "gamma10" 0.179955708549886 0.100150794020672 -0.0202323758118912 0.380143792911663
1 15 0.1 0 "MI-R1" "gamma01" 0.0799519446185957 0.307177305334838 -0.533214584401136 0.693118473638327
1 15 0.1 0 "MI-R2" "gamma10" 0.185815944474707 0.101490386716922 -0.0176684212889947 0.389300310238409
1 15 0.1 0 "MI-R2" "gamma01" 0.0331263230237471 0.352882739744925 -0.676263017380431 0.742515663427926
6 60 0.1 0.3 "MI-R1" "gamma10" 0.210159978310512 0.0434266726382218 0.124519675280395 0.29580028134063
6 60 0.1 0.3 "MI-R1" "gamma01" 0.392813923467282 0.131627088828079 0.134406282494479 0.651221564440085
6 60 0.1 0.3 "MI-R2" "gamma10" 0.219801498085723 0.0464818549121378 0.127463415715096 0.31213958045635
6 60 0.1 0.3 "MI-R2" "gamma01" 0.445247279629309 0.144213703587768 0.160463299590012 0.730031259668606
1 15 0.1 0 "MI-R1" "gamma10" 0.0544703223165793 0.136889036714399 -0.223426331239443 0.332366975872602
1 15 0.1 0 "MI-R1" "gamma01" -0.0674370725821661 0.320254548057556 -0.696157281994829 0.561283136830496
1 15 0.1 0 "MI-R2" "gamma10" 0.0432085665008075 0.154271574827259 -0.274885206534123 0.361302339535738
1 15 0.1 0 "MI-R2" "gamma01" -0.038628973355327 0.362164507072317 -0.752203351812487 0.674945405101833
5 30 0.1 0.3 "MI-R1" "gamma10" 0.21020849786824 0.0712113740442732 0.0683614279612644 0.352055567775216
5 30 0.1 0.3 "MI-R1" "gamma01" 0.334810822777458 0.239352750500522 -0.136443951770441 0.806065597325357
5 30 0.1 0.3 "MI-R2" "gamma10" 0.19776374273133 0.0737056982819064 0.0501686830799683 0.345358802382692
5 30 0.1 0.3 "MI-R2" "gamma01" 0.348501109010962 0.230870067731795 -0.104697360013836 0.801699578035761
6 60 0.1 0.3 "MI-R1" "gamma10" 0.161050266501318 0.0492028848697205 0.063239873711442 0.258860659291194
6 60 0.1 0.3 "MI-R1" "gamma01" 0.397583785623141 0.146660037390166 0.109153175553193 0.686014395693089
6 60 0.1 0.3 "MI-R2" "gamma10" 0.150167684207952 0.0623559641639024 0.0221447051769443 0.278190663238959
6 60 0.1 0.3 "MI-R2" "gamma01" 0.415743741433078 0.171292849094164 0.073978962368404 0.757508520497751
2 30 0.1 0 "MI-R1" "gamma10" 0.105239937265868 0.0827004749196155 -0.0604980316739018 0.270977906205638
2 30 0.1 0 "MI-R1" "gamma01" 0.50524711660938 0.162635491997116 0.185815542553531 0.824678690665229
2 30 0.1 0 "MI-R2" "gamma10" 0.116864437197955 0.0786722340840764 -0.039647398801372 0.273376273197282
2 30 0.1 0 "MI-R2" "gamma01" 0.528670082176839 0.166333680539277 0.202406128272737 0.854934036080942
3 60 0.1 0 "MI-R1" "gamma10" 0.145665820051227 0.061140461832549 0.0218673560261986 0.269464284076255
3 60 0.1 0 "MI-R1" "gamma01" 0.513842112157937 0.143670247398306 0.23043560125212 0.797248623063754
3 60 0.1 0 "MI-R2" "gamma10" 0.135633184892597 0.0543406646114953 0.0272236595961094 0.244042710189085
3 60 0.1 0 "MI-R2" "gamma01" 0.567790759096578 0.139990416088824 0.291938440260829 0.843643077932327
4 15 0.1 0.3 "MI-R1" "gamma10" -0.0420506082987787 0.0986325182909597 -0.237692404585873 0.153591187988316
4 15 0.1 0.3 "MI-R1" "gamma01" 0.0201162757735052 0.243468423506485 -0.457324629581616 0.497557181128626
4 15 0.1 0.3 "MI-R2" "gamma10" -0.0301190753517531 0.0884814963155812 -0.204001428678363 0.143763277974857
4 15 0.1 0.3 "MI-R2" "gamma01" -0.00187238686989806 0.245312407689286 -0.48301032139426 0.479265547654464
2 30 0.1 0 "MI-R1" "gamma10" 0.333462647156754 0.070963012661449 0.19237100280596 0.474554291507548
2 30 0.1 0 "MI-R1" "gamma01" 0.269534344291271 0.223774237806398 -0.170010487269565 0.709079175852107
2 30 0.1 0 "MI-R2" "gamma10" 0.334263265321657 0.0634719080869031 0.209450550388663 0.459075980254651
2 30 0.1 0 "MI-R2" "gamma01" 0.340565954406687 0.214267890935288 -0.0794988883108654 0.76063079712424
3 60 0.1 0 "MI-R1" "gamma10" 0.303753372573064 0.0529962972657776 0.198597396155328 0.408909348990801
3 60 0.1 0 "MI-R1" "gamma01" 0.412830002271396 0.132373307914694 0.15191498234043 0.673745022202363
3 60 0.1 0 "MI-R2" "gamma10" 0.310163203916706 0.0544822659738144 0.201514536973567 0.418811870859845
