"ID" "gamma01" "N2" "ICC" "beta" "method" "parameter" "est" "se" "ci_l" "ci_u"
1 0 15 0.1 0 "CD" "gamma10" 0.236033492678093 0.0715617375611426 0.0946108032673373 0.377456182088848
1 0 15 0.1 0 "CD" "gamma01" 0.186561110794212 0.217482379336715 -0.283281004857779 0.656403226446202
1 0 15 0.1 0 "LD" "gamma10" 0.181568174119033 0.0860773998479082 0.0108340596512856 0.352302288586779
1 0 15 0.1 0 "LD" "gamma01" 0.145725184804446 0.170223740882676 -0.222020849584331 0.513471219193223
1 0 15 0.1 0 "MI-R" "gamma10" 0.178070504288318 0.0935858673073506 -0.0090975387056148 0.36523854728225
1 0 15 0.1 0 "MI-R" "gamma01" 0.0423600714011287 0.185922449108416 -0.322180885568851 0.406901028371108
1 0 15 0.1 0 "MI-a" "gamma10" 0.178070504288318 0.0935858673073506 -0.0116707977880653 0.367811806364701
1 0 15 0.1 0 "MI-a" "gamma01" 0.0423600714011287 0.185922449108416 -0.368105988431132 0.452826131233389
1 0 15 0.1 0 "bayes" "gamma10" 0.193142808720412 0.088418088719756 0.0198465392478228 0.366439078193001
1 0 15 0.1 0 "bayes" "gamma01" 0.0801467718413887 0.278105606193383 -0.464930200196322 0.625223743879099
9 0 30 0.3 0 "CD" "gamma10" 0.38389759199828 0.0591108962574561 0.267568321993384 0.500226862003176
9 0 30 0.3 0 "CD" "gamma01" -0.161111573359048 0.225111171490879 -0.622230904738859 0.300007758020763
9 0 30 0.3 0 "LD" "gamma10" 0.340802813060768 0.0737147634811992 0.195449351339897 0.486156274781639
9 0 30 0.3 0 "LD" "gamma01" -0.209029117681136 0.235001544008147 -0.690407958760335 0.272349723398062
9 0 30 0.3 0 "MI-R" "gamma10" 0.338991933682177 0.073672654509284 0.192266422790866 0.485717444573488
9 0 30 0.3 0 "MI-R" "gamma01" -0.168760700121308 0.249636123781788 -0.658239808368211 0.320718408125595
9 0 30 0.3 0 "MI-a" "gamma10" 0.338991933682177 0.073672654509284 0.191338846693066 0.486645020671289
9 0 30 0.3 0 "MI-a" "gamma01" -0.168760700121308 0.249636123781788 -0.683386376233811 0.345864975991195
9 0 30 0.3 0 "bayes" "gamma10" 0.32797042645683 0.0721170352138522 0.186623634765873 0.469317218147787
9 0 30 0.3 0 "bayes" "gamma01" -0.163593552203763 0.271727041418715 -0.696168767010068 0.368981662602543
17 0 60 0.1 0.3 "CD" "gamma10" 0.383349652937722 0.0383891290649543 0.307955492994209 0.458743812881236
17 0 60 0.1 0.3 "CD" "gamma01" -0.00904011384227162 0.130497244019341 -0.270258728828554 0.252178501144011
17 0 60 0.1 0.3 "LD" "gamma10" 0.412247388621392 0.0449765167498284 0.323846216239459 0.500648561003325
17 0 60 0.1 0.3 "LD" "gamma01" -0.0243685491047665 0.13587523538112 -0.296352383429504 0.247615285219971
17 0 60 0.1 0.3 "MI-R" "gamma10" 0.401840777401913 0.0426644639053697 0.317708493445565 0.485973061358261
17 0 60 0.1 0.3 "MI-R" "gamma01" 0.0415520515835974 0.137671187839389 -0.22921873067734 0.312322833844535
17 0 60 0.1 0.3 "MI-a" "gamma10" 0.401840777401913 0.0426644639053697 0.31749040289156 0.486191151912265
17 0 60 0.1 0.3 "MI-a" "gamma01" 0.0415520515835974 0.137671187839389 -0.236382772715406 0.319486875882601
17 0 60 0.1 0.3 "bayes" "gamma10" 0.398987553940742 0.0426429120275191 0.315408982170895 0.482566125710589
17 0 60 0.1 0.3 "bayes" "gamma01" -0.0117253396749674 0.160240125896766 -0.325790215310793 0.302339535960858
3 0 30 0.1 0 "CD" "gamma10" 0.303418920059102 0.0633833946808462 0.178681443544778 0.428156396573426
3 0 30 0.1 0 "CD" "gamma01" 0.00038800357354236 0.165691403063067 -0.339015449794919 0.339791456942004
3 0 30 0.1 0 "LD" "gamma10" 0.265114159384542 0.0809531499729566 0.105473132751968 0.424755186017117
3 0 30 0.1 0 "LD" "gamma01" 0.183334542241744 0.161121232774609 -0.146707341668619 0.513376426152107
3 0 30 0.1 0 "MI-R" "gamma10" 0.265370783702713 0.0865049072120871 0.0912327006252237 0.439508866780202
3 0 30 0.1 0 "MI-R" "gamma01" 0.0551352769383694 0.180569226883035 -0.299737736495117 0.410008290371856
3 0 30 0.1 0 "MI-a" "gamma10" 0.265370783702713 0.0865049072120871 0.0899211244405136 0.440820442964912
3 0 30 0.1 0 "MI-a" "gamma01" 0.0551352769383694 0.180569226883035 -0.319960084532663 0.430230638409402
3 0 30 0.1 0 "bayes" "gamma10" 0.279132591681899 0.0778605413585883 0.126528734802274 0.431736448561523
3 0 30 0.1 0 "bayes" "gamma01" 0.0614595729931924 0.197288775367996 -0.325219321282093 0.448138467268478
11 0 60 0.3 0 "CD" "gamma10" 0.292762639401583 0.0414149704837904 0.211425891609582 0.374099387193584
11 0 60 0.3 0 "CD" "gamma01" 0.042920781667688 0.144616108791177 -0.24655981178866 0.332401375124036
11 0 60 0.3 0 "LD" "gamma10" 0.299076100081319 0.0516693355319985 0.197511988389547 0.400640211773092
11 0 60 0.3 0 "LD" "gamma01" 0.08417220528688 0.133287250544053 -0.182631214540798 0.350975625114558
11 0 60 0.3 0 "MI-R" "gamma10" 0.305731711651212 0.0465479670115975 0.213899116105108 0.397564307197316
11 0 60 0.3 0 "MI-R" "gamma01" 0.0600590103232137 0.155318573226683 -0.245080757546832 0.365198778193259
11 0 60 0.3 0 "MI-a" "gamma10" 0.305731711651212 0.0465479670115975 0.213658555516903 0.397804867785521
11 0 60 0.3 0 "MI-a" "gamma01" 0.0600590103232137 0.155318573226683 -0.252877329816901 0.372995350463328
11 0 60 0.3 0 "bayes" "gamma10" 0.296411384069355 0.0491386969918114 0.200101307718178 0.392721460420532
11 0 60 0.3 0 "bayes" "gamma01" 0.06146407448531 0.160156339158268 -0.252436582160677 0.375364731131297
21 0 30 0.3 0.3 "CD" "gamma10" 0.288944430960689 0.0529306479036957 0.184777787898726 0.393111074022651
21 0 30 0.3 0.3 "CD" "gamma01" -0.439982215741092 0.16733427644999 -0.782750942688392 -0.0972134887937927
21 0 30 0.3 0.3 "LD" "gamma10" 0.272082101918943 0.0698204962764997 0.134454461193446 0.40970974264444
