"ID" "gamma01" "N2" "ICC" "beta" "method" "parameter" "est" "se" "ci_l" "ci_u"
6 0.4 60 0.1 0 "CD" "gamma10" 0.191180985471489 0.0445719816441377 0.103644039598308 0.27871793134467
6 0.4 60 0.1 0 "CD" "gamma01" 0.489711116350902 0.126417335797328 0.236659324986331 0.742762907715473
6 0.4 60 0.1 0 "LD" "gamma10" 0.236175229046903 0.0527569252778222 0.132465151600352 0.339885306493453
6 0.4 60 0.1 0 "LD" "gamma01" 0.530323017531598 0.122665573217885 0.284781194918659 0.775864840144537
6 0.4 60 0.1 0 "MI-R" "gamma10" 0.259679376007528 0.0573247564161004 0.144410797944129 0.374947954070926
6 0.4 60 0.1 0 "MI-R" "gamma01" 0.477924040653128 0.12614560511397 0.229355952615811 0.726492128690445
6 0.4 60 0.1 0 "MI-a" "gamma10" 0.259679376007528 0.0573247564161004 0.143985051123888 0.375373700891167
6 0.4 60 0.1 0 "MI-a" "gamma01" 0.477924040653128 0.12614560511397 0.222441450398619 0.733406630907637
6 0.4 60 0.1 0 "bayes" "gamma10" 0.25469253429448 0.0513229141955025 0.154101470889655 0.355283597699304
6 0.4 60 0.1 0 "bayes" "gamma01" 0.454097551573621 0.131960161165281 0.195460388295568 0.712734714851673
5 0 60 0.1 0 "CD" "gamma10" 0.210812542222509 0.0409732331559642 0.130343342498368 0.29128174194665
5 0 60 0.1 0 "CD" "gamma01" -0.133706992811516 0.125796639179675 -0.38551632490418 0.118102339281148
5 0 60 0.1 0 "LD" "gamma10" 0.244373609947738 0.0516358030705257 0.142873280958844 0.345873938936632
5 0 60 0.1 0 "LD" "gamma01" -0.133343865668564 0.131727270898127 -0.397024646964081 0.130336915626953
5 0 60 0.1 0 "MI-R" "gamma10" 0.215831599546242 0.0520369392045541 0.11163521125852 0.320027987833963
5 0 60 0.1 0 "MI-R" "gamma01" -0.193504476634434 0.128173735682526 -0.445216092414584 0.0582071391457169
5 0 60 0.1 0 "MI-a" "gamma10" 0.215831599546242 0.0520369392045541 0.111275369010438 0.320387830082045
5 0 60 0.1 0 "MI-a" "gamma01" -0.193504476634434 0.128173735682526 -0.451558634492814 0.0645496812239464
5 0 60 0.1 0 "bayes" "gamma10" 0.220643730720132 0.0469549563911054 0.128613707297916 0.312673754142347
5 0 60 0.1 0 "bayes" "gamma01" -0.198468651978188 0.139777287623798 -0.472427101577528 0.0754897976211513
16 0.4 30 0.1 0.3 "CD" "gamma10" 0.157778205336928 0.0586212975129525 0.0424124575952602 0.273143953078597
16 0.4 30 0.1 0.3 "CD" "gamma01" 0.336328242825198 0.181878108694303 -0.0362321739604238 0.70888865961082
16 0.4 30 0.1 0.3 "LD" "gamma10" 0.168710427523173 0.0670509851604094 0.0365489715747001 0.300871883471645
16 0.4 30 0.1 0.3 "LD" "gamma01" 0.451321494574963 0.20615497875702 0.0290321637724367 0.873610825377489
16 0.4 30 0.1 0.3 "MI-R" "gamma10" 0.189736841900047 0.0652819899372913 0.0607559824584789 0.318717701341614
16 0.4 30 0.1 0.3 "MI-R" "gamma01" 0.257693362817059 0.208037276718638 -0.152859132842658 0.668245858476776
16 0.4 30 0.1 0.3 "MI-a" "gamma10" 0.189736841900047 0.0652819899372913 0.0600470575680573 0.319426626232036
16 0.4 30 0.1 0.3 "MI-a" "gamma01" 0.257693362817059 0.208037276718638 -0.179030689422335 0.694417415056453
16 0.4 30 0.1 0.3 "bayes" "gamma10" 0.188836378788987 0.0650124972940027 0.0614142255477344 0.31625853203024
16 0.4 30 0.1 0.3 "bayes" "gamma01" 0.288722298660256 0.25240746217439 -0.205987236630704 0.783431833951215
20 0.4 15 0.3 0.3 "CD" "gamma10" 0.157111399498756 0.0773052600131336 0.00433816970798823 0.309884629289524
20 0.4 15 0.3 0.3 "CD" "gamma01" 0.469088371253844 0.353594885712855 -0.29480693692575 1.23298367943344
20 0.4 15 0.3 0.3 "LD" "gamma10" 0.132352081150813 0.0930018102378017 -0.0519936410021742 0.316697803303801
20 0.4 15 0.3 0.3 "LD" "gamma01" 0.558277916233727 0.371158375564473 -0.243561004919406 1.36011683738686
20 0.4 15 0.3 0.3 "MI-R" "gamma10" 0.0874395220005789 0.0868117951935025 -0.0840943733495465 0.258973417350704
20 0.4 15 0.3 0.3 "MI-R" "gamma01" 0.621623800108547 0.393162140278496 -0.151717534764738 1.39496513498183
20 0.4 15 0.3 0.3 "MI-a" "gamma10" 0.0874395220005789 0.0868117951935025 -0.0860264781557284 0.260905522156886
20 0.4 15 0.3 0.3 "MI-a" "gamma01" 0.621623800108547 0.393162140278496 -0.263939230769561 1.50718683098666
20 0.4 15 0.3 0.3 "bayes" "gamma10" 0.114042457550204 0.0895437948281437 -0.0614601553520018 0.289545070452409
20 0.4 15 0.3 0.3 "bayes" "gamma01" 0.609592315587415 0.429849915398838 -0.232898037351897 1.45208266852673
24 0.4 60 0.3 0.3 "CD" "gamma10" 0.183315336160492 0.0428868834307765 0.0990878314575891 0.267542840863394
24 0.4 60 0.3 0.3 "CD" "gamma01" 0.383816242485614 0.122347233879646 0.138911645291921 0.628720839679306
24 0.4 60 0.3 0.3 "LD" "gamma10" 0.152207552031762 0.0536086053497278 0.04682168148425 0.257593422579273
24 0.4 60 0.3 0.3 "LD" "gamma01" 0.364282352492881 0.124623859940352 0.114820593108611 0.61374411187715
24 0.4 60 0.3 0.3 "MI-R" "gamma10" 0.162146512138399 0.0468288652798229 0.0701252340887951 0.254167790188002
24 0.4 60 0.3 0.3 "MI-R" "gamma01" 0.340742370507335 0.137648996242091 0.0702226945751838 0.611262046439486
24 0.4 60 0.3 0.3 "MI-a" "gamma10" 0.162146512138399 0.0468288652798229 0.0699068256922898 0.254386198584508
24 0.4 60 0.3 0.3 "MI-a" "gamma01" 0.340742370507335 0.137648996242091 0.0632310727564182 0.618253668258251
24 0.4 60 0.3 0.3 "bayes" "gamma10" 0.156436348676104 0.0541567789977698 0.0502910123217804 0.262581685030429
24 0.4 60 0.3 0.3 "bayes" "gamma01" 0.347213897207943 0.141384017953196 0.0701063140301139 0.624321480385772
9 0 30 0.3 0 "CD" "gamma10" 0.118770908973723 0.05434766782411 0.0118155940532559 0.225726223894191
9 0 30 0.3 0 "CD" "gamma01" 0.129481859347734 0.166312490773713 -0.211193834522896 0.470157553218363
9 0 30 0.3 0 "LD" "gamma10" 0.136260994875477 0.0684799001351798 0.00127225071143916 0.271249739039514
9 0 30 0.3 0 "LD" "gamma01" 0.0999663046818047 0.162016644843952 -0.23190974770625 0.43184235706986
9 0 30 0.3 0 "MI-R" "gamma10" 0.13101910123802 0.0653859378074011 0.00177970164151356 0.260258500834527
9 0 30 0.3 0 "MI-R" "gamma01" 0.0893414155648698 0.164166418438804 -0.232671516770763 0.411354347900503
9 0 30 0.3 0 "MI-a" "gamma10" 0.13101910123802 0.0653859378074011 0.00106321949124802 0.260974982984792
9 0 30 0.3 0 "MI-a" "gamma01" 0.0893414155648698 0.164166418438804 -0.249617561283779 0.428300392413519
9 0 30 0.3 0 "bayes" "gamma10" 0.134725062827069 0.0682704363909857 0.000917466291904451 0.268532659362234
9 0 30 0.3 0 "bayes" "gamma01" 0.0642919290491022 0.178449585615474 -0.285462831813324 0.414046689911529
13 0 15 0.1 0.3 "CD" "gamma10" 0.227734275257442 0.087096918999276 0.0556104428289145 0.399858107685969
13 0 15 0.1 0.3 "CD" "gamma01" 0.0936712598625074 0.204597469226408 -0.348334699845836 0.535677219570851
13 0 15 0.1 0.3 "LD" "gamma10" 0.338947217074204 0.122540207165348 0.095345347610593 0.582549086537816
13 0 15 0.1 0.3 "LD" "gamma01" 0.0718310649715532 0.226934097362732 -0.418430246053569 0.562092375996676
13 0 15 0.1 0.3 "MI-R" "gamma10" 0.248730362639931 0.101064168934889 0.0488747477124762 0.448585977567386
13 0 15 0.1 0.3 "MI-R" "gamma01" 0.17296970892668 0.264990930150818 -0.349654211977952 0.695593629831312
13 0 15 0.1 0.3 "MI-a" "gamma10" 0.248730362639931 0.101064168934889 0.0465858296441128 0.45087489563575
13 0 15 0.1 0.3 "MI-a" "gamma01" 0.17296970892668 0.264990930150818 -0.431478880904794 0.777418298758154
13 0 15 0.1 0.3 "bayes" "gamma10" 0.270048981449424 0.106992856685764 0.0603468357422713 0.479751127156578
13 0 15 0.1 0.3 "bayes" "gamma01" 0.130643064255545 0.337268936543418 -0.53039190447368 0.79167803298477
15 0 30 0.1 0.3 "CD" "gamma10" 0.211810157115822 0.0599195542902423 0.0938894614247392 0.329730852806904
15 0 30 0.1 0.3 "CD" "gamma01" -0.187756647734715 0.134110663890278 -0.462469889438462 0.0869565939690324
15 0 30 0.1 0.3 "LD" "gamma10" 0.210562231093868 0.0734575940451268 0.0657652745989466 0.355359187588789
15 0 30 0.1 0.3 "LD" "gamma01" -0.0587349229482402 0.17333908667603 -0.413803946047684 0.296334100151204
15 0 30 0.1 0.3 "MI-R" "gamma10" 0.217239575966836 0.0626506813819886 0.094338026165103 0.34014112576857
15 0 30 0.1 0.3 "MI-R" "gamma01" -0.265365729695335 0.177361881824828 -0.615903679807197 0.0851722204165275
15 0 30 0.1 0.3 "MI-a" "gamma10" 0.217239575966836 0.0626506813819886 0.0937864689767071 0.340692682956966
15 0 30 0.1 0.3 "MI-a" "gamma01" -0.265365729695335 0.177361881824828 -0.639016033542159 0.108284574151489
15 0 30 0.1 0.3 "bayes" "gamma10" 0.223999434758205 0.0683398908609003 0.0900557099634425 0.357943159552967
15 0 30 0.1 0.3 "bayes" "gamma01" -0.275155408723832 0.189373037925238 -0.646319742700236 0.0960089252525724
19 0 15 0.3 0.3 "CD" "gamma10" 0.195540893501921 0.0765756143382801 0.0442096137974899 0.346872173206353
19 0 15 0.3 0.3 "CD" "gamma01" -0.185567472532689 0.177879183150926 -0.569852084449153 0.198717139383775
19 0 15 0.3 0.3 "LD" "gamma10" 0.172368605054212 0.0899656570995131 -0.00607784923616572 0.350815059344591
19 0 15 0.3 0.3 "LD" "gamma01" -0.171793984357746 0.196908689799633 -0.597189345986028 0.253601377270535
19 0 15 0.3 0.3 "MI-R" "gamma10" 0.160658806294552 0.105146395210059 -0.0514047966529219 0.372722409242026
19 0 15 0.3 0.3 "MI-R" "gamma01" -0.17556157783917 0.179326132881656 -0.527193429528097 0.176070273849756
19 0 15 0.3 0.3 "MI-a" "gamma10" 0.160658806294552 0.105146395210059 -0.0548117924893265 0.376129405078431
19 0 15 0.3 0.3 "MI-a" "gamma01" -0.17556157783917 0.179326132881656 -0.571738567915995 0.220615412237654
19 0 15 0.3 0.3 "bayes" "gamma10" 0.175237505075974 0.0926455362693231 -0.00634440934029834 0.356819419492247
19 0 15 0.3 0.3 "bayes" "gamma01" -0.226039832938081 0.21999005593809 -0.65721241953369 0.205132753657528
21 0 30 0.3 0.3 "CD" "gamma10" 0.237429998687784 0.0555557844684864 0.128097130114451 0.346762867261117
21 0 30 0.3 0.3 "CD" "gamma01" -0.324587777072867 0.177245233426456 -0.687658179072784 0.0384826249270503
21 0 30 0.3 0.3 "LD" "gamma10" 0.18337869088571 0.0685138785593952 0.0482722996884405 0.318485082082979
21 0 30 0.3 0.3 "LD" "gamma01" -0.399943358117113 0.155986949021016 -0.719468138518613 -0.0804185777156123
21 0 30 0.3 0.3 "MI-R" "gamma10" 0.187410138125516 0.0803614074230413 0.0235204031547059 0.351299873096325
21 0 30 0.3 0.3 "MI-R" "gamma01" -0.32293573689641 0.172075262046578 -0.660646154516859 0.0147746807240398
21 0 30 0.3 0.3 "MI-a" "gamma10" 0.187410138125516 0.0803614074230413 0.0219946876273054 0.352825588623726
21 0 30 0.3 0.3 "MI-a" "gamma01" -0.32293573689641 0.172075262046578 -0.678906626057638 0.0330351522648191
21 0 30 0.3 0.3 "bayes" "gamma10" 0.173409953887107 0.0678889597499889 0.0403500378292399 0.306469869944975
21 0 30 0.3 0.3 "bayes" "gamma01" -0.355698135301964 0.192131882188408 -0.732269704673137 0.0208734340692086
2 0.4 15 0.1 0 "CD" "gamma10" 0.276281287690936 0.100185001944948 0.078292349795587 0.474270225586285
2 0.4 15 0.1 0 "CD" "gamma01" 0.294920938031975 0.226100271432014 -0.193539001587478 0.783380877651427
2 0.4 15 0.1 0 "LD" "gamma10" 0.316743477459733 0.119489656071834 0.0796794030550398 0.553807551864425
2 0.4 15 0.1 0 "LD" "gamma01" 0.461699225126202 0.309907049491292 -0.207814251011649 1.13121270126405
2 0.4 15 0.1 0 "MI-R" "gamma10" 0.348809549158472 0.101833206113161 0.148891991433755 0.54872710688319
2 0.4 15 0.1 0 "MI-R" "gamma01" 0.276497312725239 0.274146230644643 -0.261234045092895 0.814228670543374
2 0.4 15 0.1 0 "MI-a" "gamma10" 0.348809549158472 0.101833206113161 0.146996039146445 0.550623059170499
2 0.4 15 0.1 0 "MI-a" "gamma01" 0.276497312725239 0.274146230644643 -0.330838792082336 0.883833417532815
2 0.4 15 0.1 0 "bayes" "gamma10" 0.342216115286431 0.123170489565778 0.10080639177934 0.583625838793523
2 0.4 15 0.1 0 "bayes" "gamma01" 0.242309544264374 0.402227280687765 -0.546041439483128 1.03066052801188
6 0.4 60 0.1 0 "CD" "gamma10" 0.274053207091732 0.0402346893111175 0.195034467279548 0.353071946903916
6 0.4 60 0.1 0 "CD" "gamma01" 0.411399090745526 0.127974468973679 0.155230358676711 0.667567822814341
6 0.4 60 0.1 0 "LD" "gamma10" 0.258726108938309 0.047019227772816 0.166295253119544 0.351156964757074
6 0.4 60 0.1 0 "LD" "gamma01" 0.516293410125981 0.112950338413364 0.290198742883828 0.742388077368133
6 0.4 60 0.1 0 "MI-R" "gamma10" 0.308974908108604 0.046467639065646 0.216985606503902 0.400964209713306
6 0.4 60 0.1 0 "MI-R" "gamma01" 0.388143735952922 0.131216581914469 0.129138393963183 0.647149077942661
6 0.4 60 0.1 0 "MI-a" "gamma10" 0.308974908108604 0.046467639065646 0.216725413651048 0.40122440256616
6 0.4 60 0.1 0 "MI-a" "gamma01" 0.388143735952922 0.131216581914469 0.121636034324477 0.654651437581367
6 0.4 60 0.1 0 "bayes" "gamma10" 0.293721004004422 0.0479108055201447 0.199817550714635 0.387624457294208
6 0.4 60 0.1 0 "bayes" "gamma01" 0.429590518293653 0.140521453778374 0.15417352983283 0.705007506754476
13 0 15 0.1 0.3 "CD" "gamma10" 0.154401168683026 0.0858300842930755 -0.015219102802243 0.324021440168295
13 0 15 0.1 0.3 "CD" "gamma01" -0.0206595158827085 0.380855611596799 -0.8434480418144 0.802129010048983
13 0 15 0.1 0.3 "LD" "gamma10" 0.155207888256105 0.109034250266896 -0.060939796252563 0.371355572764774
13 0 15 0.1 0.3 "LD" "gamma01" -0.139561613802787 0.257900501498618 -0.696721773726436 0.417598546120862
13 0 15 0.1 0.3 "MI-R" "gamma10" 0.143882159740073 0.109565608471929 -0.0752578223268436 0.363022141806989
13 0 15 0.1 0.3 "MI-R" "gamma01" -0.168301034372307 0.306543470313173 -0.770617535603113 0.434015466858498
13 0 15 0.1 0.3 "MI-a" "gamma10" 0.143882159740073 0.109565608471929 -0.0783368266344224 0.366101146114568
13 0 15 0.1 0.3 "MI-a" "gamma01" -0.168301034372307 0.306543470313173 -0.854888106100663 0.518286037356048
13 0 15 0.1 0.3 "bayes" "gamma10" 0.134029686582168 0.099454821434433 -0.0608981815181828 0.328957554682519
13 0 15 0.1 0.3 "bayes" "gamma01" -0.186442118645185 0.426928755320816 -1.0232071030385 0.650322865748127
17 0 60 0.1 0.3 "CD" "gamma10" 0.223508461378293 0.0397832361246667 0.145376351051469 0.301640571705116
17 0 60 0.1 0.3 "CD" "gamma01" -0.00674459998192084 0.131815231272424 -0.27060145309658 0.257112253132738
17 0 60 0.1 0.3 "LD" "gamma10" 0.153291273019155 0.0508439508395093 0.053338031612342 0.253244514425968
