"ID" "method" "parameter" "gamma01" "ICC" "beta" "N2" "R" "estimate" "stand_err" "bias" "rel_bias" "coverage" "empSE" "mcse_bias" "mcse_cov" "mcse_empSE"
"33" 4 "CD" "gamma01" 0.4 0.1 0 30 1000 0.4053818147538 0.181542773237585 0.00538181475380012 0.0134545368845003 0.95 0.188998054503365 0.00597664325571277 0.00689202437604511 0.00422823962345346
"34" 4 "CD" "gamma10" 0.4 0.1 0 30 1000 0.200232130135135 0.0588136442563855 -0.0997678698648654 -0.332559566216218 0.602 0.0562845532268185 0.00177987385281726 0.0154788888490098 0.00125919062377318
"35" 4 "LD" "gamma01" 0.4 0.1 0 30 1000 0.365569408388465 0.182600766946457 -0.0344305916115349 -0.0860764790288372 0.956 0.187411998397113 0.00592648775778703 0.00648567652600714 0.00419275658479945
"36" 4 "LD" "gamma10" 0.4 0.1 0 30 1000 0.199304170745865 0.072079223460204 -0.100695829254135 -0.335652764180451 0.726 0.0676667467637155 0.00213981041627168 0.0141040419738457 0.00151383156090339
"37" 4 "MI-a" "gamma01" 0.4 0.1 0 30 1000 0.347942480017401 0.194561000903039 -0.0520575199825988 -0.130143799956497 0.966 0.175107913731821 0.0055373984371283 0.00573096850453743 0.00391749122056689
"38" 4 "MI-a" "gamma10" 0.4 0.1 0 30 1000 0.200650068651637 0.0712218360449217 -0.0993499313483633 -0.331166437827878 0.747 0.0660070734122908 0.00208732693664782 0.0137473997541353 0.00147670156692052
"39" 4 "MI-R" "gamma01" 0.4 0.1 0 30 1000 0.347942480017401 0.194561000903039 -0.0520575199825988 -0.130143799956497 0.956 0.175107913731821 0.0055373984371283 0.00648567652600714 0.00391749122056689
"40" 4 "MI-R" "gamma10" 0.4 0.1 0 30 1000 0.200650068651637 0.0712218360449217 -0.0993499313483633 -0.331166437827878 0.741 0.0660070734122908 0.00208732693664782 0.0138534833164804 0.00147670156692052
"41" 5 "bayes" "gamma01" 0 0.1 0 60 1000 -0.0103221970387159 0.146789432538767 -0.0103221970387159 NA 0.961 0.13869917549036 0.00438605304136939 0.00612200947402077 0.00310295971611826
"42" 5 "bayes" "gamma10" 0 0.1 0 60 1000 0.197648023637571 0.0508640539018551 -0.102351976362429 -0.341173254541429 0.484 0.0521249198974814 0.00164833469729872 0.0158032907965398 0.00116613185389135
"43" 5 "CD" "gamma01" 0 0.1 0 60 1000 -0.00609755693189998 0.128854055720554 -0.00609755693189998 NA 0.955 0.130087933599058 0.00411374166277769 0.00655553201502365 0.00291031014484293
"44" 5 "CD" "gamma10" 0 0.1 0 60 1000 0.199568777621003 0.0424065909777197 -0.100431222378997 -0.334770741263322 0.341 0.0430986424427838 0.001362898741804 0.0149906304070243 0.000964197161565949
"45" 5 "LD" "gamma01" 0 0.1 0 60 1000 0.0274039110533111 0.129187874170964 0.0274039110533111 NA 0.954 0.12845741351705 0.00406218009047978 0.00662449998113065 0.00287383236396999
"46" 5 "LD" "gamma10" 0 0.1 0 60 1000 0.198673542512162 0.0520217851107138 -0.101326457487838 -0.337754858292792 0.507 0.0532754225139985 0.00168471678452049 0.0158098387088547 0.00119187074714519
"47" 5 "MI-a" "gamma01" 0 0.1 0 60 1000 -0.00175152612569952 0.137492536030313 -0.00175152612569952 NA 0.979 0.124059173015557 0.00392309551366061 0.00453420334788814 0.00277543550580786
"48" 5 "MI-a" "gamma10" 0 0.1 0 60 1000 0.197994745384344 0.0515284531401119 -0.102005254615656 -0.340017515385521 0.508 0.0531146136665001 0.00167963156226047 0.0158093643135959 0.00118827315275417
"49" 5 "MI-R" "gamma01" 0 0.1 0 60 1000 -0.00175152612569952 0.137492536030313 -0.00175152612569952 NA 0.971 0.124059173015557 0.00392309551366061 0.00530650544143696 0.00277543550580786
"50" 5 "MI-R" "gamma10" 0 0.1 0 60 1000 0.197994745384344 0.0515284531401119 -0.102005254615656 -0.340017515385521 0.508 0.0531146136665001 0.00167963156226047 0.0158093643135959 0.00118827315275417
"51" 6 "bayes" "gamma01" 0.4 0.1 0 60 1000 0.391995701620882 0.147094449867223 -0.00800429837911798 -0.020010745947795 0.952 0.136495628794408 0.00431637077647191 0.00675988165576884 0.00305366225918708
"52" 6 "bayes" "gamma10" 0.4 0.1 0 60 1000 0.200736010690861 0.0497879062834654 -0.0992639893091389 -0.330879964363796 0.487 0.0487025245405357 0.00154010905348338 0.0158060431481127 0.00108956647498634
"53" 6 "CD" "gamma01" 0.4 0.1 0 60 1000 0.400723920023158 0.127121266556941 0.000723920023158353 0.00180980005789588 0.946 0.12563812440458 0.00397302634070058 0.00714730718522718 0.00281075959866222
"54" 6 "CD" "gamma10" 0.4 0.1 0 60 1000 0.201091502012209 0.0417231246752566 -0.0989084979877913 -0.329694993292638 0.349 0.0405665052745856 0.00128282553380925 0.0150731217735411 0.000907548521796994
"55" 6 "LD" "gamma01" 0.4 0.1 0 60 1000 0.360923346929713 0.127248956640033 -0.0390766530702872 -0.0976916326757181 0.939 0.124038256232168 0.00392243406689226 0.00756828910652864 0.00277496755828027
"56" 6 "LD" "gamma10" 0.4 0.1 0 60 1000 0.20147052566021 0.0510411628259544 -0.0985294743397901 -0.328431581132634 0.523 0.0500120000812505 0.00158151830597278 0.0157946509932952 0.00111886188959652
"57" 6 "MI-a" "gamma01" 0.4 0.1 0 60 1000 0.355664359615853 0.13725055742733 -0.0443356403841471 -0.110839100960368 0.96 0.120613690976288 0.00381413980484767 0.00619677335393187 0.00269835363468162
"58" 6 "MI-a" "gamma10" 0.4 0.1 0 60 1000 0.20374263378771 0.0502703100207957 -0.0962573662122902 -0.320857887374301 0.538 0.0493024907730209 0.00155908165162182 0.0157656588825206 0.00110298884064822
"59" 6 "MI-R" "gamma01" 0.4 0.1 0 60 1000 0.355664359615853 0.13725055742733 -0.0443356403841471 -0.110839100960368 0.955 0.120613690976288 0.00381413980484767 0.00655553201502365 0.00269835363468162
"60" 6 "MI-R" "gamma10" 0.4 0.1 0 60 1000 0.20374263378771 0.0502703100207957 -0.0962573662122902 -0.320857887374301 0.533 0.0493024907730209 0.00155908165162182 0.0157769135131052 0.00110298884064822
"61" 7 "bayes" "gamma01" 0 0.3 0 15 1000 -0.00330929329984739 0.353141342826724 -0.00330929329984739 NA 0.98 0.288201076007821 0.00911371824296021 0.00442718872423573 0.00644759657606154
"62" 7 "bayes" "gamma10" 0 0.3 0 15 1000 0.193515827206103 0.103323233163673 -0.106484172793897 -0.354947242646323 0.816 0.107553525046976 0.00340114109528412 0.0122533260790693 0.0024061733198297
"63" 7 "CD" "gamma01" 0 0.3 0 15 1000 0.000337540509173788 0.271605687062191 0.000337540509173788 NA 0.96 0.272006538840754 0.00860160201195838 0.00619677335393187 0.00608529452002602
"64" 7 "CD" "gamma10" 0 0.3 0 15 1000 0.200789804679645 0.0850853426140604 -0.0992101953203547 -0.330700651067849 0.776 0.0886806069007228 0.00280432702092329 0.0131842330076497 0.00198395087671582
"65" 7 "LD" "gamma01" 0 0.3 0 15 1000 0.0122795201379781 0.272364541895385 0.0122795201379781 NA 0.953 0.279790490537076 0.00884775217752948 0.00669260786241059 0.00625943606384202
"66" 7 "LD" "gamma10" 0 0.3 0 15 1000 0.199533161956967 0.104564763423689 -0.100466838043033 -0.334889460143444 0.818 0.111202462293753 0.00351653062267252 0.0122014753206323 0.00248780686410539
"67" 7 "MI-a" "gamma01" 0 0.3 0 15 1000 -0.00122448237714663 0.286621315551965 -0.00122448237714663 NA 0.972 0.277868920957316 0.00878698681198413 0.0052168956286282 0.00621644696187632
"68" 7 "MI-a" "gamma10" 0 0.3 0 15 1000 0.19461445827405 0.103198983033802 -0.10538554172595 -0.351285139086501 0.827 0.107947816338935 0.00341360968072572 0.011961229033841 0.00241499435276691
"69" 7 "MI-R" "gamma01" 0 0.3 0 15 1000 -0.00122448237714663 0.286621315551965 -0.00122448237714663 NA 0.942 0.277868920957316 0.00878698681198413 0.00739161687318817 0.00621644696187632
"70" 7 "MI-R" "gamma10" 0 0.3 0 15 1000 0.19461445827405 0.103198983033802 -0.10538554172595 -0.351285139086501 0.822 0.107947816338935 0.00341360968072572 0.0120961150788177 0.00241499435276691
"71" 8 "bayes" "gamma01" 0.4 0.3 0 15 1000 0.392063641830742 0.353266827360767 -0.00793635816925775 -0.0198408954231444 0.971 0.290411043405381 0.00918360354827026 0.00530650544143696 0.00649703767608481
"72" 8 "bayes" "gamma10" 0.4 0.3 0 15 1000 0.197144095230902 0.0996429472654325 -0.102855904769098 -0.342853015896992 0.815 0.100876441097002 0.00318999316118341 0.0122790471943062 0.00225679447568979
"73" 8 "CD" "gamma01" 0.4 0.3 0 15 1000 0.402873036256357 0.267130511283271 0.00287303625635688 0.00718259064089219 0.955 0.272085693668024 0.00860410510737809 0.00655553201502365 0.00608706536141341
"74" 8 "CD" "gamma10" 0.4 0.3 0 15 1000 0.201704172667911 0.0825796503355469 -0.0982958273320892 -0.327652757773631 0.79 0.0829004901121807 0.00262154367898759 0.0128802173894698 0.00185463886396668
"75" 8 "LD" "gamma01" 0.4 0.3 0 15 1000 0.386825332500405 0.267632463286304 -0.0131746674995949 -0.0329366687489874 0.949 0.271666066827364 0.00859083534153984 0.00695693898205238 0.00607767752491211
"76" 8 "LD" "gamma10" 0.4 0.3 0 15 1000 0.203180842469742 0.101274291698691 -0.0968191575302577 -0.322730525100859 0.832 0.106117147271471 0.00335571884177369 0.0118226900492231 0.00237403886510953
"77" 8 "MI-a" "gamma01" 0.4 0.3 0 15 1000 0.383934096562262 0.285644179612519 -0.0160659034377376 -0.040164758594344 0.967 0.27496474893188 0.00869514882881091 0.00564898220921256 0.00615147520720117
"78" 8 "MI-a" "gamma10" 0.4 0.3 0 15 1000 0.198596035395251 0.0996611157492912 -0.101403964604749 -0.338013215349164 0.834 0.102621063333507 0.00324516296042272 0.0117662228433767 0.00229582493495949
"79" 8 "MI-R" "gamma01" 0.4 0.3 0 15 1000 0.383934096562262 0.285644179612519 -0.0160659034377376 -0.040164758594344 0.951 0.27496474893188 0.00869514882881091 0.00682634602111555 0.00615147520720117
"80" 8 "MI-R" "gamma10" 0.4 0.3 0 15 1000 0.198596035395251 0.0996611157492912 -0.101403964604749 -0.338013215349164 0.827 0.102621063333507 0.00324516296042272 0.011961229033841 0.00229582493495949
"81" 9 "bayes" "gamma01" 0 0.3 0 30 1000 -0.00276530768808274 0.21079560932039 -0.00276530768808274 NA 0.965 0.192077297549147 0.00607401747065182 0.00581162627841812 0.00429712804397519
"82" 9 "bayes" "gamma10" 0 0.3 0 30 1000 0.196872613454964 0.0725702959818298 -0.103127386545036 -0.34375795515012 0.692 0.0756709012361442 0.00239292400503867 0.0145991780590552 0.00169289945227135
"83" 9 "CD" "gamma01" 0 0.3 0 30 1000 -0.00371385474326816 0.185133609233647 -0.00371385474326816 NA 0.957 0.18512826542044 0.00585426978004779 0.00641490451994416 0.00414166521093991
"84" 9 "CD" "gamma10" 0 0.3 0 30 1000 0.201174179113543 0.0601936595928293 -0.0988258208864574 -0.329419402954858 0.602 0.0625171263124987 0.00197696511915939 0.0154788888490098 0.00139862492930712
"85" 9 "LD" "gamma01" 0 0.3 0 30 1000 0.0104933508656084 0.185391037412156 0.0104933508656084 NA 0.964 0.184676673788775 0.00583998919876447 0.00589101010014412 0.00413156226233738
"86" 9 "LD" "gamma10" 0 0.3 0 30 1000 0.199740426392233 0.0738285483049031 -0.100259573607767 -0.334198578692556 0.716 0.0771319641766384 0.00243912687200691 0.0142598737722323 0.00172558616025674
"87" 9 "MI-a" "gamma01" 0 0.3 0 30 1000 -0.00286815479756599 0.19575406882511 -0.00286815479756599 NA 0.964 0.190399407852378 0.00602095793960863 0.00589101010014412 0.00425959051630961
"88" 9 "MI-a" "gamma10" 0 0.3 0 30 1000 0.196527315809076 0.0730952055358857 -0.103472684190924 -0.344908947303078 0.7 0.0767995343793692 0.00242861451879213 0.0144913767461894 0.00171814908454438
"89" 9 "MI-R" "gamma01" 0 0.3 0 30 1000 -0.00286815479756599 0.19575406882511 -0.00286815479756599 NA 0.955 0.190399407852378 0.00602095793960863 0.00655553201502365 0.00425959051630961
"90" 9 "MI-R" "gamma10" 0 0.3 0 30 1000 0.196527315809076 0.0730952055358857 -0.103472684190924 -0.344908947303078 0.696 0.0767995343793692 0.00242861451879213 0.0145459272650457 0.00171814908454438
"91" 10 "bayes" "gamma01" 0.4 0.3 0 30 1000 0.404386660375667 0.206834249215505 0.00438666037566726 0.0109666509391682 0.951 0.201236635064173 0.00636366115470891 0.00682634602111555 0.00450203953847382
"92" 10 "bayes" "gamma10" 0.4 0.3 0 30 1000 0.199714778487346 0.0700488783495526 -0.100285221512654 -0.334284071708846 0.712 0.0666212611700897 0.00210674925890418 0.0143197765345692 0.00149044209467669
"93" 10 "CD" "gamma01" 0.4 0.3 0 30 1000 0.406917446780463 0.179595877659056 0.00691744678046297 0.0172936169511574 0.943 0.187942813191842 0.00594327359545762 0.00733150734842434 0.00420463190358877
"94" 10 "CD" "gamma10" 0.4 0.3 0 30 1000 0.200258751128813 0.0582109766819403 -0.0997412488711867 -0.332470829570622 0.596 0.0566557650973378 0.00179161260287059 0.0155172162451904 0.00126749532692872
"95" 10 "LD" "gamma01" 0.4 0.3 0 30 1000 0.392265585652046 0.180518157565987 -0.00773441434795408 -0.0193360358698852 0.941 0.190733984232001 0.00603153817371764 0.00745110730026082 0.00426707561508012
"96" 10 "LD" "gamma10" 0.4 0.3 0 30 1000 0.202730075953769 0.0714146660947046 -0.0972699240462309 -0.324233080154103 0.732 0.068756661639383 0.00217427655089977 0.0140062843038402 0.00153821499318579
"97" 10 "MI-a" "gamma01" 0.4 0.3 0 30 1000 0.398440526470384 0.191597750198472 -0.00155947352961611 -0.00389868382404027 0.953 0.193809283505127 0.00612878767561504 0.00669260786241059 0.00433587580603859
"98" 10 "MI-a" "gamma10" 0.4 0.3 0 30 1000 0.201391896740744 0.0705522253568863 -0.0986081032592563 -0.328693677530854 0.74 0.0669889704346654 0.00211837724683222 0.0138708327075198 0.00149866843799263
"99" 10 "MI-R" "gamma01" 0.4 0.3 0 30 1000 0.398440526470384 0.191597750198472 -0.00155947352961611 -0.00389868382404027 0.938 0.193809283505127 0.00612878767561504 0.00762600813007697 0.00433587580603859
"100" 10 "MI-R" "gamma10" 0.4 0.3 0 30 1000 0.201391896740744 0.0705522253568863 -0.0986081032592563 -0.328693677530854 0.739 0.0669889704346654 0.00211837724683222 0.0138880884213775 0.00149866843799263
"101" 11 "bayes" "gamma01" 0 0.3 0 60 1000 0.000254402306123414 0.140255549833172 0.000254402306123414 NA 0.954 0.132527813136604 0.00419089742832852 0.00662449998113065 0.00296489480903015
"102" 11 "bayes" "gamma10" 0 0.3 0 60 1000 0.200111582091302 0.0512908905268057 -0.0998884179086977 -0.332961393028992 0.509 0.0505087409309207 0.00159722663089083 0.0158088266484265 0.00112997491056746
"103" 11 "CD" "gamma01" 0 0.3 0 60 1000 -0.00194446101745831 0.129293335520326 -0.00194446101745831 NA 0.946 0.127143356226362 0.00402062595033455 0.00714730718522718 0.00284443444705189
"104" 11 "CD" "gamma10" 0 0.3 0 60 1000 0.200331547722353 0.0425697082346948 -0.0996684522776471 -0.332228174258824 0.354 0.042398803791799 0.00134076790048668 0.0151223014121528 0.000948540463289908
"105" 11 "LD" "gamma01" 0 0.3 0 60 1000 0.0174715618898252 0.129744205544789 0.0174715618898252 NA 0.955 0.127131701975959 0.00402025741057759 0.00655553201502365 0.00284417371969432
"106" 11 "LD" "gamma10" 0 0.3 0 60 1000 0.201818983388353 0.0523050997692382 -0.098181016611647 -0.327270055372157 0.54 0.0516055870622262 0.00163191195106752 0.0157607106438764 0.00115451340798959
"107" 11 "MI-a" "gamma01" 0 0.3 0 60 1000 0.000657393581969545 0.136447847736665 0.000657393581969545 NA 0.954 0.131922938168428 0.00417176960233796 0.00662449998113065 0.00295136262577887
"108" 11 "MI-a" "gamma10" 0 0.3 0 60 1000 0.19975046087893 0.0516962564682861 -0.10024953912107 -0.334165130403568 0.526 0.0506018170746217 0.00160016995699003 0.0157899968334386 0.00113205719781549
"109" 11 "MI-R" "gamma01" 0 0.3 0 60 1000 0.000657393581969545 0.136447847736665 0.000657393581969545 NA 0.949 0.131922938168428 0.00417176960233796 0.00695693898205238 0.00295136262577887
"110" 11 "MI-R" "gamma10" 0 0.3 0 60 1000 0.19975046087893 0.0516962564682861 -0.10024953912107 -0.334165130403568 0.523 0.0506018170746217 0.00160016995699003 0.0157946509932952 0.00113205719781549
"111" 12 "bayes" "gamma01" 0.4 0.3 0 60 1000 0.394736312263882 0.136780878360804 -0.00526368773611785 -0.0131592193402946 0.962 0.132696896376581 0.0041962443098534 0.00604615580348373 0.00296867751704167
"112" 12 "bayes" "gamma10" 0.4 0.3 0 60 1000 0.197808174842203 0.0495209285342696 -0.102191825157797 -0.340639417192656 0.461 0.0475624548965328 0.00150405688582072 0.0157632166768081 0.00106406098682173
"113" 12 "CD" "gamma01" 0.4 0.3 0 60 1000 0.397640641981526 0.12509911362607 -0.00235935801847398 -0.00589839504618495 0.952 0.129017481197261 0.00407989098561292 0.00675988165576884 0.00288636212446677
"114" 12 "CD" "gamma10" 0.4 0.3 0 60 1000 0.198962077076328 0.0412386848767325 -0.101037922923672 -0.336793076412239 0.317 0.0396808834087824 0.00125481971139339 0.0147143127600306 0.000887735505868202
"115" 12 "LD" "gamma01" 0.4 0.3 0 60 1000 0.378687281217021 0.125466749149061 -0.0213127187829791 -0.0532817969574478 0.947 0.128100130413649 0.00405088180671738 0.00708456067798138 0.00286583927336089
"116" 12 "LD" "gamma10" 0.4 0.3 0 60 1000 0.19936521736211 0.0505416188417679 -0.10063478263789 -0.335449275459634 0.496 0.0492795618593303 0.00155835657570646 0.0158108823283206 0.00110247587800612
"117" 12 "MI-a" "gamma01" 0.4 0.3 0 60 1000 0.393350096492951 0.132640681751861 -0.00664990350704925 -0.0166247587676231 0.957 0.131545366245906 0.00415982972978097 0.00641490451994416 0.00294291563637622
"118" 12 "MI-a" "gamma10" 0.4 0.3 0 60 1000 0.197872179412816 0.0500382125717246 -0.102127820587184 -0.340426068623948 0.481 0.0479822844847528 0.00151733306309978 0.0157999683543987 0.00107345335916479
"119" 12 "MI-R" "gamma01" 0.4 0.3 0 60 1000 0.393350096492951 0.132640681751861 -0.00664990350704925 -0.0166247587676231 0.954 0.131545366245906 0.00415982972978097 0.00662449998113065 0.00294291563637622
"120" 12 "MI-R" "gamma10" 0.4 0.3 0 60 1000 0.197872179412816 0.0500382125717246 -0.102127820587184 -0.340426068623948 0.48 0.0479822844847528 0.00151733306309978 0.0157987341265052 0.00107345335916479
"121" 13 "bayes" "gamma01" 0 0.1 0.3 15 1000 0.00127346187763844 0.377826806409237 0.00127346187763844 NA 0.987 0.289167353067249 0.00914427460654584 0.00358203852575597 0.00646921399937653
"122" 13 "bayes" "gamma10" 0 0.1 0.3 15 1000 0.19292126514279 0.102755173888616 -0.10707873485721 -0.356929116190701 0.806 0.102121660355441 0.00322937045161315 0.0125045591685593 0.00228465235720215
"123" 13 "CD" "gamma01" 0 0.1 0.3 15 1000 -0.00237079135421347 0.275782237004213 -0.00237079135421347 NA 0.949 0.283390887826418 0.00896160673668764 0.00695693898205238 0.00633998367857262
"124" 13 "CD" "gamma10" 0 0.1 0.3 15 1000 0.199753685298653 0.0851260748492635 -0.100246314701347 -0.334154382337823 0.782 0.087311585097316 0.00276103475027133 0.0130566458173606 0.00195332330094661
"125" 13 "LD" "gamma01" 0 0.1 0.3 15 1000 0.0307353819739008 0.275189383112431 0.0307353819739008 NA 0.947 0.283709143900266 0.00897167087741308 0.00708456067798138 0.00634710366160836
"126" 13 "LD" "gamma10" 0 0.1 0.3 15 1000 0.197874509345854 0.104833622146966 -0.102125490654146 -0.340418302180488 0.835 0.106339265826088 0.00336274284720544 0.0117377595817941 0.00237900807220642
"127" 13 "MI-a" "gamma01" 0 0.1 0.3 15 1000 0.0072860809033811 0.286723601244925 0.0072860809033811 NA 0.985 0.246573869644127 0.00779735039556892 0.00384382621875652 0.00551631818897364
"128" 13 "MI-a" "gamma10" 0 0.1 0.3 15 1000 0.192990564362644 0.103588613417392 -0.107009435637356 -0.356698118791187 0.828 0.104071413380296 0.0032910270559466 0.0119338174948337 0.00232827197549559
"129" 13 "MI-R" "gamma01" 0 0.1 0.3 15 1000 0.0072860809033811 0.286723601244925 0.0072860809033811 NA 0.97 0.246573869644127 0.00779735039556892 0.00539444158370447 0.00551631818897364
"130" 13 "MI-R" "gamma10" 0 0.1 0.3 15 1000 0.192990564362644 0.103588613417392 -0.107009435637356 -0.356698118791187 0.82 0.104071413380296 0.0032910270559466 0.01214907403879 0.00232827197549559
