"ID" "method" "parameter" "gamma01" "ICC" "beta" "N2" "R" "estimate" "stand_err" "bias" "rel_bias" "coverage" "empSE" "ciw" "mcse_bias" "mcse_cov" "mcse_empSE" "mcse_ciw"
"19" 2 "MI-R" "gamma01" 0.4 0.1 0 15 1000 0.324872365491455 0.291698541450085 -0.0751276345085451 -0.187819086271363 0.965 0.238948647447754 1.15063807254201 0.00755621969751482 0.00581162627841812 0.0053457277206587 0.0104307513137403
"39" 4 "MI-R" "gamma01" 0.4 0.1 0 30 1000 0.347942480017401 0.194561000903039 -0.0520575199825988 -0.130143799956497 0.956 0.175107913731821 0.766740321880436 0.0055373984371283 0.00648567652600714 0.00391749122056689 0.00522664593186325
"59" 6 "MI-R" "gamma01" 0.4 0.1 0 60 1000 0.355664359615853 0.13725055742733 -0.0443356403841471 -0.110839100960368 0.955 0.120613690976288 0.540741044934163 0.00381413980484767 0.00655553201502365 0.00269835363468162 0.00272361965288155
"139" 14 "MI-R" "gamma01" 0.4 0.1 0.3 15 1000 0.321695670849641 0.285056572242251 -0.0783043291503595 -0.195760822875899 0.965 0.238420257072413 1.12449993086058 0.00753951052671692 0.00581162627841812 0.00533390664066113 0.0101229819686634
"159" 16 "MI-R" "gamma01" 0.4 0.1 0.3 30 1000 0.342928263365015 0.195713474952934 -0.0570717366349848 -0.142679341587462 0.952 0.174441640587383 0.771672370548573 0.00551632903032601 0.00675988165576884 0.00390258544538968 0.0051014897231881
"179" 18 "MI-R" "gamma01" 0.4 0.1 0.3 60 1000 0.355648547273188 0.138074332115546 -0.0443514527268121 -0.11087863181703 0.96 0.124848607706033 0.544287630825358 0.00394805963051914 0.00619677335393187 0.00279309663489815 0.00274637147780733
